"","pop_Total","pop_Y0-14","pop_Y15-24","pop_Y25-64","pop_Y65-74","pop_YGE75","ARPR","low_work","rooms_pp","mat_depriv","ARPR_socexcl","emp_Y15-24_ED0-2","emp_Y25-64_ED0-2","emp_Y15-24_ED3-4","emp_Y25-64_ED3-4","emp_Y15-24_ED5-8","emp_Y25-64_ED5-8","emp_TF","emp_TP","emp_Y15-24","emp_Y25-64","emp_YGE65","emp_Y15-24_NaceA","emp_Y25-64_NaceA","emp_Y15-24_NaceB-E","emp_Y25-64_NaceB-E","emp_Y15-24_NaceF","emp_Y25-64_NaceF","emp_Y15-24_NaceG-I","emp_Y25-64_NaceG-I","emp_Y15-24_NaceJ","emp_Y25-64_NaceJ","emp_Y15-24_NaceK","emp_Y25-64_NaceK","emp_Y15-24_NaceL","emp_Y25-64_NaceL","emp_Y15-24_NaceM_N","emp_Y25-64_NaceM_N","emp_Y15-24_NaceO-Q","emp_Y25-64_NaceO-Q","emp_Y15-24_NaceR-U","emp_Y25-64_NaceR-U","unemp_Y15-24","unemp_YGE25","GDP","GVAgr","disp_income","training"
"emp_Y25-64_ED3-4",-11786259.446062,-105.489300458019,4.34985776536324,83.1248157607128,36.9480630559357,-18.933411835468,-401.660254337818,-354.414832966063,-27.4794611419668,494.293585713468,-195.451001075722,-331.111384544021,-992.796510100066,910.167951796616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emp_Y15-24_ED5-8",-1309601.40356027,37.8542460943168,0.327316305720535,-19.5086674424093,-28.1710621443353,9.49814498619092,79.7130357398465,51.7161379372016,4.39102776414886,-68.3168232009519,38.9526183643776,-173.719285299809,193.532400936853,-337.141011352834,-498.854300577714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emp_Y25-64_ED5-8",7550914.33333277,59.0378093777764,17.2740721023996,-38.055248172481,-11.7742029786411,-26.4824649127505,-207.671829960873,-50.7326203967143,10.5024570989271,-319.599776757275,-350.547443757699,-105.423718281382,-135.896137655713,-317.143713319836,-482.062368076504,341.575022066246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emp_TF",5680610.55929602,-19.928117785142,3.90678115653725,32.292070823379,1.59917555584981,-17.869920899149,-302.236563450447,-254.497147611771,-7.04241201149133,86.7527437767989,-272.409383345496,-316.283502667494,-323.947778525205,305.896949898392,295.40334656401,-46.6113413353153,31.9006999757831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emp_TP",-7365777.2213867,22.9369003223225,19.2870928188293,-76.23481512003,26.4809241471453,7.5298877305218,-254.585979509577,-97.5461069066808,7.37297284843164,-322.011307808538,-404.026099711686,316.179784626179,-152.032250287241,-338.020418940271,-105.225745992095,-8.03820917034385,235.869805166035,-119.806227672281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emp_Y15-24",-28630663.0556093,36.3889705381428,66.7005236889419,-150.847584531365,60.7105513839082,-12.9524863571255,-668.598726924294,-377.75654948683,6.52543081777654,-457.964253622217,-902.683234245706,209.978380298988,-710.43513993506,-218.402290952662,221.294907262772,-135.353010173579,444.84038032483,62.4476351131908,919.566377459281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emp_Y25-64",-314356.948656724,-4.80128966647116,19.3869604789637,-48.2822126103041,36.2292633152007,-2.53274031823959,-633.576030905526,-396.42459831777,0.684299651848503,-270.679022258831,-771.490208561177,-39.8638144937333,-535.888622795922,20.1463308830687,264.452977036214,-86.239668910274,254.763469082987,240.326176201009,409.054297332163,1001.35967859868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emp_YGE65",-7611156.50493706,24.6835569592019,19.3972721827469,-18.9817993033774,-5.27475230397304,-19.8242896913534,-24.1291544334701,-51.8397965701712,-0.87866751498853,6.374719699588,-28.1589633580015,-18.7244571487968,-20.4648381539791,-6.23975306002771,-71.0720493682752,31.8511850371183,83.036430113715,55.726549481779,80.7996737620142,222.209469216909,123.517913471015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emp_Y15-24_NaceA",-8706416.10250015,30.2284730632633,10.6141424344851,-0.454171026360869,-28.1406088049996,-12.2478356663879,229.173406792968,0.361911374864269,-6.27818329629325,253.877602876559,341.095974383653,27.6377376002763,161.79919897245,37.2173565052469,8.03446132671853,45.0266279999526,-165.820949309832,27.3492914363672,-151.833930742001,-257.941183975286,-150.929115248202,87.6237291298054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emp_Y25-64_NaceA",-13416321.0570995,7.45827729568558,4.09816787350368,15.8863432115352,-19.8381177931773,-7.60466483544644,317.585881514899,93.5210762731802,-2.89284616354372,211.399656219178,418.891640300792,-9.52501365400117,225.479894887664,101.909376781492,-24.6254439586241,-30.0938743148424,-192.125676298347,-10.8229666417643,-239.808829616885,-429.544879888575,-273.501971010946,14.3158884293067,520.948587874679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
