"","mean","n","stdev"
"pop_Total",1658310.5,14,544393.023415104
"pop_Y0-14",15.0694983458881,14,1.00488545262575
"pop_Y15-24",12.4252343008733,14,0.695155302371316
"pop_Y25-64",57.0606766049056,14,1.28301076279431
"pop_Y65-74",8.40753977849423,14,0.831045020070802
"pop_YGE75",7.03705096983872,14,1.22799202492887
"ARPR",15.1,2,0.282842712474619
"low_work",9.55,2,0.353553390593274
"rooms_pp",1.1,2,0
"mat_depriv",11.6,2,1.97989898732233
"ARPR_socexcl",20.6,2,0.565685424949239
"emp_Y15-24_ED0-2",2.3964808756276,7,0.978555085726495
"emp_Y25-64_ED0-2",4.41564291431585,14,1.34047639286717
"emp_Y15-24_ED3-4",15.8640665271359,14,2.9657375079397
"emp_Y25-64_ED3-4",40.9119535061702,14,4.70439257284213
"emp_Y15-24_ED5-8",2.4438145574299,9,1.01656395387377
"emp_Y25-64_ED5-8",18.4910393262656,14,3.17716993790278
"emp_FT",47.0464195957079,14,3.99089267571346
"emp_PT",3.68612184427524,14,1.01605259787501
"emp_Y15-24",20.4449332139764,14,3.90351525970178
"emp_Y25-64",63.8204575017524,14,5.74225197921131
"emp_YGE65",4.0584986875692,12,1.58273960721809
"emp_Y15-24_NaceA",3.81420596938628,5,2.84968756976271
"emp_Y25-64_NaceA",7.79582197446551,14,4.87398355587989
"emp_Y15-24_NaceB-E",5.43456140239026,14,1.88496301634578
"emp_Y25-64_NaceB-E",14.1068232482522,14,2.22995944279542
"emp_Y15-24_NaceF",2.37969734616106,6,0.716963795965721
"emp_Y25-64_NaceF",5.02156358447796,14,1.14204272298798
"emp_Y15-24_NaceG-I",6.64280340072412,14,1.60598764325479
"emp_Y25-64_NaceG-I",14.2869367576886,14,2.41628285786156
"emp_Y15-24_NaceJ",0.60292902922397,1,NA
"emp_Y25-64_NaceJ",1.09418256541689,10,0.433314126685549
"emp_Y15-24_NaceK",NA,0,NA
"emp_Y25-64_NaceK",1.16538039009036,14,0.274897875054715
"emp_Y15-24_NaceL",NA,0,NA
"emp_Y25-64_NaceL",0.497183736801902,7,0.225150484082708
"emp_Y15-24_NaceM_N",1.18104830659086,4,0.664141925464306
"emp_Y25-64_NaceM_N",3.22560372776204,14,0.550298986476825
"emp_Y15-24_NaceO-Q",2.60644384268298,5,0.499625885793061
"emp_Y25-64_NaceO-Q",14.88678083144,14,1.91882117838829
"emp_Y15-24_NaceR-U",1.21214234952132,2,0.179421411721276
"emp_Y25-64_NaceR-U",1.82526154112567,14,0.309295139095456
"unemp_Y15-24",9.31730531956651,14,3.31319081254127
"unemp_YGE25",6.40932212964607,14,2.34659733275468
"GDP",14900,14,1469.69384566991
"GVAgr",3.35,2,0.919238815542512
"disp_income",9614.28571428571,14,635.921067740018
"training",3.08571428571429,14,0.919746740105158
"earn_OC1_B-F",17.095,12,1.06265105878048
"earn_OC2_B-F",10.9533333333333,12,0.17905475715715
"earn_OC3_B-F",8.68833333333333,12,0.307507082943802
"earn_OC4_B-F",7.61,12,0.373679493197531
"earn_OC5_B-F",5.13833333333333,12,0.190732241319573
"earn_OC6_B-F",5.61333333333333,12,0.155699788832304
"earn_OC7_B-F",5.45666666666667,12,0.124559831065843
"earn_OC8_B-F",6.265,12,0.338647040710263
"earn_OC9_B-F",5.39,12,0.373679493197531
"earn_OC1_G-N",16.625,12,1.36626564700347
"earn_OC2_G-N",11.825,12,0.338647040710263
"earn_OC3_G-N",9.28833333333333,12,0.284152114618956
"earn_OC4_G-N",7.32833333333333,12,0.400926956243184
"earn_OC5_G-N",5.37166666666667,12,0.112882346903421
"earn_OC6_G-N",4.83833333333333,12,0.564411734517104
"earn_OC7_G-N",5.27666666666667,12,0.217979704365227
"earn_OC8_G-N",6.79666666666667,12,0.918628754110597
"earn_OC9_G-N",4.73,12,0.186839746598765
"earn_OC1_P-S",13.04,12,1.0743285429429
"earn_OC2_P-S",13.6883333333333,12,2.52622907380414
"earn_OC3_P-S",7.15333333333333,12,0.179054757157151
"earn_OC4_P-S",6.97666666666667,12,0.404819450963992
"earn_OC5_P-S",5.39666666666667,12,0.404819450963992
"earn_OC6_P-S",6.25333333333333,12,0.949768711877058
"earn_OC7_P-S",5.23333333333333,12,0.249119662131687
"earn_OC8_P-S",4.47833333333333,12,0.0739573996953445
"earn_OC9_P-S",4.93666666666667,12,0.498239324263375
"expend_ED5-8",1.18166666666667,12,0.0895273785785751
