"","estimate","se","zval","pval"
"emp_Y15_24/17",-288.13832055252,135.447985507292,-2.12729867833293,0.0333952745108696
"emp_Y15_24/18",-123.816809117137,649.969514189787,-0.190496333157224,0.848920216295221
"emp_Y15_24/19",-48.543124292739,29.4762082648177,-1.64685782705231,0.0995872720314109
"emp_Y15_24/20",-98.5715380193341,140.686127881983,-0.700648596299577,0.48352234291987
"emp_Y15_24/21",-92.8248090800251,105.678651612346,-0.878368598234281,0.379743719777578
"emp_Y15_24/22",132.073051993657,272.14556999282,0.485302964869653,0.627461452666139
"emp_Y15_24/23",-7.38667070256137,213.948502146389,-0.0345254611668524,0.972458139372969
"emp_Y15_24/24",44.0538288324499,62.8966900100066,0.700415694775688,0.483667737563085
"emp_Y15_24/25",1.59840363295777,0.000224775087152845,7111.12451653002,0
"GDP/2",306.865523047757,929.021299314256,0.330310535694138,0.741165332954025
"GDP/3",33.0388962802656,36.3243241338827,0.909552952960452,0.363058319654909
"GDP/4",-187.526085115546,120.94455735716,-1.5505128069696,0.12101848200888
"GDP/5",-175.683745626646,187.555741468353,-0.936701506716016,0.348912120996678
"GDP/6",-150.229952166063,297.167106017533,-0.505540314267485,0.613179390613161
"GDP/7",-336.509374492502,193.774189729681,-1.73660576241831,0.0824567817071793
"GDP/8",-46.6013802503972,389.36668095525,-0.119685074583341,0.904732624120121
"GDP/9",202.121686639751,264.150365165143,0.765176631549943,0.444166372898055
"GDP/10",-88.1642949138164,146.196414199706,-0.603053743803749,0.546472936849907
"GDP/11",36.4210660594498,612.196164460972,0.0594924767153971,0.95255985757664
"GDP/12",-238.784828955844,499.900958644289,-0.477664274946418,0.632889175368176
"GDP/13",-68.996266086909,341.713369645499,-0.201912691208094,0.839984980268782
"GDP/14",-170.719468022703,329.91834272336,-0.51745976478141,0.604835248962003
"GDP/15",-7.19141719047818,702.81974733561,-0.010232235530861,0.991835999707636
"GDP/16",-106.770676643418,1026.13573189943,-0.104051221806476,0.91712870001448
"GDP/17",-205.591357084852,211.16953378267,-0.973584367981988,0.330262951051299
"GDP/18",114.223603990878,1753.14766185147,0.065153441707385,0.948051830454459
"GDP/19",-230.09503380999,182.337294095167,-1.26191975674432,0.206977662065355
"GDP/20",-181.447372784598,488.202186150459,-0.371664400389797,0.710142733613256
"GDP/21",-33.5233084292569,281.992808019702,-0.118880012099155,0.905370417485822
"GDP/22",38.7200782809864,203.92568527397,0.189873473902842,0.849408279082657
"GDP/23",-128.616460824742,247.153388459414,-0.520391250253332,0.602790907271179
"GDP/24",38.5541557284557,96.5353709707494,0.399378542194009,0.689614302353223
"GDP/25",244.299665956299,0.000217779031624676,1121777.72182094,0
"disp_income/2",-78.9708575491506,1098.37577178497,-0.0718978509702697,0.942683200302689
"disp_income/3",99.9269190423132,74.6971268650983,1.33776121299524,0.180974289471676
"disp_income/4",0.926862658655577,47.8062740909623,0.0193878873909314,0.984531673055622
"disp_income/5",-119.528946683399,62.6661348097046,-1.90739299697303,0.0564697155606839
"disp_income/6",-400.965593675463,266.473593427201,-1.50471042371785,0.132398542004935
"disp_income/7",-62.9291234610698,48.1219683984911,-1.30770052754207,0.190974904349293
"disp_income/8",-176.789804189524,184.378204235212,-0.958843291281829,0.337637696555974
"disp_income/9",-25.8390821394155,225.006589143433,-0.114837002053056,0.908574319657983
"disp_income/10",-79.9786239855346,64.5810677437324,-1.23842213793835,0.215559576249805
"disp_income/11",-21.0337883960152,589.562572471322,-0.0356769397823984,0.971539958231356
"disp_income/12",-139.374245495839,356.493058136483,-0.390959213131381,0.695827384392208
"disp_income/13",-229.431260001275,171.146075838085,-1.34055811024456,0.18006396548744
"disp_income/14",-242.255870540677,300.80040661442,-0.805370821360664,0.420605724445009
"disp_income/15",58.6930653293837,843.050986448896,0.0696198287800017,0.944496254149274
"disp_income/16",80.5240409725486,1490.03976206352,0.0540415383687701,0.95690206974425
"disp_income/17",-157.856105088661,80.1011840289357,-1.97070876045524,0.0487571979303598
"disp_income/18",128.051738488202,576.55477927034,0.222098130294329,0.824237493324837
"disp_income/19",-27.2516560593908,59.9357748308374,-0.454680967023548,0.6493387755941
"disp_income/20",-409.243223803518,386.079490904051,-1.05999731517783,0.289145820760581
"disp_income/21",-345.764097956045,264.123275240363,-1.30910120526631,0.190500071056847
"disp_income/22",-211.389862063454,433.407913973328,-0.487738814285849,0.625734855177031
"disp_income/23",-203.182914113163,438.722933148091,-0.463123531416988,0.643275823860238
"disp_income/24",91.4860985920416,150.335050172709,0.608548029797042,0.542824060992722
"disp_income/25",175.890821692827,0.00027157693877318,647664.792479784,0
"training/2",-28.4659742691802,342.798075465519,-0.0830400644184584,0.933819682807368
"training/3",-401.51911183565,219.045206564222,-1.83304222052414,0.066796292579877
"training/4",-253.385856837112,153.893193134789,-1.64650464179517,0.0996599052112043
"training/5",-178.27051884308,153.968754992102,-1.15783568459863,0.246931097876232
"training/6",-193.063342917817,200.954908596708,-0.960729669486559,0.336688109162561
"training/7",102.366984890302,99.2322343522164,1.0315900428782,0.302264206874113
"training/8",117.406734533661,399.395668184168,0.293960961237875,0.768787734470633
"training/9",-232.734120272322,361.343910666878,-0.644079264661745,0.519524035568609
"training/10",-13.8568108154709,117.398689973519,-0.118032073599769,0.906042244447342
"training/11",606.681378489106,552.299054679856,1.09846535739731,0.272001336788326
"training/12",360.444340282085,375.797200272517,0.959145890444902,0.337485254834314
"training/13",-78.7664003860366,348.350127620421,-0.226112735838766,0.821113739323597
"training/14",-378.01408002644,231.920953842154,-1.62992637691426,0.103117058128123
"training/15",34.9189311776166,589.426908784362,0.0592421734691984,0.952759219039369
"training/16",187.734924724624,691.540941088542,0.271473333782833,0.786027006444056
"training/17",108.106407855379,262.284585336243,0.412172174421876,0.680213230641653
"training/18",20.5771712547949,404.184559958354,0.0509103347661651,0.959396970238173
"training/19",128.237591343631,103.973675015693,1.23336595849166,0.217439259555092
"training/20",-82.1735408116031,231.767280411547,-0.354551948254682,0.722925279976402
"training/21",-210.39321924446,212.306334973956,-0.990988890040749,0.321691005255337
"training/22",68.966018795397,266.468010441672,0.258815377804959,0.795777692278608
"training/23",-0.794052126422463,167.827298681954,-0.00473136451970937,0.99622493138286
"training/24",272.142441940056,243.425137940907,1.11797180949373,0.263579033525624
"training/25",0.484709866387639,0.000134112784470473,3614.19583003554,0
