"","mean","n","stdev"
"pop_Total",1853021.66666667,3,1518566.9200145
"pop_Y0-14",22.2082842262946,3,10.5404641479146
"pop_Y15-24",13.2764932098799,3,2.35037267643726
"pop_Y25-64",51.3832488004012,3,5.46074074256069
"pop_Y65-74",7.03359194386745,3,3.58146765236109
"pop_YGE75",6.09838181955686,3,3.88496287113123
"ARPR",32.2,2,5.51543289325507
"low_work",5.5,2,2.54558441227157
"rooms_pp",1.05,2,0.0707106781186548
"mat_depriv",27.85,2,3.60624458405139
"ARPR_socexcl",45.15,2,6.01040764008565
"emp_Y15-24_ED0-2",44.5794611846428,2,2.74067764903713
"emp_Y25-64_ED0-2",37.0842535593537,4,12.3388937989183
"emp_Y15-24_ED3-4",50.8727849223484,3,2.49660308641185
"emp_Y25-64_ED3-4",42.0725257353131,4,16.2720707318776
"emp_Y15-24_ED5-8",NA,0,NA
"emp_Y25-64_ED5-8",20.4941805657171,4,5.92576991802401
"emp_TF",47.4157399730122,3,13.2489860006808
"emp_TP",6.60912540252765,3,4.69040273949787
"emp_Y15-24",22.3974899191988,3,7.15893190198703
"emp_Y25-64",65.1451432471056,3,13.3481555971108
"emp_YGE65",20.3416848385389,2,1.24512232554224
"emp_Y15-24_NaceA",67.2169029068494,2,2.06806442121176
"emp_Y25-64_NaceA",30.0366482415184,3,20.6095614406924
"emp_Y15-24_NaceB-E",NA,0,NA
"emp_Y25-64_NaceB-E",12.7905297031986,3,5.90549458277287
"emp_Y15-24_NaceF",8.45771144278607,1,NA
"emp_Y25-64_NaceF",7.12858396742098,3,1.75301565470566
"emp_Y15-24_NaceG-I",13.8474295190713,1,NA
"emp_Y25-64_NaceG-I",15.1202606161027,4,1.7689830929589
"emp_Y15-24_NaceJ",NA,0,NA
"emp_Y25-64_NaceJ",1.13139434562897,2,0.0250890624088612
"emp_Y15-24_NaceK",NA,0,NA
"emp_Y25-64_NaceK",0.888874954258935,2,0.243053867869794
"emp_Y15-24_NaceL",NA,0,NA
"emp_Y25-64_NaceL",NA,0,NA
"emp_Y15-24_NaceM_N",NA,0,NA
"emp_Y25-64_NaceM_N",4.27430599323484,3,2.55234515882339
"emp_Y15-24_NaceO-Q",NA,0,NA
"emp_Y25-64_NaceO-Q",28.1914025746753,4,17.9479550425514
"emp_Y15-24_NaceR-U",NA,0,NA
"emp_Y25-64_NaceR-U",3.30044641984357,3,2.21393551636078
"unemp_Y15-24",6.95793975144675,3,2.80230389510643
"unemp_YGE25",5.94653452880136,3,5.04323252580838
"GDP",11275,4,3353.97773795037
"GVAgr",8.7,2,0
"disp_income",7075,4,1728.92066523212
"training",3.63333333333333,3,3.56417358350198
