"","mean","n","stdev"
"pop_Total",627651.153846154,13,458150.958391418
"pop_Y0-14",14.8071792081866,13,1.01214610645872
"pop_Y15-24",10.5746522262418,13,0.918278387789924
"pop_Y25-64",53.2000917994297,13,1.40589179680723
"pop_Y65-74",10.1182670099739,13,0.880177384401866
"pop_YGE75",11.299809756168,13,1.51573324240855
"ARPR",33.1,1,NA
"low_work",22.1,1,NA
"rooms_pp",2.1,1,NA
"mat_depriv",3.8,1,NA
"ARPR_socexcl",39.8,1,NA
"emp_Y15-24_ED0-2",26.5985252686803,9,10.6044045553919
"emp_Y25-64_ED0-2",35.5990049007249,13,5.50886347295853
"emp_Y15-24_ED3-4",61.0700049067378,13,13.2053810084059
"emp_Y25-64_ED3-4",36.8651639566691,13,6.62433150267575
"emp_Y15-24_ED5-8",16.0439632613337,4,2.3795592946157
"emp_Y25-64_ED5-8",27.5048138489072,13,4.93021465623517
"emp_TF",39.4476448982612,13,3.14906352846527
"emp_TP",3.70819369755684,13,1.43207863096469
"emp_Y15-24",13.8592719635934,13,4.86708332761644
"emp_Y25-64",56.0752517989034,13,2.23846719264201
"emp_YGE65",2.99672844838381,10,1.59195531560434
"emp_Y15-24_NaceA",21.9735519924698,6,11.365144019974
"emp_Y25-64_NaceA",19.6389990345686,13,7.15256252326052
"emp_Y15-24_NaceB-E",12.0530272247054,2,0.136479366543521
"emp_Y25-64_NaceB-E",10.7289122027678,13,3.99233421571301
"emp_Y15-24_NaceF",20,1,NA
"emp_Y25-64_NaceF",5.30119621092618,13,1.35940538401214
"emp_Y15-24_NaceG-I",45.7613407455112,11,11.3541351084786
"emp_Y25-64_NaceG-I",29.5288009415303,13,6.41779351208924
"emp_Y15-24_NaceJ",NA,0,NA
"emp_Y25-64_NaceJ",1.15090973345361,7,0.359254021459525
"emp_Y15-24_NaceK",NA,0,NA
"emp_Y25-64_NaceK",1.43731010751427,10,0.315800009225264
"emp_Y15-24_NaceL",NA,0,NA
"emp_Y25-64_NaceL",NA,0,NA
"emp_Y15-24_NaceM_N",6.07476635514019,1,NA
"emp_Y25-64_NaceM_N",5.78390986129795,13,1.22777720441043
"emp_Y15-24_NaceO-Q",18.4774143302181,3,6.66306161989536
"emp_Y25-64_NaceO-Q",23.0041639166945,13,4.22602944761204
"emp_Y15-24_NaceR-U",6.52173913043478,1,NA
"emp_Y25-64_NaceR-U",3.62369591299204,13,1.18761292194293
"unemp_Y15-24",14.1359613141231,13,2.99577035649263
"unemp_YGE25",14.7022666765477,13,1.76625529785528
"GDP",16500,13,2221.86108176606
"GVAgr",1.3,1,NA
"disp_income",10546.1538461538,13,865.65522834381
"training",2.77692307692308,13,2.13156978388927
