Sets to variables test for over-representation
76 variables tested, 35 have p < 0.05 
Selected set size: 8 
    Universe size: 276 
                 vars         pval         adjp      odds      exp obs size
1    emp_Y25-64_ED0-2 1.109157e-05 0.0001796596       Inf 2.000000   8   69
2              emp_PT 1.109157e-05 0.0001796596       Inf 2.000000   8   69
3        earn_OC2_P-S 1.252274e-05 0.0001796596       Inf 2.028986   8   70
4        earn_OC6_G-N 3.539952e-05 0.0001796596 35.636364 1.478261   7   51
5        earn_OC5_B-F 3.845233e-05 0.0001796596       Inf 2.318841   8   80
6        earn_OC3_P-S 3.845233e-05 0.0001796596       Inf 2.318841   8   80
7        earn_OC8_P-S 3.845233e-05 0.0001796596       Inf 2.318841   8   80
8        earn_OC1_P-S 4.266628e-05 0.0001796596       Inf 2.347826   8   81
9        earn_OC4_P-S 4.266628e-05 0.0001796596       Inf 2.347826   8   81
10       earn_OC5_P-S 4.266628e-05 0.0001796596       Inf 2.347826   8   81
11       earn_OC9_P-S 4.266628e-05 0.0001796596       Inf 2.347826   8   81
12       earn_OC2_B-F 4.727885e-05 0.0001796596       Inf 2.376812   8   82
13       earn_OC3_B-F 4.727885e-05 0.0001796596       Inf 2.376812   8   82
14       earn_OC4_B-F 4.727885e-05 0.0001796596       Inf 2.376812   8   82
15       earn_OC7_B-F 4.727885e-05 0.0001796596       Inf 2.376812   8   82
16       earn_OC9_B-F 4.727885e-05 0.0001796596       Inf 2.376812   8   82
17       earn_OC2_G-N 4.727885e-05 0.0001796596       Inf 2.376812   8   82
18       earn_OC3_G-N 4.727885e-05 0.0001796596       Inf 2.376812   8   82
19       earn_OC4_G-N 4.727885e-05 0.0001796596       Inf 2.376812   8   82
20       earn_OC7_P-S 4.727885e-05 0.0001796596       Inf 2.376812   8   82
21       earn_OC7_G-N 5.232193e-05 0.0001893555       Inf 2.405797   8   83
22       earn_OC8_G-N 5.782950e-05 0.0001997746       Inf 2.434783   8   84
23   emp_Y15-24_ED0-2 1.140526e-04 0.0003768695 28.396226 1.739130   7   60
24       earn_OC1_G-N 1.350939e-04 0.0004277974       Inf 2.695652   8   93
25       earn_OC6_P-S 1.805702e-04 0.0005489333 25.912281 1.855072   7   64
26       earn_OC5_G-N 2.908976e-04 0.0007989988       Inf 2.956522   8  102
27           training 3.073439e-04 0.0007989988 23.258065 2.000000   7   69
28       earn_OC1_B-F 3.153943e-04 0.0007989988       Inf 2.985507   8  103
29       earn_OC8_B-F 3.153943e-04 0.0007989988       Inf 2.985507   8  103
30       earn_OC9_G-N 3.153943e-04 0.0007989988       Inf 2.985507   8  103
31 emp_Y15-24_NaceO-Q 8.939672e-04 0.0021916614 13.750000 1.565217   6   54
32 emp_Y25-64_NaceR-U 3.697787e-03 0.0087822438  9.761905 2.000000   6   69
33        disp_income 4.012570e-03 0.0092410699  9.562500 2.028986   6   70
34         pop_Y65-74 2.541781e-02 0.0551929636  5.312500 2.000000   5   69
35          pop_YGE75 2.541781e-02 0.0551929636  5.312500 2.000000   5   69
