"","LR Chisq","Df","Pr(>Chisq)"
"pop_Total",165.255767749312,36,1.79324320576361e-18
"disp_income",272.601359182431,36,3.96379442961123e-38
"training",211.716288078443,36,9.3487447133561e-27
"earn_OC5_P_S",286.222431160433,36,9.94115297534584e-41
