"","Estimate","Uncond. variance","Nb models","Importance","+/- (alpha=0.05)"
"emp_Y25_64_NaceO_Q/2",-9.03789596971687e-08,2.06212606653407e-13,1,1.05289822182449e-09,8.96462344640515e-07
"emp_Y25_64_NaceO_Q/3",1.07012268547574e-07,7.30135633772922e-14,1,1.05289822182449e-09,5.3342850337508e-07
"emp_Y25_64_NaceO_Q/4",-6.24518509806219e-10,6.92264265231599e-15,1,1.05289822182449e-09,1.64251900345056e-07
"emp_Y25_64_NaceO_Q/5",2.37642430444684e-08,1.24886773475907e-14,1,1.05289822182449e-09,2.20613796682606e-07
"emp_Y25_64_NaceO_Q/6",-7.02660987476115e-08,4.91077196492959e-14,1,1.05289822182449e-09,4.37471061470878e-07
"emp_Y25_64_NaceO_Q/7",7.44682681149803e-09,8.77336048493043e-15,1,1.05289822182449e-09,1.84908737391891e-07
"emp_Y25_64_NaceO_Q/8",-1.1633832581333e-07,1.43650941702991e-12,1,1.05289822182449e-09,2.36607596900533e-06
"emp_Y25_64_NaceO_Q/9",-1.22298564853336e-08,5.27833934215031e-13,1,1.05289822182449e-09,1.4342441913694e-06
"emp_Y25_64_NaceO_Q/10",1.02026596894698e-08,1.90163797194435e-14,1,1.05289822182449e-09,2.72231493892073e-07
"emp_Y25_64_NaceO_Q/11",6.97185367544287e-08,4.01666031979108e-13,1,1.05289822182449e-09,1.25114313981816e-06
"emp_Y25_64_NaceO_Q/12",1.99896688104939e-07,5.73497981953756e-13,1,1.05289822182449e-09,1.49499724729449e-06
"emp_Y25_64_NaceO_Q/13",1.32489240174052e-08,1.85325249125759e-13,1,1.05289822182449e-09,8.49848950231212e-07
"emp_Y25_64_NaceO_Q/14",3.31743670927454e-08,2.01363901302379e-14,1,1.05289822182449e-09,2.80133633519096e-07
"emp_Y25_64_NaceO_Q/15",-7.68777929727268e-09,4.18648847819581e-13,1,1.05289822182449e-09,1.27731907008785e-06
"emp_Y25_64_NaceO_Q/16",-2.8125244933622e-08,1.18370253895457e-12,1,1.05289822182449e-09,2.14780938418726e-06
"emp_Y25_64_NaceO_Q/17",8.26761209071186e-08,4.29030254675158e-14,1,1.05289822182449e-09,4.08901219297329e-07
"emp_Y25_64_NaceO_Q/18",-1.44764281553573e-07,6.7381606969962e-13,1,1.05289822182449e-09,1.62048542062566e-06
"emp_Y25_64_NaceO_Q/19",3.52163751358101e-08,1.65704419122835e-14,1,1.05289822182449e-09,2.54121547476684e-07
"emp_Y25_64_NaceO_Q/20",8.3833421878575e-08,6.88930441438458e-14,1,1.05289822182449e-09,5.18157911485352e-07
"emp_Y25_64_NaceO_Q/21",-7.59738760204023e-08,5.36125673785974e-14,1,1.05289822182449e-09,4.57096344882131e-07
"emp_Y25_64_NaceO_Q/22",8.01918252442678e-08,2.53783678880812e-12,1,1.05289822182449e-09,3.14489601588917e-06
"emp_Y25_64_NaceO_Q/23",6.23878989432899e-08,3.84400644518567e-14,1,1.05289822182449e-09,3.87049490032046e-07
"emp_Y25_64_NaceO_Q/24",7.58876544880514e-08,6.0339474318478e-14,1,1.05289822182449e-09,4.84925706403483e-07
