"vars","pval","adjp","odds","exp","obs","size"
"pop_Total",1.10915715837754e-05,0.000214516560093377,Inf,2,8,69
"training",1.10915715837754e-05,0.000214516560093377,Inf,2,8,69
"earn_OC7_P-S",1.25227421107142e-05,0.000214516560093377,Inf,2.02898550724638,8,70
"earn_OC8_G-N",1.41129315850906e-05,0.000214516560093377,Inf,2.05797101449275,8,71
"earn_OC5_P-S",1.41129315850906e-05,0.000214516560093377,Inf,2.05797101449275,8,71
"earn_OC2_B-F",4.26662796545993e-05,0.000540439542291591,Inf,2.34782608695652,8,81
"earn_OC2_G-N",5.23219278070636e-05,0.000549380241974168,Inf,2.40579710144928,8,83
"earn_OC6_G-N",5.78294991551755e-05,0.000549380241974168,Inf,2.43478260869565,8,84
"earn_OC5_B-F",0.000112736168695116,0.000951994313425426,Inf,2.63768115942029,8,91
"earn_OC9_B-F",0.000175896886176814,0.00121414966750512,Inf,2.78260869565217,8,96
"earn_OC5_G-N",0.000175896886176814,0.00121414966750512,Inf,2.78260869565217,8,96
"earn_OC9_G-N",0.000191707842237651,0.00121414966750512,Inf,2.81159420289855,8,97
"pop_Y0-14",0.000307343870660099,0.00179677955155135,23.258064516129,2,7,69
"emp_Y25-64_NaceL",0.0022939447153891,0.0124528427406837,10.7407407407407,1.18840579710145,5,41
"pop_YGE75",0.110627142319005,0.525478926015275,3.12307692307692,2,4,69
"emp_Y25-64_NaceO-Q",0.110627142319005,0.525478926015275,3.12307692307692,2,4,69
"emp_Y15-24_NaceF",0.361669583333618,1,1.84552845528455,1.2463768115942,2,43
"emp_Y25-64_ED5-8",0.63635830380261,1,1,2,2,69
"emp_Y25-64_NaceR-U",0.63635830380261,1,1,2,2,69
"emp_Y25-64_NaceJ",0.868335151452182,1,0.495238095238095,1.76811594202899,1,61
"emp_Y25-64_NaceK",0.882556378669049,1,0.464852607709751,1.85507246376812,1,64
"pop_Y15-24",0.903286782926226,1,0.420168067226891,2,1,69
"pop_Y65-74",0.903286782926226,1,0.420168067226891,2,1,69
"emp_Y25-64_NaceM_N",0.903286782926226,1,0.420168067226891,2,1,69
"unemp_YGE25",0.903286782926226,1,0.420168067226891,2,1,69
"disp_income",0.910635191146268,1,0.404081632653061,2.05797101449275,1,71
"pop_Y25-64",1,1,0,2,0,69
"ARPR",1,1,0,0.608695652173913,0,21
"low_work",1,1,0,0.608695652173913,0,21
"rooms_pp",1,1,0,0.695652173913043,0,24
"mat_depriv",1,1,0,0.608695652173913,0,21
"ARPR_socexcl",1,1,0,0.608695652173913,0,21
"emp_Y15-24_ED0-2",1,1,0,1.73913043478261,0,60
"emp_Y25-64_ED0-2",1,1,0,2,0,69
"emp_Y15-24_ED3-4",1,1,0,1.97101449275362,0,68
"emp_Y25-64_ED3-4",1,1,0,2,0,69
"emp_Y15-24_ED5-8",1,1,0,1.44927536231884,0,50
"emp_FT",1,1,0,2,0,69
"emp_PT",1,1,0,2,0,69
"emp_Y15-24",1,1,0,2,0,69
"emp_Y25-64",1,1,0,2,0,69
"emp_YGE65",1,1,0,1.85507246376812,0,64
"emp_Y15-24_NaceA",1,1,0,0.521739130434783,0,18
"emp_Y25-64_NaceA",1,1,0,1.82608695652174,0,63
"emp_Y15-24_NaceB-E",1,1,0,1.6231884057971,0,56
"emp_Y25-64_NaceB-E",1,1,0,1.97101449275362,0,68
"emp_Y25-64_NaceF",1,1,0,1.97101449275362,0,68
"emp_Y15-24_NaceG-I",1,1,0,1.91304347826087,0,66
"emp_Y25-64_NaceG-I",1,1,0,2,0,69
"emp_Y15-24_NaceJ",1,1,0,0.405797101449275,0,14
"emp_Y15-24_NaceK",1,1,0,0.260869565217391,0,9
"emp_Y15-24_NaceL",1,1,0,0.0579710144927536,0,2
"emp_Y15-24_NaceM_N",1,1,0,1.21739130434783,0,42
"emp_Y15-24_NaceO-Q",1,1,0,1.56521739130435,0,54
"emp_Y15-24_NaceR-U",1,1,0,1.04347826086957,0,36
"unemp_Y15-24",1,1,0,1.88405797101449,0,65
"GDP",1,1,0,2,0,69
"GVAgr",1,1,0,0.840579710144927,0,29
"earn_OC1_B-F",1,1,0,2.17391304347826,0,75
"earn_OC3_B-F",1,1,0,2.23188405797101,0,77
"earn_OC4_B-F",1,1,0,2.17391304347826,0,75
"earn_OC6_B-F",1,1,0,1.2463768115942,0,43
"earn_OC7_B-F",1,1,0,2,0,69
"earn_OC8_B-F",1,1,0,2,0,69
"earn_OC1_G-N",1,1,0,1.97101449275362,0,68
"earn_OC3_G-N",1,1,0,2.02898550724638,0,70
"earn_OC4_G-N",1,1,0,2.14492753623188,0,74
"earn_OC7_G-N",1,1,0,2,0,69
"earn_OC1_P-S",1,1,0,2.02898550724638,0,70
"earn_OC2_P-S",1,1,0,2.11594202898551,0,73
"earn_OC3_P-S",1,1,0,2,0,69
"earn_OC4_P-S",1,1,0,2,0,69
"earn_OC6_P-S",1,1,0,1.82608695652174,0,63
"earn_OC8_P-S",1,1,0,2.26086956521739,0,78
"earn_OC9_P-S",1,1,0,2.3768115942029,0,82
"expend_ED5-8",1,1,0,2.20289855072464,0,76
