"","mean","n","stdev"
"pop_Total",788773.8,5,847816.760473748
"pop_Y0-14",14.6726384321237,5,1.61480344536331
"pop_Y15-24",11.3307643006851,5,1.79119351938694
"pop_Y25-64",54.6920632074843,5,1.806404898756
"pop_Y65-74",9.53839229944636,5,1.77755590199869
"pop_YGE75",9.76614176026047,5,3.14758303086474
"ARPR",NA,0,NA
"low_work",NA,0,NA
"rooms_pp",NA,0,NA
"mat_depriv",NA,0,NA
"ARPR_socexcl",NA,0,NA
"emp_Y15-24_ED0-2",8.68419506077794,3,2.92702636765607
"emp_Y25-64_ED0-2",39.8163001419565,5,3.09963325087067
"emp_Y15-24_ED3-4",11.9667664109384,3,1.3230115518956
"emp_Y25-64_ED3-4",16.0981567852175,5,3.79356232949988
"emp_Y15-24_ED5-8",5.31942275683374,1,NA
"emp_Y25-64_ED5-8",14.4050247735608,5,2.01294225910034
"emp_FT",49.2136834498093,5,3.01890274082174
"emp_PT",8.13305344385314,5,1.99185084211195
"emp_Y15-24",21.7656888233894,5,4.97689261858307
"emp_Y25-64",70.3178358567378,5,3.03496365324703
"emp_YGE65",13.3414117003427,4,4.15577001935882
"emp_Y15-24_NaceA",NA,0,NA
"emp_Y25-64_NaceA",6.31740900187987,5,1.67606963822335
"emp_Y15-24_NaceB-E",6.26319131046554,1,NA
"emp_Y25-64_NaceB-E",8.0522188338274,5,5.4116238983426
"emp_Y15-24_NaceF",NA,0,NA
"emp_Y25-64_NaceF",4.4741531306365,5,0.637886908202647
"emp_Y15-24_NaceG-I",11.2594616243537,3,5.5180810884504
"emp_Y25-64_NaceG-I",19.5182200577772,5,5.20171247564282
"emp_Y15-24_NaceJ",NA,0,NA
"emp_Y25-64_NaceJ",0.913443418352148,1,NA
"emp_Y15-24_NaceK",NA,0,NA
"emp_Y25-64_NaceK",1.18500767786225,1,NA
"emp_Y15-24_NaceL",NA,0,NA
"emp_Y25-64_NaceL",NA,0,NA
"emp_Y15-24_NaceM_N",NA,0,NA
"emp_Y25-64_NaceM_N",4.64212552866066,4,1.63824180395266
"emp_Y15-24_NaceO-Q",2.61681280779724,1,NA
"emp_Y25-64_NaceO-Q",20.6845772858722,5,2.06203323133104
"emp_Y15-24_NaceR-U",NA,0,NA
"emp_Y25-64_NaceR-U",4.56250283970243,5,0.98822841410462
"unemp_Y15-24",12.6773969473894,5,2.50618602742928
"unemp_YGE25",8.79756798457012,5,1.02711669772891
"GDP",19740,5,1059.71694333912
"GVAgr",0.5,5,0.212132034355964
"disp_income",12280,5,571.839138219832
"training",8.48,5,1.22759928315391
"earn_OC1_B-F",14.99,5,0
"earn_OC2_B-F",12.46,5,0
"earn_OC3_B-F",8.75,5,0
"earn_OC4_B-F",6.94,5,0
"earn_OC5_B-F",5.59,5,0
"earn_OC6_B-F",4.83,5,0
"earn_OC7_B-F",4.66,5,0
"earn_OC8_B-F",4.66,5,0
"earn_OC9_B-F",4.82,5,0
"earn_OC1_G-N",22.27,5,0
"earn_OC2_G-N",14.46,5,0
"earn_OC3_G-N",13.25,5,0
"earn_OC4_G-N",9.19,5,0
"earn_OC5_G-N",5.72,5,0
"earn_OC6_G-N",5.05,5,0
"earn_OC7_G-N",5.12,5,0
"earn_OC8_G-N",5.64,5,0
"earn_OC9_G-N",4.69,5,0
"earn_OC1_P-S",17.21,5,0
"earn_OC2_P-S",14.8,5,0
"earn_OC3_P-S",8.28,5,0
"earn_OC4_P-S",6.73,5,0
"earn_OC5_P-S",4.9,5,0
"earn_OC6_P-S",NA,0,NA
"earn_OC7_P-S",4.98,5,0
"earn_OC8_P-S",4.84,5,0
"earn_OC9_P-S",4.87,5,0
"expend_ED5-8",0.92,5,0
