"vars","pval","adjp","odds","exp","obs","size"
"earn_OC8_P-S",2.83153242465584e-05,0.001326753268897,Inf,2.90217391304348,9,89
"earn_OC7_P-S",3.49145597078158e-05,0.001326753268897,Inf,2.96739130434783,9,91
"unemp_YGE25",0.000801652713429025,0.0203085354068686,17.4285714285714,3,8,92
"emp_Y25-64_ED0-2",0.0398163791205273,0.756511203290019,4.2093023255814,3,6,92
"unemp_Y15-24",0.109940581954776,1,2.87037037037037,2.80434782608696,5,86
"pop_Total",0.141065161657648,1,2.58620689655172,3,5,92
"pop_YGE75",0.348164944119941,1,1.62727272727273,3,4,92
"emp_Y25-64_NaceR-U",0.616794372096393,1,1.01704545454545,2.96739130434783,3,91
"pop_Y0-14",0.625849296634926,1,1,3,3,92
"pop_Y65-74",0.625849296634926,1,1,3,3,92
"pop_Y15-24",0.861219843052388,1,0.561904761904762,3,2,92
"emp_Y15-24_NaceB-E",0.94518287570554,1,0.326013513513514,2.44565217391304,1,75
"emp_Y25-64_NaceJ",0.958504682844235,1,0.2921875,2.64130434782609,1,81
"emp_Y25-64_NaceB-E",0.974427959128179,1,0.245833333333333,2.96739130434783,1,91
"emp_Y25-64_NaceM_N",0.974427959128179,1,0.245833333333333,2.96739130434783,1,91
"emp_Y25-64_ED3-4",0.975672004359781,1,0.241758241758242,3,1,92
"emp_FT",0.975672004359781,1,0.241758241758242,3,1,92
"emp_Y25-64",0.975672004359781,1,0.241758241758242,3,1,92
"pop_Y25-64",1,1,0,3,0,92
"ARPR",1,1,0,0.91304347826087,0,28
"low_work",1,1,0,0.945652173913043,0,29
"rooms_pp",1,1,0,1.17391304347826,0,36
"mat_depriv",1,1,0,0.945652173913043,0,29
"ARPR_socexcl",1,1,0,0.91304347826087,0,28
"emp_Y15-24_ED0-2",1,1,0,2.60869565217391,0,80
"emp_Y15-24_ED3-4",1,1,0,2.93478260869565,0,90
"emp_Y15-24_ED5-8",1,1,0,2.18478260869565,0,67
"emp_Y25-64_ED5-8",1,1,0,3,0,92
"emp_PT",1,1,0,3,0,92
"emp_Y15-24",1,1,0,3,0,92
"emp_YGE65",1,1,0,2.77173913043478,0,85
"emp_Y15-24_NaceA",1,1,0,0.782608695652174,0,24
"emp_Y25-64_NaceA",1,1,0,2.70652173913043,0,83
"emp_Y15-24_NaceF",1,1,0,1.85869565217391,0,57
"emp_Y25-64_NaceF",1,1,0,2.96739130434783,0,91
"emp_Y15-24_NaceG-I",1,1,0,2.8695652173913,0,88
"emp_Y25-64_NaceG-I",1,1,0,3,0,92
"emp_Y15-24_NaceJ",1,1,0,0.58695652173913,0,18
"emp_Y15-24_NaceK",1,1,0,0.391304347826087,0,12
"emp_Y25-64_NaceK",1,1,0,2.80434782608696,0,86
"emp_Y15-24_NaceL",1,1,0,0.0652173913043478,0,2
"emp_Y25-64_NaceL",1,1,0,1.79347826086957,0,55
"emp_Y15-24_NaceM_N",1,1,0,1.82608695652174,0,56
"emp_Y15-24_NaceO-Q",1,1,0,2.34782608695652,0,72
"emp_Y25-64_NaceO-Q",1,1,0,3,0,92
"emp_Y15-24_NaceR-U",1,1,0,1.56521739130435,0,48
"GDP",1,1,0,3,0,92
"GVAgr",1,1,0,1.23913043478261,0,38
"disp_income",1,1,0,2.96739130434783,0,91
"training",1,1,0,3,0,92
"earn_OC1_B-F",1,1,0,3.35869565217391,0,103
"earn_OC2_B-F",1,1,0,3.29347826086957,0,101
"earn_OC3_B-F",1,1,0,3.35869565217391,0,103
"earn_OC4_B-F",1,1,0,3.97826086956522,0,122
"earn_OC5_B-F",1,1,0,3.8804347826087,0,119
"earn_OC6_B-F",1,1,0,1.33695652173913,0,41
"earn_OC7_B-F",1,1,0,3.35869565217391,0,103
"earn_OC8_B-F",1,1,0,3.35869565217391,0,103
"earn_OC9_B-F",1,1,0,3.97826086956522,0,122
"earn_OC1_G-N",1,1,0,3.03260869565217,0,93
"earn_OC2_G-N",1,1,0,3.35869565217391,0,103
"earn_OC3_G-N",1,1,0,3.97826086956522,0,122
"earn_OC4_G-N",1,1,0,3.97826086956522,0,122
"earn_OC5_G-N",1,1,0,3.32608695652174,0,102
"earn_OC6_G-N",1,1,0,2.1195652173913,0,65
"earn_OC7_G-N",1,1,0,3.35869565217391,0,103
"earn_OC8_G-N",1,1,0,4.04347826086957,0,124
"earn_OC9_G-N",1,1,0,3.35869565217391,0,103
"earn_OC1_P-S",1,1,0,3.94565217391304,0,121
"earn_OC2_P-S",1,1,0,3.16304347826087,0,97
"earn_OC3_P-S",1,1,0,3.91304347826087,0,120
"earn_OC4_P-S",1,1,0,3.94565217391304,0,121
"earn_OC5_P-S",1,1,0,3.94565217391304,0,121
"earn_OC6_P-S",1,1,0,3.03260869565217,0,93
"earn_OC9_P-S",1,1,0,3.97826086956522,0,122
"expend_ED5-8",1,1,0,2.51086956521739,0,77
