Sets to variables test for under-representation
76 variables tested, 47 have p < 0.05 
Selected set size: 16 
    Universe size: 276 
                 vars         pval        adjp      odds      exp obs size
1        earn_OC1_B-F 0.0004325002 0.009049657 0.0000000 5.971014   0  103
2        earn_OC8_B-F 0.0004325002 0.009049657 0.0000000 5.971014   0  103
3        earn_OC9_G-N 0.0004325002 0.009049657 0.0000000 5.971014   0  103
4        earn_OC5_G-N 0.0004762977 0.009049657 0.0000000 5.913043   0  102
5        earn_OC1_G-N 0.0011064993 0.013895637 0.0000000 5.391304   0   93
6        earn_OC3_B-F 0.0029285545 0.013895637 0.0000000 4.753623   0   82
7        earn_OC4_B-F 0.0029285545 0.013895637 0.0000000 4.753623   0   82
8        earn_OC7_B-F 0.0029285545 0.013895637 0.0000000 4.753623   0   82
9        earn_OC9_B-F 0.0029285545 0.013895637 0.0000000 4.753623   0   82
10       earn_OC2_G-N 0.0029285545 0.013895637 0.0000000 4.753623   0   82
11       earn_OC3_G-N 0.0029285545 0.013895637 0.0000000 4.753623   0   82
12       earn_OC4_G-N 0.0029285545 0.013895637 0.0000000 4.753623   0   82
13       earn_OC1_P-S 0.0031903248 0.013895637 0.0000000 4.695652   0   81
14       earn_OC4_P-S 0.0031903248 0.013895637 0.0000000 4.695652   0   81
15       earn_OC5_P-S 0.0031903248 0.013895637 0.0000000 4.695652   0   81
16       earn_OC9_P-S 0.0031903248 0.013895637 0.0000000 4.695652   0   81
17       earn_OC5_B-F 0.0034739092 0.013895637 0.0000000 4.637681   0   80
18       earn_OC3_P-S 0.0034739092 0.013895637 0.0000000 4.637681   0   80
19       earn_OC8_P-S 0.0034739092 0.013895637 0.0000000 4.637681   0   80
20        disp_income 0.0079471106 0.019252224 0.0000000 4.057971   0   70
21       earn_OC2_P-S 0.0079471106 0.019252224 0.0000000 4.057971   0   70
22         pop_Y15-24 0.0086128371 0.019252224 0.0000000 4.000000   0   69
23         pop_Y25-64 0.0086128371 0.019252224 0.0000000 4.000000   0   69
24         pop_Y65-74 0.0086128371 0.019252224 0.0000000 4.000000   0   69
25          pop_YGE75 0.0086128371 0.019252224 0.0000000 4.000000   0   69
26   emp_Y25-64_ED3-4 0.0086128371 0.019252224 0.0000000 4.000000   0   69
27             emp_PT 0.0086128371 0.019252224 0.0000000 4.000000   0   69
28         emp_Y15-24 0.0086128371 0.019252224 0.0000000 4.000000   0   69
29         emp_Y25-64 0.0086128371 0.019252224 0.0000000 4.000000   0   69
30 emp_Y25-64_NaceG-I 0.0086128371 0.019252224 0.0000000 4.000000   0   69
31 emp_Y25-64_NaceM_N 0.0086128371 0.019252224 0.0000000 4.000000   0   69
32 emp_Y25-64_NaceO-Q 0.0086128371 0.019252224 0.0000000 4.000000   0   69
33 emp_Y25-64_NaceR-U 0.0086128371 0.019252224 0.0000000 4.000000   0   69
34                GDP 0.0086128371 0.019252224 0.0000000 4.000000   0   69
35   emp_Y15-24_ED3-4 0.0093305735 0.019697877 0.0000000 3.942029   0   68
36 emp_Y25-64_NaceB-E 0.0093305735 0.019697877 0.0000000 3.942029   0   68
37 emp_Y15-24_NaceG-I 0.0109374198 0.022466051 0.0000000 3.826087   0   66
38          emp_YGE65 0.0128009592 0.024321823 0.0000000 3.710145   0   64
39   emp_Y25-64_NaceK 0.0128009592 0.024321823 0.0000000 3.710145   0   64
40       earn_OC6_P-S 0.0128009592 0.024321823 0.0000000 3.710145   0   64
41   emp_Y15-24_ED0-2 0.0174547492 0.032355145 0.0000000 3.478261   0   60
42       earn_OC8_G-N 0.0211759788 0.038318438 0.1421687 4.869565   1   84
43       earn_OC7_G-N 0.0227340367 0.040181088 0.1447154 4.811594   1   83
44 emp_Y15-24_NaceB-E 0.0236604503 0.040302658 0.0000000 3.246377   0   56
45       earn_OC2_B-F 0.0243937140 0.040302658 0.1473251 4.753623   1   82
46       earn_OC7_P-S 0.0243937140 0.040302658 0.1473251 4.753623   1   82
47       earn_OC6_G-N 0.0343322768 0.055516022 0.0000000 2.956522   0   51
