"","Cluster","Prob(1)","Prob(2)","Prob(3)","Prob(4)","Prob(5)","Prob(6)","Prob(7)","Prob(8)","Prob(9)","Prob(10)","Prob(11)","Prob(12)","Prob(13)","Prob(14)","Prob(15)","Prob(16)","Prob(17)","Prob(18)","Prob(19)","Prob(20)","Prob(21)","Prob(22)","Prob(23)","Prob(24)","Prob(25)"
"BE21",3,0.000934629772596648,3.3009840810951e-13,0.998759276849091,1.09034945832047e-07,2.40038817202786e-10,2.91095018930363e-34,1.38404131268324e-18,7.43364550827801e-29,0.000305955468207252,2.86131596841913e-08,2.91544717037682e-50,6.91263199132613e-32,6.58850090556926e-23,3.73517206912155e-20,1.89936189992037e-11,6.01762211426739e-16,1.00579439431655e-23,2.56712426718735e-13,2.36205097215364e-12,6.4121028751811e-36,1.28104585901306e-19,3.13053356351019e-35,1.7020823895832e-14,3.37216882129512e-24,1.39857138949954e-33
"BE22",4,1.89062694554223e-05,7.64042450726259e-25,4.52431114436808e-06,0.999975442807514,6.95560237198692e-08,2.11526219609345e-25,6.96562793781883e-08,2.15605539336534e-21,5.55080996158054e-12,7.61593074277948e-07,2.24477936918763e-50,1.85108816211736e-23,2.09001481576481e-31,2.97136495980209e-17,3.89275554223283e-21,4.63649474940872e-21,5.32066456026284e-24,8.59630052014006e-24,2.24436221522689e-07,3.56485825239064e-29,3.0610673562908e-19,2.2219073894554e-39,1.36473618534372e-09,5.09595537246122e-25,1.48050999853423e-48
"BE23",1,0.993200985414808,1.35928984310941e-21,0.000124924917815074,0.00271922396823088,3.67127996147457e-11,1.39384545292887e-35,9.02530531884135e-06,1.60131387923213e-22,9.08690865224445e-10,0.000155848398957955,3.93820882449856e-38,1.73961749197613e-18,3.63956668438809e-33,2.34739827642276e-26,8.53494699530585e-13,3.49717001167771e-10,1.1567262272449e-23,3.48939228721801e-15,0.00378999051237621,1.41406161334772e-36,1.52613222638644e-25,3.76772744854339e-33,1.86504124678353e-10,1.10397925297354e-14,3.82171210863673e-36
"BE24",1,0.891561578840631,4.2112679706288e-13,0.10840018379926,1.50951274620858e-05,2.3625626381257e-10,2.91071688020227e-44,2.53169736220345e-13,2.62333607598093e-26,5.31721644541992e-08,6.70011001355915e-08,2.02181155535118e-36,3.40860871364371e-25,1.24271461975414e-25,2.82962375595187e-27,3.67111676302436e-06,6.34162288991109e-08,3.84310518295159e-19,1.2367871850357e-05,6.91941746865924e-06,2.76663368176639e-45,6.29989144912737e-31,6.37270211014065e-44,3.89946806609153e-17,1.40402647860855e-13,2.82206062294423e-28
"BE25",3,0.437058008775914,3.46566725128477e-22,0.562783592700267,0.000146439623835454,1.86078632182657e-11,7.3013839889838e-35,1.61430690923072e-08,6.24984023215441e-28,1.08469275535424e-08,1.09473770854033e-06,6.17366796151382e-46,2.96080002979391e-22,3.91080371814661e-34,4.90354223814025e-24,8.65617631388227e-11,1.86581542211954e-11,1.04119345627211e-26,1.80923849281005e-18,1.08367231854618e-05,1.18338894554138e-35,1.30277142364284e-24,1.63063069604041e-25,3.25264621879284e-10,3.40404698768495e-19,3.14212442088486e-33
"BE31",1,0.997203084404793,1.99170824582098e-06,0.000331911397461421,0.00112848946712257,0.00107375973019996,1.20968017546621e-33,1.06828621236367e-12,6.49453344578819e-19,8.91659876289669e-08,1.3442077274009e-06,9.30283001664054e-33,4.6943493177161e-22,9.04258681813473e-14,6.60594650776436e-18,5.0504806535643e-06,2.51704368935155e-10,6.38175309994897e-09,0.000106994339935388,0.00014727846303446,1.61386356198372e-35,7.52699606586889e-23,2.17357834705425e-48,2.16078011410516e-13,7.23907608982146e-15,4.15007048856744e-33
"BE32",5,2.29773098530624e-13,3.12895360125474e-31,4.43096576800149e-14,0.000676569340065987,0.999146110563421,2.44246944477982e-16,6.85376634938132e-09,5.32349181935081e-26,3.61356004638109e-22,9.05778649631485e-10,8.04392373961965e-62,2.77388986485302e-25,5.40843005971795e-12,0.000177298138510491,3.19312316286829e-22,8.51192939952332e-25,4.2553710044311e-10,1.40670521345765e-30,1.21243186288612e-08,1.44395040481119e-17,6.82838010399616e-11,1.6915922859421e-47,1.5746346230529e-09,1.05149870117504e-40,9.75491632799729e-65
"BE33",5,8.34780260875189e-08,7.52411503167531e-30,6.51492243920764e-08,2.28010213269485e-06,0.999110623803846,2.42245876673091e-21,1.01134142238255e-05,7.33698491745841e-33,1.21281447196497e-20,3.98712369172006e-09,5.70767479738159e-58,5.80547475542376e-20,1.70847790603095e-11,2.07509712208617e-06,4.4162230458733e-08,7.86978721735452e-13,1.7094783985148e-08,1.58263993549809e-27,0.000872573120887519,1.3789461268727e-18,5.86677446102533e-14,4.72616598221437e-27,2.12057246972077e-06,5.1537442103803e-36,4.53850794087252e-49
"BE34",5,3.32685743283554e-07,2.7085252532374e-35,0.00709013034691797,0.0868908184916914,0.901062806681613,1.43376606908166e-20,0.00357348618260306,7.92289598532956e-35,9.56430319153346e-21,4.39719576437673e-10,3.18307185891778e-65,3.12081247315166e-21,4.18741902883979e-21,2.63929306673416e-05,4.64112607976744e-10,2.20437102056472e-15,5.99216662980137e-15,1.12205221833732e-32,0.00133502127823734,1.04988437702313e-19,1.62264456840464e-16,1.50395073739573e-23,2.10104986861257e-05,1.62179153855542e-37,3.44571664052213e-49
"BE35",5,1.14701221959503e-09,1.17849034926889e-27,4.27876869127726e-10,0.227944347398625,0.772052888690243,5.423323482694e-19,2.16297586399598e-07,6.89312698147504e-24,1.93966278167101e-19,3.16388526407774e-09,2.23533462987749e-56,3.45457458104368e-23,1.12981897539376e-16,9.48225925283737e-07,5.45183407103397e-19,3.64416370099025e-22,1.3372942207978e-11,4.16701122151007e-27,1.58957944715128e-06,3.22275973120693e-21,8.67189363633055e-15,1.46660115879676e-45,5.05601659744947e-09,2.23630666623501e-34,1.39977707856643e-57
