"","Cluster","Prob(1)","Prob(2)","Prob(3)","Prob(4)","Prob(5)","Prob(6)","Prob(7)","Prob(8)","Prob(9)","Prob(10)","Prob(11)","Prob(12)","Prob(13)","Prob(14)","Prob(15)","Prob(16)","Prob(17)","Prob(18)","Prob(19)","Prob(20)","Prob(21)","Prob(22)","Prob(23)","Prob(24)","Prob(25)"
"DE23",3,0.0045912376478703,4.32064362783424e-31,0.995362959882609,1.57216734617384e-06,5.99448085803815e-33,1.67136227123343e-53,1.04604785182482e-15,5.42758746730067e-30,4.42302869187974e-05,8.8660068943612e-12,9.84565527116196e-49,8.25047474762924e-33,4.58612559785797e-79,3.33254593021851e-51,4.35076124454956e-30,8.06073951510583e-24,1.5456359817079e-63,6.33348118305764e-26,2.72063945460493e-16,2.7724858943005e-60,6.43108076700422e-44,1.09128507381193e-28,3.68139994655153e-20,6.38834342853466e-12,3.81237897686884e-31
"DE24",3,0.118635037472343,9.5981651020837e-34,0.880903251674409,0.000461606769861965,4.94080591415981e-31,4.50052081513151e-56,1.74075002748884e-10,3.22059400541271e-29,7.94040233863237e-08,2.73709463742597e-10,3.73210376800286e-44,3.66578855155503e-28,3.45336857927182e-78,5.60467139392027e-52,4.789123653287e-27,9.58305432335377e-19,2.26261359702811e-59,2.70046001285651e-23,1.89331395599796e-11,6.60307383756353e-62,3.11467868021218e-47,2.16398373436123e-31,8.10224213502999e-20,2.42126450748665e-08,1.31855066441278e-30
"DE25",3,9.06250991322966e-07,1.32767438031798e-32,0.999998871988271,2.22759078282831e-11,4.28779045383202e-37,1.24223939573013e-66,1.86972554267138e-23,1.57726950421146e-39,2.21738457601465e-07,1.08925830613482e-16,5.78349035790962e-54,3.06965768901214e-42,8.04026084654987e-79,2.30678613893427e-57,1.4002565252931e-28,1.92547491497658e-23,5.56277896795094e-66,3.95153544972481e-22,2.88024624828545e-21,1.62799443640775e-72,1.508581148625e-52,4.95568835778361e-39,1.67376768030269e-29,3.76862283955309e-15,1.38759085086017e-28
"DE26",3,0.000307660436207783,1.49803551095602e-35,0.999690259272436,5.27624974339984e-08,5.67786551057958e-38,3.48615606560379e-61,3.17667823777845e-17,5.02509013853021e-34,2.02750269189996e-06,8.34888711783317e-14,1.00433086920743e-50,8.95842572460548e-36,5.14789523317929e-88,2.62829038621755e-58,2.70193618243474e-32,2.43883812380008e-24,1.04640568363412e-70,5.10545041759274e-27,3.38264269868425e-18,3.87544275780856e-68,9.73095920841659e-51,3.02720023501234e-30,5.03125534395645e-24,2.60836249947148e-11,4.76404728886262e-30
"DE27",3,2.71278013987598e-05,9.27309856855202e-34,0.999971344503463,1.66795185966069e-07,1.97408705790298e-35,1.36436049674755e-62,1.0599159976691e-18,1.65171926248018e-34,1.36089847155771e-06,1.67195961511735e-13,2.74001341754063e-51,3.04603064292485e-38,3.17144759227908e-80,6.00620768341688e-56,6.91059492621161e-31,2.72466178459918e-23,1.93803311056661e-65,1.78778056347545e-22,2.60527984095195e-18,2.87744219569605e-69,4.40381043838883e-50,3.57323656934512e-39,1.89130154214912e-26,1.31354984618135e-12,2.47107795143591e-31
"DE30",10,0.384522992756629,9.04196272502482e-20,2.85640793577078e-09,1.26734732619548e-06,5.3637567613437e-19,5.66289417543695e-38,9.79850398046645e-09,2.08396607382856e-17,0.000285505088478937,0.615189427475124,1.74261823981681e-32,5.23136812371849e-20,2.77201702441907e-40,3.57391537962009e-36,5.87293426757383e-22,4.02558524228987e-13,5.30970059107752e-33,2.99624072233288e-13,7.9422045482636e-07,1.21402558171458e-39,2.63360745797788e-23,1.96164184904464e-34,7.23579208282109e-12,4.49137313993334e-10,3.68359436340527e-38
"DE40",4,1.85472736700354e-06,6.91326916062723e-32,4.02604266820182e-09,0.999837338734101,2.58428545368068e-16,1.00919214611665e-32,1.43408146910923e-06,9.04755037949458e-20,4.09166888667355e-11,0.000159358499985135,2.34691160429157e-48,2.03558137079779e-24,2.39478306978566e-46,1.5766966524651e-29,5.30639623206075e-31,7.06008862450114e-23,2.40396016258958e-36,1.37441280065611e-24,9.88911485481727e-09,1.76900660373971e-37,2.99850889058705e-24,1.07543646295041e-43,1.0032219469755e-12,1.70489713246405e-20,2.81714733956497e-52
"DE50",1,0.0346185603817746,8.71331750114538e-15,0.955349239345219,2.22655389799593e-12,2.88132676496297e-26,7.97378524238556e-52,1.7374677290623e-23,4.39409378374927e-31,0.0100322002703415,1.4885356685396e-13,8.8751168959258e-43,1.6671902800616e-34,2.42335232021328e-54,6.44499029681146e-43,5.84754729141369e-17,9.69836027517273e-19,1.56393081844353e-46,2.2301650694405e-15,2.93776327894012e-17,5.74479871986896e-56,2.29528104782328e-38,8.71708929267738e-31,4.05710765551059e-21,2.78716253923128e-13,9.2114364384994e-23
"DE60",9,1.76930274748745e-10,1.76717728075753e-12,5.26880918479304e-09,5.68004218184344e-27,4.62183240547135e-50,1.58914140612296e-80,1.13610459153678e-46,2.34365732643409e-38,0.999999994417792,2.8477127544113e-24,3.10011158083908e-42,7.37946843005407e-56,5.61399272782832e-80,1.68739888358074e-73,2.92639382873254e-33,7.29747736816739e-32,6.88483250510369e-74,3.00469031377169e-12,2.17212263863482e-36,3.05850273663485e-88,2.41373724315832e-59,1.57689563730689e-53,2.15467740461336e-42,1.31696984640237e-10,2.33783387623153e-20
"DE71",9,2.09862317297316e-05,1.30646665839609e-21,0.00950916483390015,3.79083439582814e-18,1.81710389048243e-38,2.07521730373148e-69,2.90529541162781e-29,9.13784187706682e-39,0.990469848896274,3.78466061271523e-13,9.85110983734228e-46,1.11840303301805e-43,2.09523901054633e-65,5.84921319928434e-60,1.40540372334334e-23,1.06389384600023e-17,1.03952181036636e-60,2.95308906930483e-11,5.84267011754061e-23,2.72534981483618e-72,1.70642950257155e-46,1.0000866750579e-37,8.17047352702587e-31,8.18674204055448e-12,8.01958766157592e-22
"DE72",1,0.994945149468088,2.90902972326886e-28,1.1810253564067e-06,0.00504292774710282,1.10686710001414e-24,4.30501486143359e-46,3.87017749179695e-06,1.5107713964661e-19,5.22278976611725e-09,2.04262954382097e-06,7.30222274523048e-34,9.8171674926746e-20,1.25404142591874e-64,4.24161994071818e-45,4.5357899800972e-26,5.30889016993131e-17,3.14733160162293e-46,1.38718765461343e-20,9.01790874473366e-07,4.38398888698713e-51,7.78607744015931e-39,8.63702159777526e-35,1.15049880939992e-14,3.9219387419777e-06,3.8153303053792e-36
"DE73",3,0.000535199366737567,6.4100873664909e-32,0.99946008865075,4.6851964074562e-06,1.58557242327434e-26,3.38903779934297e-49,9.66999626329717e-14,1.7043914573546e-32,2.67687889434309e-08,1.711253222607e-11,3.50260491153902e-52,2.12599603553113e-31,6.81559112489645e-66,1.2419970456721e-42,1.16434606178008e-24,1.25009229152604e-20,6.05444568995475e-53,1.85068540335627e-25,1.06415238663234e-13,6.67265381678786e-54,1.99341119395879e-39,3.98386360971088e-29,1.93010715275475e-18,5.1238128940517e-17,1.22196823521728e-33
"DE80",4,7.19529682907562e-05,6.32552601030379e-35,8.23091345921066e-09,0.980100559702146,4.24974138095952e-16,1.49420878999271e-28,0.0197222625008597,3.47052685729372e-20,6.12973804349709e-13,0.000101939748325327,2.70537149060045e-48,5.75530463695276e-19,1.13742984406804e-50,2.70444773461831e-28,4.12035659501562e-29,9.85275942194966e-22,1.45933361654109e-37,1.29714208410306e-30,3.21101762318421e-06,1.73089492520613e-32,1.85469464592577e-23,1.77785533664443e-30,6.58312285655384e-08,1.80779975943688e-20,5.865144782282e-51
"DE91",3,0.527745148996914,2.93590276438927e-20,0.46743494900214,3.63500286652699e-07,2.25779473037155e-23,2.85205096369095e-46,2.84263969342165e-15,1.25434271061479e-26,0.00481950122830927,3.72652476639008e-08,3.75037820667333e-42,8.06828811676462e-29,5.93101673873409e-54,5.29091613118452e-40,1.01693320341988e-19,9.09574431705262e-17,1.28654127969456e-44,1.21500348138197e-16,2.96884229969538e-12,3.49376409239223e-50,1.34038898326655e-33,7.43431019333325e-30,1.2709948555804e-16,4.13114091833842e-12,1.26647231749776e-28
"DE92",3,0.0859576455968376,6.34077884598462e-26,0.913762605630669,9.46636368637696e-05,3.13843057213957e-23,3.04226843469585e-46,2.81636216639156e-12,2.55900645026536e-27,0.000184486714712334,5.98379516296848e-07,1.11467151497936e-45,1.06515653237372e-28,1.79057086715207e-56,6.70273179043261e-40,2.44392195580527e-22,5.79206493206956e-17,3.06665975157198e-46,1.44378881746259e-18,3.83925536777413e-11,2.82237305311834e-50,8.9130602748575e-34,1.40057268220942e-31,1.69799094503894e-16,1.91828786119222e-13,1.63068057661758e-32
"DE93",3,6.10741038098258e-06,8.11043254644863e-44,0.999657333113808,0.000336503521086861,7.4495468330592e-25,8.63525486266714e-52,5.55571028313993e-08,6.96318535737248e-39,2.58593280195532e-15,7.58165429827105e-12,5.21694384326425e-59,9.00654803333708e-30,3.793413003605e-66,1.9879475320175e-41,3.32249844537401e-23,4.87763789341873e-17,5.60826226968895e-51,2.67281487433653e-29,3.90037099774988e-10,1.76528318826367e-54,1.01011136565122e-42,1.75782544246943e-29,7.57926541760043e-19,2.55302234497928e-21,2.88257143314431e-38
"DE94",3,0.00330369939358359,5.6969692669148e-30,0.993682336255054,0.00298965718279798,7.56060244448491e-22,3.7232896858595e-42,8.59306708168923e-11,5.17829397454865e-28,2.14740250048111e-05,2.83303352190799e-06,1.33785838853093e-51,2.25967578491819e-29,8.41615396986046e-56,2.5067970332569e-36,5.35484134989075e-25,4.28501061706441e-19,1.37512700141601e-46,2.24770173604813e-22,2.41015287234724e-11,2.5215649743097e-46,2.84691609721197e-30,1.05389171976912e-30,5.05338759111423e-15,1.09501991273098e-17,1.5788392089254e-37
"DEA1",9,1.76398130942295e-05,1.32127560468523e-25,0.00131083141754238,2.34469601756414e-11,2.81974386643289e-31,5.21354724485159e-58,3.25839348057714e-21,2.30424932332509e-32,0.998669679729808,1.84901045775229e-06,5.22636715278695e-48,4.93133600960332e-39,3.55085403033433e-56,2.85363957470972e-50,2.93688650886421e-27,1.74045915970677e-17,3.73905505423543e-53,5.63158814420611e-12,4.19643349938133e-18,6.68462393304422e-61,1.42211335361845e-35,1.52127944704285e-41,3.39853099075338e-25,1.85976771870419e-14,1.15055642287345e-32
"DEA2",9,0.00938477233980963,8.75174311497466e-22,0.0432048260755795,9.39061280222219e-09,8.6438349727032e-26,1.11084557588759e-53,1.78206642547992e-17,3.47889970767611e-29,0.947338088019132,7.23011243050899e-05,3.83831151065373e-43,8.25436366231395e-34,5.62600349123203e-49,1.1594828669542e-44,1.6449631963724e-21,1.40827972566879e-13,7.23011635998441e-45,3.04593790686744e-09,1.18055253955955e-13,4.9720101188702e-56,4.01373944668367e-33,1.17336423601248e-39,1.19347935576331e-21,4.36439051897752e-12,3.47017724045108e-30
"DEA3",3,0.144947432960092,1.36159784093607e-28,0.76322665620606,0.0914470860564836,1.07812288337874e-21,1.36942151888678e-43,1.15307130078051e-08,6.33588814436263e-25,0.000164335764618235,0.000214473425773953,4.95814673196239e-46,8.77392345682846e-27,3.14971352206417e-56,2.95750424125086e-38,1.72839208229538e-24,9.09051078988351e-17,1.88328694087497e-45,5.61728887196261e-19,4.0559357408568e-09,6.9928307846445e-48,1.7401414964058e-31,3.51675469473291e-33,7.82731563258147e-15,3.1571987679908e-13,3.5728453570717e-36
"DEA4",3,0.0243984646515716,1.55307633816171e-25,0.974305099993278,0.000998243024157116,1.41058016379754e-25,2.39418077749009e-52,3.73153632112101e-14,1.75659621871352e-26,0.000298138608107145,5.35782024969682e-08,9.97916324521054e-44,1.21674543522686e-31,2.89757270995944e-61,9.4034526019081e-45,4.88246864575357e-25,2.09545070713297e-18,2.2337395614258e-49,1.96791851903214e-15,1.7123914270095e-12,5.38349785553087e-58,1.4716819385772e-39,9.73392830430203e-42,7.74930050323158e-21,1.42932201501273e-10,2.6312796405483e-32
"DEA5",3,0.043994838285466,1.4001741172009e-26,0.947047071878736,0.00497185073858984,1.94938057806846e-22,3.65371388261841e-49,2.39271398197557e-11,1.64020185208038e-26,0.00326589949132057,0.000720339129530569,8.02309287106822e-45,4.78299339112634e-30,4.29103870450415e-52,1.00698718179917e-40,3.45620181848306e-23,1.73640241122523e-14,6.52557309766466e-44,5.86565906285399e-13,4.4865438022571e-10,8.70967735330344e-53,4.61345560639837e-33,2.2655586344522e-40,1.19935258517804e-18,3.17131565980612e-12,1.9261617423548e-34
"DEB1",3,0.000138959237409894,4.41390023124125e-36,0.999797330644977,6.37100248327722e-05,3.1666234601467e-27,1.35166712782473e-54,4.87930074145478e-12,1.65053043442881e-34,7.59730714744228e-11,9.44495159605676e-12,3.00915844245969e-52,1.22133335427733e-31,3.99021028472468e-68,1.36121200557853e-45,1.41366581923272e-24,1.41546828177333e-18,3.04566163676335e-53,5.17159422929806e-24,2.4818541736908e-12,5.29534765721668e-59,2.12352292011146e-44,9.73657627693536e-35,4.57795863354575e-21,5.43069062087996e-16,2.6511075149994e-34
"DEB2",1,0.0129368626994558,3.15898789047863e-40,0.911537806853347,0.0755247984339425,2.67288707143401e-30,9.94476106192448e-53,5.31707296603387e-07,3.90513005414592e-30,3.86466585187559e-11,4.655145216365e-11,3.45175268169038e-49,1.44989655898838e-26,7.02408135245563e-83,8.54388114059449e-50,1.59968324950101e-29,5.77929880871824e-21,2.09940143674982e-61,6.48210212341239e-30,2.00691172227374e-10,4.73630481570873e-59,2.42955225510264e-47,3.28221936056755e-28,9.61244477954962e-18,2.00690921952077e-11,4.37541316844871e-35
"DEB3",3,0.417028450409747,3.26327521365216e-28,0.58296143994208,9.12148749494826e-06,5.6707602855552e-26,1.94916251786593e-54,2.9925734757659e-11,7.43079979726451e-30,9.41293922708067e-07,4.35333122893378e-08,1.11648255369489e-41,1.88909626360389e-27,2.52637291425415e-61,2.49738514061135e-46,7.04648504692371e-20,4.94762523415327e-13,7.96900410935439e-48,2.52946011238328e-16,1.44920693108097e-09,1.34540713642832e-57,1.5692210012661e-41,5.71723949453165e-33,2.89946168956179e-19,1.85381527624819e-09,1.40850784813571e-28
"DEC0",3,0.0173338322360105,3.80839699563521e-25,0.964927929892535,0.0177297474384404,2.00876777028812e-20,1.49555352964262e-41,3.78430750165971e-12,4.8792822933831e-25,8.47077467343434e-06,1.96342486742518e-08,1.69911659856469e-47,1.04978166458336e-28,1.06980839587885e-55,2.81264427996606e-35,7.61869638153489e-24,8.72424707837385e-21,2.7366426704481e-44,3.09940260104432e-21,2.03042391497308e-11,3.08045211473633e-47,1.11783444072381e-32,1.09846052289826e-34,1.88805767446501e-15,1.55298807611024e-15,8.39522722389639e-36
"DED2",4,0.0377724725495833,1.28749675112032e-28,1.01613834388502e-10,0.904684409654683,4.11387644262517e-18,1.0399709389069e-31,0.042246910962093,2.27318448682021e-13,5.42914329768445e-10,0.0151775423438445,1.41127066051154e-35,1.88568189568624e-15,1.07430969575249e-52,3.5284422573789e-34,2.23283547046723e-29,1.35753742856239e-19,2.13852358217931e-37,3.76660128619197e-24,0.000118645641948259,2.3953628821627e-36,6.45755807205802e-26,9.52805183642226e-35,1.81802360605527e-08,2.28546895871994e-11,3.99483834296939e-47
"DED4",4,6.05445026476938e-06,3.0316260324714e-36,4.99327958377464e-08,0.999970512658436,5.42157750514722e-20,2.3058988141567e-34,2.25340751583773e-05,1.14589594550032e-21,1.50740287584781e-12,8.45284324090549e-07,4.00617509647091e-50,2.02028269442227e-23,1.05176768795948e-58,1.41233945111676e-33,1.04121567780488e-32,1.04441803524858e-24,2.50515419546023e-44,1.31709018401491e-30,3.59229686761013e-09,6.0047311010614e-40,4.12246026295447e-29,4.89604422701679e-36,5.21702578509817e-12,1.14218703340057e-19,1.79130070136454e-50
"DED5",4,0.102114749930611,3.84969704360778e-25,6.46070694307929e-11,0.891758654972082,6.09488081161686e-18,3.23582994541608e-29,0.00167863379682933,9.68175537020035e-11,1.25802359560825e-08,0.0044366621205143,6.32269734785021e-34,2.07175398731038e-15,3.67469873222158e-53,2.81980941783376e-33,2.65742017976895e-30,6.25411181292275e-22,1.03302063758961e-37,1.4419279057006e-24,1.11705671456903e-05,6.18366696515695e-35,9.24697717316842e-25,1.89676615718016e-34,1.15755885977434e-07,1.15269275840084e-10,1.0079650215854e-46
"DEE0",4,9.56912097780197e-06,5.54327781489268e-32,4.57259847736026e-11,0.997693018887374,2.68317346033167e-16,7.4403299315027e-29,0.000273478545103995,1.19513604863285e-16,2.17793704944213e-11,0.00202373404778911,2.06188457434748e-45,1.48998492536812e-20,1.25897933109624e-47,3.43557943616279e-29,3.00041186489625e-32,2.71779217818159e-23,2.8708742674246e-36,5.75263325315832e-27,1.98337892285365e-07,1.49354571863843e-33,5.31177724158058e-22,3.11715253647173e-39,9.93356549689737e-10,2.7660507543848e-19,9.82082868824223e-54
"DEF0",3,0.00665575602014189,6.91083645335536e-34,0.992700774745969,0.000642613975183799,3.13268603749214e-25,5.8375901420033e-52,1.49173237326408e-09,2.46143228823195e-31,1.29777856672069e-07,7.23261788583012e-07,1.08148075795257e-48,4.43758979554673e-29,2.29032120435524e-61,7.32180813456403e-44,1.98887843458575e-23,8.02861676921728e-15,3.18645412460271e-49,1.52965800073818e-19,7.27242291524023e-10,3.63441424835932e-55,1.35195635108722e-38,7.3385375974345e-34,9.83383786354333e-19,7.77177238977744e-14,2.60704848684154e-34
"DEG0",4,0.00095441312798035,5.56817128006051e-31,1.48220768427692e-09,0.967320253263722,2.17404628921458e-15,4.12691214984942e-30,0.0191109596772841,2.09144760428293e-17,4.02071206165411e-11,0.0125580489555818,1.88964291675958e-42,6.79963246929142e-18,4.52542711752317e-46,2.46215381473035e-29,1.23390614860702e-27,5.65267744155659e-19,5.44878921559767e-34,7.87562887583407e-25,5.6310389841792e-05,1.26609999186515e-33,7.67939456273524e-23,5.40077154151548e-35,1.30631730578339e-08,7.16825346425065e-17,2.30540027211614e-49
"DK01",11,1.78410162442461e-27,1.93302675345674e-50,6.31768278906655e-79,2.97478338418539e-70,2.63033372676905e-77,1.25256745376869e-81,2.42372042176804e-31,5.58398481715371e-37,1.31508591718937e-52,2.59206649469884e-35,0.999999998609091,1.2907167270153e-09,1.67471654339909e-99,1.7993962968505e-111,1.28015382917238e-49,9.93723658414569e-29,1.20171268325647e-70,1.37129215385111e-55,1.71043687527726e-28,4.6330116800754e-72,1.59698439176614e-72,2.45619951696213e-18,7.21408073047264e-34,1.00192138459736e-10,2.85841703554471e-57
"DK02",12,4.26827452268835e-24,4.70550315294328e-67,8.00657436127182e-63,1.35845911316625e-51,3.46625169704253e-53,3.58454659538264e-62,6.13106120355393e-10,5.80495292176164e-45,7.17735330113868e-60,5.45844467047745e-30,2.49750509309068e-24,0.999954461262442,1.28619361537651e-79,6.09878488013112e-79,4.87112426958375e-34,4.03739552944641e-18,1.68383211575964e-49,3.01856347113704e-63,1.08221043745366e-12,6.89903313189485e-50,2.03049884527171e-60,4.55381233700837e-05,2.7913197186299e-20,8.84954972273185e-25,4.5454793316206e-63
"DK03",12,2.73283467637739e-20,1.65963062969079e-55,2.45122628041564e-61,1.127339461286e-51,2.66275305489097e-55,8.84263097481637e-60,4.20297185679154e-13,9.25231204131132e-37,5.393209993864e-50,3.50242917130099e-26,1.77756970601165e-15,0.988707552470647,1.19254325554785e-80,1.30341230027813e-81,7.61970113255437e-36,2.96216113302962e-19,6.27238351902955e-53,4.07681637456808e-57,1.81165996250154e-14,2.75217079051808e-49,1.42011463243432e-55,0.0112924475289124,1.52205028770534e-18,2.07963445368851e-17,3.76529928555155e-57
"DK04",12,6.41198568524274e-22,1.71436164589231e-56,1.06824040361673e-65,2.42639026711266e-53,1.90827200613833e-58,7.21849796021303e-62,3.33970788337138e-14,1.02697514590248e-34,1.12289740523134e-51,4.9005342937148e-27,2.18603381817174e-12,0.999999908956657,1.08978982259806e-84,3.32654938758207e-86,1.87932824194625e-40,7.93522610664365e-22,1.67680291873111e-55,4.98602235698994e-58,7.20528386073834e-16,5.38151341599036e-52,4.62810589174833e-58,9.10411226201519e-08,1.82520637491987e-20,3.97744686307241e-16,1.46346925798702e-60
"DK05",12,2.94368290465027e-17,3.00515676175179e-52,3.98496892152387e-54,2.33291101518122e-43,5.3889438966354e-49,4.04304189798283e-53,7.32540189924381e-10,3.17889279081298e-32,2.45350197403937e-45,3.25908988193808e-23,4.51265727572636e-18,0.999920028192772,4.18505133697027e-78,2.96783671828361e-73,5.97185583829761e-35,4.39468902157134e-20,2.3255786418974e-50,7.6559347772728e-55,4.56342876107337e-12,3.37883829366583e-45,4.07341040910343e-51,7.99710701217344e-05,2.80230150917906e-15,1.46326480972687e-16,2.15566215018687e-56
"EL30",13,1.65936599547113e-16,3.37083730265449e-24,2.01785109151257e-20,9.55613577892059e-12,0.000527437090309663,1.90206409263563e-14,1.91238278904937e-17,1.86132402970352e-24,5.03901331903212e-17,1.83168909342462e-07,8.09214643353396e-61,9.17966165025141e-31,0.481313267268585,5.95747163170901e-06,9.2341260013265e-27,1.35159363835193e-27,3.03055189860092e-09,1.56544561720651e-26,5.35676949470281e-15,3.58258150114758e-14,0.518153151943799,2.32659229005282e-50,1.65971058890863e-11,6.10858506962267e-44,2.35648420052649e-68
"EL41",14,1.53236453732286e-29,4.22520747919579e-50,5.25152132900631e-30,3.65871410552461e-15,1.25347344770706e-05,3.98426763073658e-09,2.33621984085975e-17,3.87350331132428e-38,5.25342174217012e-41,1.2231315450385e-23,1.21289626252487e-86,5.77187265416804e-34,1.60583657296497e-16,0.99998746066801,1.10697788478525e-37,2.13525060011645e-44,6.84785522910559e-16,2.10262150033105e-58,1.27166976679366e-20,4.71850945574353e-10,1.41133215668937e-10,1.83328594793699e-49,2.56911874467056e-13,8.14836891111487e-67,6.33822787819552e-91
"EL42",14,1.30413428187613e-18,1.27819503353675e-33,4.65351852112352e-19,0.000114360534074048,0.00162341178897073,0.000845533651921358,1.01662389638393e-13,1.07921910135027e-21,1.22634285692727e-22,3.08598860373135e-13,3.43058834662165e-72,4.5058447887511e-30,5.33670926388081e-21,0.996781557464122,1.53311035833734e-37,7.54586557602745e-42,6.40322321963985e-20,3.30601503868228e-45,9.18708746497569e-17,2.77952216479826e-09,0.000634881576422246,1.12273800601379e-46,2.5220455748234e-07,6.42591519770437e-50,2.2015609227322e-78
"EL43",14,6.98701377565049e-35,4.72060156761396e-44,2.80998636263179e-42,9.03539701307957e-17,4.65801330232989e-07,0.306968585307686,5.5506853054341e-23,1.10070689393495e-24,9.63676572181941e-41,4.41325957385488e-23,2.02395679742149e-80,2.65016437148023e-36,7.68314652247209e-13,0.691915487560255,1.32859161973533e-53,2.13719500152552e-57,1.03345680611502e-14,5.91463047464247e-59,1.86669054332898e-26,6.83742230950102e-06,0.00110862390763745,1.31828265818063e-70,2.49237899967706e-15,6.61148052996713e-68,2.83687303664591e-107
"EL51",14,2.28709923169974e-36,4.23033172642208e-58,3.84925795499213e-39,4.96434595046045e-24,8.35996131384698e-08,2.205079597568e-09,1.31786477277654e-20,1.90946744593109e-46,8.29320899431193e-51,7.61067063875239e-29,1.15220469659023e-93,2.33258596370577e-35,1.4134472175831e-11,0.99999920337655,6.22272347071661e-39,1.37341250892764e-46,2.98744391479522e-13,4.50956516341157e-67,6.72895411948061e-24,7.10615588224311e-07,1.88733770437805e-10,2.73222945079049e-47,2.44080867269285e-15,2.10465492771914e-77,1.76939250991142e-99
"EL52",14,5.19998541999671e-33,5.01755774198297e-44,2.82369138478885e-40,8.64191792722634e-16,0.000150133064490619,2.16215449441943e-05,6.47839088112699e-20,1.6769974478098e-26,4.57042089883502e-40,1.16073372766625e-19,2.37988599374216e-77,2.06009162790496e-34,5.89852829045054e-05,0.99872611457832,2.70168440077849e-47,5.05753856706875e-49,1.9293551107921e-08,1.66883074642177e-51,2.59879634997767e-22,1.44521519731146e-07,0.00104298171426871,2.4387236699368e-72,7.2282567931799e-16,3.41015009188767e-65,1.57339519660212e-103
"EL53",14,1.81370091194721e-28,1.0278230272475e-34,1.66311822693454e-38,2.84376976149055e-11,0.0374535851238677,0.00113181740305434,5.86184152337649e-18,1.10695781947145e-16,1.65398380613328e-36,3.0920975112151e-18,7.01298643900228e-65,1.46528251075013e-29,1.26533062855234e-06,0.961388874519708,8.96873786828494e-46,1.48516588459074e-48,1.25743666284752e-05,9.28588716989171e-46,3.34955867251069e-19,1.45231170090927e-08,1.18687045121999e-05,5.57469946635033e-77,4.59598477943398e-14,1.37762407528552e-55,1.63504189554787e-98
"EL54",14,2.28758107235433e-40,2.87149553785454e-45,2.07482799689214e-48,5.39422432883841e-16,1.27809415699056e-05,0.000109634281764936,2.97261839855367e-26,1.06798760235877e-22,5.81778955721883e-47,1.53473139676133e-26,1.42930899405565e-80,7.51788284582991e-41,2.60715724595177e-08,0.999877538919771,1.33777624477937e-59,5.7614536744401e-63,1.66403664821736e-09,6.89854457182014e-57,8.42188715926503e-29,2.6549128246674e-11,1.8094735855926e-08,1.83023814327579e-96,2.46341369244976e-22,6.63800527008394e-71,5.88080579512154e-118
"EL61",14,4.86691030668145e-36,8.81665388338768e-48,1.99027582531949e-42,4.47338367328988e-19,1.36962429085056e-05,3.81141274082108e-07,2.11704572675397e-22,4.67396953824272e-32,4.57130567594203e-46,2.43433029432889e-25,3.06886862934021e-82,3.33861184781496e-36,4.47701136742679e-07,0.999985431458307,1.16555840642597e-46,1.24925309851647e-51,5.67265215402003e-09,2.09877546605023e-57,1.71500923032361e-24,6.61171820301667e-09,3.11720035039804e-08,1.82367556493772e-71,7.25488228533404e-18,2.60708902323296e-70,3.50600677148726e-105
"EL62",14,1.61285411800006e-26,2.48072558467849e-48,1.8337070173619e-23,1.59572409762145e-15,1.45556068527886e-05,2.05913391675538e-12,8.60257039461624e-18,1.96511807948498e-43,1.15501604050577e-37,1.65941999353764e-23,1.02671474787674e-88,5.61392682139719e-35,1.45809715018773e-16,0.999985444374904,3.31553144128447e-30,3.41690395980368e-39,3.61663308377701e-17,7.13943572301895e-56,7.67174646794911e-20,5.38165983909236e-12,9.82867021191442e-12,2.90971288363142e-39,9.72116985936949e-13,1.07865274843085e-65,5.40266801983743e-81
"EL63",14,3.74610702841873e-39,7.09260384376275e-50,1.24165104551625e-46,7.25901441041716e-21,2.34667226281587e-07,0.000475293874192439,1.58824417438294e-24,4.03245668610032e-31,5.08935191948121e-48,5.32793821818863e-27,2.52367794259016e-85,6.39139679426138e-38,2.7890441910651e-09,0.999521749990072,7.27350804157609e-53,1.37963012114882e-57,1.17164987261235e-11,1.16122645763295e-62,1.17265371395473e-27,1.02107594676552e-06,1.69759180212911e-06,1.48815304148733e-73,3.29062995482858e-18,3.25907327063502e-74,6.13532982403682e-112
"EL64",14,4.78549281276247e-39,4.28957981391982e-48,7.65827916824598e-45,3.50720069203735e-20,1.17379636009587e-08,0.0172509084862868,7.61009032484608e-27,4.67531402112167e-30,8.33767402795585e-45,3.82802255735912e-27,7.15412764995441e-88,7.47924898747888e-41,5.67846411918367e-13,0.982704829740656,6.93509050929768e-56,2.70953550107417e-61,2.62422270123944e-16,8.20483761741201e-64,2.74158856894709e-30,8.37464723350968e-07,4.34125698020944e-05,1.05952074073963e-72,3.45458841162706e-18,1.02516211149384e-74,1.19221957026438e-111
"EL65",14,2.31028993037372e-35,1.10343241093992e-48,1.5188357805242e-38,2.18922587347654e-17,6.72636803464849e-07,1.99203939930166e-06,3.97710025595637e-23,3.48429235379857e-33,3.3455970048412e-43,1.86420035069899e-25,3.3713115964986e-87,6.92520022557717e-39,3.80651735133673e-13,0.999997276196299,1.72936200315598e-48,4.59128404421613e-54,3.88043213196047e-15,8.9076253498787e-60,3.25772386340476e-26,1.53538949679712e-09,5.75917247050982e-08,3.23091779812654e-67,2.46697298389371e-17,3.44729391957565e-71,1.37660801834061e-103
