"vars","pval","adjp","odds","exp","obs","size"
"ARPR",0.00996047430830039,0.271023276240668,Inf,0.202898550724638,2,28
"ARPR_socexcl",0.00996047430830039,0.271023276240668,Inf,0.202898550724638,2,28
"low_work",0.0106982872200264,0.271023276240668,Inf,0.210144927536232,2,29
"rooms_pp",0.016600790513834,0.315415019762846,Inf,0.260869565217391,2,36
"earn_OC6_B-F",0.0216073781291173,0.328432147562583,Inf,0.297101449275362,2,41
"earn_OC6_G-N",0.0548089591567852,0.404609303739738,Inf,0.471014492753623,2,65
"emp_Y25-64_NaceA",0.0896706192358366,0.404609303739738,Inf,0.601449275362319,2,83
"unemp_Y15-24",0.0963109354413702,0.404609303739738,Inf,0.623188405797101,2,86
"earn_OC8_P-S",0.103188405797101,0.404609303739738,Inf,0.644927536231884,2,89
"earn_OC7_P-S",0.107905138339921,0.404609303739738,Inf,0.659420289855073,2,91
"pop_Y15-24",0.11030303030303,0.404609303739738,Inf,0.666666666666667,2,92
"pop_YGE75",0.11030303030303,0.404609303739738,Inf,0.666666666666667,2,92
"emp_Y25-64_ED0-2",0.11030303030303,0.404609303739738,Inf,0.666666666666667,2,92
"emp_PT",0.11030303030303,0.404609303739738,Inf,0.666666666666667,2,92
"earn_OC1_G-N",0.112727272727273,0.404609303739738,Inf,0.673913043478261,2,93
"earn_OC6_P-S",0.112727272727273,0.404609303739738,Inf,0.673913043478261,2,93
"earn_OC2_P-S",0.122687747035573,0.404609303739738,Inf,0.702898550724638,2,97
"earn_OC2_B-F",0.133069828722003,0.404609303739738,Inf,0.731884057971015,2,101
"earn_OC5_G-N",0.135731225296443,0.404609303739738,Inf,0.739130434782609,2,102
"earn_OC1_B-F",0.138418972332016,0.404609303739738,Inf,0.746376811594203,2,103
"earn_OC3_B-F",0.138418972332016,0.404609303739738,Inf,0.746376811594203,2,103
"earn_OC7_B-F",0.138418972332016,0.404609303739738,Inf,0.746376811594203,2,103
"earn_OC8_B-F",0.138418972332016,0.404609303739738,Inf,0.746376811594203,2,103
"earn_OC2_G-N",0.138418972332016,0.404609303739738,Inf,0.746376811594203,2,103
"earn_OC7_G-N",0.138418972332016,0.404609303739738,Inf,0.746376811594203,2,103
"earn_OC9_G-N",0.138418972332016,0.404609303739738,Inf,0.746376811594203,2,103
"earn_OC5_B-F",0.185006587615283,0.410595813204509,Inf,0.86231884057971,2,119
"earn_OC3_P-S",0.188142292490118,0.410595813204509,Inf,0.869565217391304,2,120
"earn_OC1_P-S",0.191304347826087,0.410595813204509,Inf,0.876811594202899,2,121
"earn_OC4_P-S",0.191304347826087,0.410595813204509,Inf,0.876811594202899,2,121
"earn_OC5_P-S",0.191304347826087,0.410595813204509,Inf,0.876811594202899,2,121
"earn_OC4_B-F",0.194492753623188,0.410595813204509,Inf,0.884057971014493,2,122
"earn_OC9_B-F",0.194492753623188,0.410595813204509,Inf,0.884057971014493,2,122
"earn_OC3_G-N",0.194492753623188,0.410595813204509,Inf,0.884057971014493,2,122
"earn_OC4_G-N",0.194492753623188,0.410595813204509,Inf,0.884057971014493,2,122
"earn_OC9_P-S",0.194492753623188,0.410595813204509,Inf,0.884057971014493,2,122
"earn_OC8_G-N",0.200948616600791,0.412759320585408,Inf,0.898550724637681,2,124
"emp_Y15-24_NaceR-U",0.318102766798419,0.636205533596838,4.82978723404255,0.347826086956522,1,48
"emp_Y15-24_NaceF",0.37098814229249,0.722951251646904,3.89285714285714,0.41304347826087,1,57
"emp_Y15-24_ED5-8",0.427246376811594,0.811768115942029,3.15151515151515,0.485507246376812,1,67
"emp_Y15-24_NaceO-Q",0.454387351778656,0.842278993540924,2.85915492957746,0.521739130434783,1,72
"emp_Y15-24_NaceB-E",0.470355731225296,0.849908998988877,2.7027027027027,0.543478260869565,1,75
"expend_ED5-8",0.480869565217391,0.849908998988877,2.60526315789474,0.557971014492754,1,77
"emp_Y15-24_ED0-2",0.496442687747035,0.857491915199425,2.46835443037975,0.579710144927536,1,80
"emp_Y25-64_NaceB-E",0.551515151515152,0.880909090909091,2.04444444444444,0.659420289855073,1,91
"pop_Total",0.556363636363636,0.880909090909091,2.01098901098901,0.666666666666667,1,92
"pop_Y65-74",0.556363636363636,0.880909090909091,2.01098901098901,0.666666666666667,1,92
"unemp_YGE25",0.556363636363636,0.880909090909091,2.01098901098901,0.666666666666667,1,92
"pop_Y0-14",1,1,0,0.666666666666667,0,92
"pop_Y25-64",1,1,0,0.666666666666667,0,92
"mat_depriv",1,1,0,0.210144927536232,0,29
"emp_Y15-24_ED3-4",1,1,0,0.652173913043478,0,90
