Sets to variables test for over-representation
76 variables tested, 31 have p < 0.05 
Selected set size: 8 
    Universe size: 276 
                 vars         pval         adjp      odds      exp obs size
1    emp_Y25-64_NaceF 9.805592e-06 0.0003857798       Inf 1.971014   8   68
2        earn_OC6_B-F 1.015210e-05 0.0003857798 45.111111 1.246377   7   43
3  emp_Y15-24_NaceO-Q 5.353378e-05 0.0013561891 32.914894 1.565217   7   54
4        earn_OC6_P-S 1.614625e-04 0.0018462668 26.500000 1.826087   7   63
5        earn_OC1_G-N 2.772893e-04 0.0018462668 23.754098 1.971014   7   68
6           pop_YGE75 3.073439e-04 0.0018462668 23.258065 2.000000   7   69
7    emp_Y25-64_ED3-4 3.073439e-04 0.0018462668 23.258065 2.000000   7   69
8        earn_OC7_B-F 3.073439e-04 0.0018462668 23.258065 2.000000   7   69
9        earn_OC8_B-F 3.073439e-04 0.0018462668 23.258065 2.000000   7   69
10       earn_OC7_G-N 3.073439e-04 0.0018462668 23.258065 2.000000   7   69
11       earn_OC3_P-S 3.073439e-04 0.0018462668 23.258065 2.000000   7   69
12       earn_OC4_P-S 3.073439e-04 0.0018462668 23.258065 2.000000   7   69
13       earn_OC3_G-N 3.401018e-04 0.0018462668 22.777778 2.028986   7   70
14       earn_OC1_P-S 3.401018e-04 0.0018462668 22.777778 2.028986   7   70
15       earn_OC2_P-S 4.565854e-04 0.0023133661 21.424242 2.115942   7   73
16       earn_OC4_G-N 5.021996e-04 0.0023289475 21.000000 2.144928   7   74
17       earn_OC1_B-F 5.515928e-04 0.0023289475 20.588235 2.173913   7   75
18       earn_OC4_B-F 5.515928e-04 0.0023289475 20.588235 2.173913   7   75
19       earn_OC3_B-F 6.627242e-04 0.0026508966 19.800000 2.231884   7   77
20       earn_OC2_B-F 9.421176e-04 0.0035800468 18.351351 2.347826   7   81
21       earn_OC9_P-S 1.025636e-03 0.0037118250 18.013333 2.376812   7   82
22       earn_OC2_G-N 1.115283e-03 0.0038527965 17.684211 2.405797   7   83
23       earn_OC6_G-N 1.211415e-03 0.0040029377 17.363636 2.434783   7   84
24       earn_OC9_B-F 3.021869e-03 0.0091864817 14.078652 2.782609   7   96
25       earn_OC5_G-N 3.021869e-03 0.0091864817 14.078652 2.782609   7   96
26       earn_OC9_G-N 3.241993e-03 0.0094765938 13.844444 2.811594   7   97
27         pop_Y65-74 3.697787e-03 0.0104085852  9.761905 2.000000   6   69
28 emp_Y15-24_NaceB-E 9.977161e-03 0.0270808644  7.091503 1.623188   5   56
29   emp_Y15-24_ED0-2 1.365604e-02 0.0357882331  6.454545 1.739130   5   60
30   emp_Y15-24_ED3-4 2.384390e-02 0.0604045398  5.423280 1.971014   5   68
31         pop_Y25-64 2.541781e-02 0.0623146363  5.312500 2.000000   5   69
