Sets to variables test for over-representation
76 variables tested, 31 have p < 0.05 
Selected set size: 7 
    Universe size: 276 
                 vars         pval         adjp      odds      exp obs size
1        earn_OC6_B-F 1.437324e-06 0.0001092366       Inf 1.090580   7   43
2  emp_Y15-24_NaceO-Q 7.899389e-06 0.0003001768       Inf 1.369565   7   54
3        earn_OC6_P-S 2.467807e-05 0.0003386441       Inf 1.597826   7   63
4        earn_OC1_G-N 4.324105e-05 0.0003386441       Inf 1.724638   7   68
5                 GDP 4.812311e-05 0.0003386441       Inf 1.750000   7   69
6        earn_OC7_B-F 4.812311e-05 0.0003386441       Inf 1.750000   7   69
7        earn_OC8_B-F 4.812311e-05 0.0003386441       Inf 1.750000   7   69
8        earn_OC7_G-N 4.812311e-05 0.0003386441       Inf 1.750000   7   69
9        earn_OC3_P-S 4.812311e-05 0.0003386441       Inf 1.750000   7   69
10       earn_OC4_P-S 4.812311e-05 0.0003386441       Inf 1.750000   7   69
11       earn_OC3_G-N 5.347012e-05 0.0003386441       Inf 1.775362   7   70
12       earn_OC1_P-S 5.347012e-05 0.0003386441       Inf 1.775362   7   70
13        disp_income 5.931842e-05 0.0003467846       Inf 1.800725   7   71
14       earn_OC2_P-S 7.267543e-05 0.0003945238       Inf 1.851449   7   73
15       earn_OC4_G-N 8.026838e-05 0.0003957870       Inf 1.876812   7   74
16       earn_OC1_B-F 8.853131e-05 0.0003957870       Inf 1.902174   7   75
17       earn_OC4_B-F 8.853131e-05 0.0003957870       Inf 1.902174   7   75
18       earn_OC3_B-F 1.072640e-04 0.0004528925       Inf 1.952899   7   77
19       earn_OC2_B-F 1.550977e-04 0.0006203908       Inf 2.054348   7   81
20       earn_OC9_P-S 1.695735e-04 0.0006443792       Inf 2.079710   7   82
21       earn_OC2_G-N 1.851921e-04 0.0006702190       Inf 2.105072   7   83
22       earn_OC6_G-N 2.020277e-04 0.0006979140       Inf 2.130435   7   84
23   emp_Y15-24_ED0-2 4.995646e-04 0.0016128704 23.888889 1.521739   6   60
24       earn_OC9_B-F 5.316434e-04 0.0016128704       Inf 2.434783   7   96
25       earn_OC5_G-N 5.316434e-04 0.0016128704       Inf 2.434783   7   96
26   emp_Y25-64_NaceJ 5.519397e-04 0.0016128704 23.345455 1.547101   6   61
27       earn_OC9_G-N 5.729934e-04 0.0016128704       Inf 2.460145   7   97
28   emp_Y25-64_NaceK 7.366696e-04 0.0019995317 21.827586 1.623188   6   64
29          pop_Total 1.154955e-03 0.0029258850 19.619048 1.750000   6   69
30 emp_Y25-64_NaceM_N 1.154955e-03 0.0029258850 19.619048 1.750000   6   69
31             emp_PT 1.184280e-02 0.0290339523  8.007812 1.750000   5   69
