Sets to variables test for under-representation
76 variables tested, 42 have p < 0.05 
Selected set size: 10 
    Universe size: 276 
                 vars        pval       adjp odds      exp obs size
1        earn_OC8_G-N 0.002236872 0.02157215    0 4.492754   0  124
2        earn_OC4_B-F 0.002559498 0.02157215    0 4.420290   0  122
3        earn_OC9_B-F 0.002559498 0.02157215    0 4.420290   0  122
4        earn_OC3_G-N 0.002559498 0.02157215    0 4.420290   0  122
5        earn_OC4_G-N 0.002559498 0.02157215    0 4.420290   0  122
6        earn_OC9_P-S 0.002559498 0.02157215    0 4.420290   0  122
7        earn_OC1_P-S 0.002736015 0.02157215    0 4.384058   0  121
8        earn_OC4_P-S 0.002736015 0.02157215    0 4.384058   0  121
9        earn_OC5_P-S 0.002736015 0.02157215    0 4.384058   0  121
10       earn_OC3_P-S 0.002923414 0.02157215    0 4.347826   0  120
11       earn_OC5_B-F 0.003122285 0.02157215    0 4.311594   0  119
12       earn_OC1_B-F 0.008470570 0.03576463    0 3.731884   0  103
13       earn_OC3_B-F 0.008470570 0.03576463    0 3.731884   0  103
14       earn_OC7_B-F 0.008470570 0.03576463    0 3.731884   0  103
15       earn_OC8_B-F 0.008470570 0.03576463    0 3.731884   0  103
16       earn_OC2_G-N 0.008470570 0.03576463    0 3.731884   0  103
17       earn_OC7_G-N 0.008470570 0.03576463    0 3.731884   0  103
18       earn_OC9_G-N 0.008470570 0.03576463    0 3.731884   0  103
19       earn_OC5_G-N 0.008987068 0.03594827    0 3.695652   0  102
20       earn_OC2_B-F 0.009531739 0.03622061    0 3.659420   0  101
21       earn_OC1_G-N 0.015078722 0.03660263    0 3.369565   0   93
22          pop_Y0-14 0.015945315 0.03660263    0 3.333333   0   92
23         pop_Y65-74 0.015945315 0.03660263    0 3.333333   0   92
24          pop_YGE75 0.015945315 0.03660263    0 3.333333   0   92
25   emp_Y25-64_ED3-4 0.015945315 0.03660263    0 3.333333   0   92
26   emp_Y25-64_ED5-8 0.015945315 0.03660263    0 3.333333   0   92
27             emp_FT 0.015945315 0.03660263    0 3.333333   0   92
28             emp_PT 0.015945315 0.03660263    0 3.333333   0   92
29         emp_Y15-24 0.015945315 0.03660263    0 3.333333   0   92
30         emp_Y25-64 0.015945315 0.03660263    0 3.333333   0   92
31 emp_Y25-64_NaceO-Q 0.015945315 0.03660263    0 3.333333   0   92
32           training 0.015945315 0.03660263    0 3.333333   0   92
33 emp_Y25-64_NaceB-E 0.016856476 0.03660263    0 3.297101   0   91
34        disp_income 0.016856476 0.03660263    0 3.297101   0   91
35       earn_OC7_P-S 0.016856476 0.03660263    0 3.297101   0   91
36   emp_Y15-24_ED3-4 0.017814231 0.03760782    0 3.260870   0   90
37       earn_OC8_P-S 0.018820684 0.03865870    0 3.224638   0   89
38       unemp_Y15-24 0.022154560 0.04430912    0 3.115942   0   86
39   emp_Y25-64_NaceJ 0.028906850 0.05633130    0 2.934783   0   81
40   emp_Y15-24_ED0-2 0.030460982 0.05787587    0 2.898551   0   80
41       expend_ED5-8 0.035585013 0.06596246    0 2.789855   0   77
42 emp_Y15-24_NaceO-Q 0.045869449 0.08300186    0 2.608696   0   72
