"vars","pval","adjp","odds","exp","obs","size"
"pop_Total",0.75,1,0,0.25,0,69
"pop_Y0-14",0.75,1,0,0.25,0,69
"pop_Y15-24",0.75,1,0,0.25,0,69
"pop_Y65-74",0.75,1,0,0.25,0,69
"pop_YGE75",0.75,1,0,0.25,0,69
"emp_Y25-64_ED0-2",0.75,1,0,0.25,0,69
"emp_Y25-64_ED3-4",0.75,1,0,0.25,0,69
"emp_TP",0.75,1,0,0.25,0,69
"emp_Y25-64",0.75,1,0,0.25,0,69
"emp_Y25-64_NaceG-I",0.75,1,0,0.25,0,69
"emp_Y25-64_NaceO-Q",0.75,1,0,0.25,0,69
"unemp_YGE25",0.75,1,0,0.25,0,69
"emp_Y15-24_ED3-4",0.753623188405797,1,0,0.246376811594203,0,68
"emp_Y25-64_NaceB-E",0.753623188405797,1,0,0.246376811594203,0,68
"emp_Y25-64_NaceF",0.753623188405797,1,0,0.246376811594203,0,68
"emp_Y15-24_NaceG-I",0.760869565217391,1,0,0.239130434782609,0,66
"unemp_Y15-24",0.764492753623188,1,0,0.235507246376812,0,65
"emp_Y25-64_NaceA",0.771739130434783,1,0,0.228260869565217,0,63
"emp_Y15-24_ED0-2",0.782608695652174,1,0,0.217391304347826,0,60
"emp_Y15-24_NaceB-E",0.797101449275362,1,0,0.202898550724638,0,56
"emp_Y15-24_NaceO-Q",0.804347826086957,1,0,0.195652173913043,0,54
"emp_Y15-24_NaceF",0.844202898550725,1,0,0.155797101449275,0,43
"emp_Y25-64_NaceL",0.851449275362319,1,0,0.148550724637681,0,41
"GVAgr",0.894927536231884,1,0,0.105072463768116,0,29
"rooms_pp",0.91304347826087,1,0,0.0869565217391304,0,24
"ARPR",0.923913043478261,1,0,0.0760869565217391,0,21
"low_work",0.923913043478261,1,0,0.0760869565217391,0,21
"mat_depriv",0.923913043478261,1,0,0.0760869565217391,0,21
"ARPR_socexcl",0.923913043478261,1,0,0.0760869565217391,0,21
"emp_Y15-24_NaceA",0.934782608695652,1,0,0.0652173913043478,0,18
"emp_Y15-24_NaceJ",0.949275362318841,1,0,0.0507246376811594,0,14
"emp_Y15-24_NaceK",0.967391304347826,1,0,0.0326086956521739,0,9
"emp_Y15-24_NaceL",0.992753623188406,1,0,0.0072463768115942,0,2
"pop_Y25-64",1,1,Inf,0.25,1,69
"emp_Y15-24_ED5-8",1,1,Inf,0.181159420289855,1,50
"emp_Y25-64_ED5-8",1,1,Inf,0.25,1,69
"emp_TF",1,1,Inf,0.25,1,69
"emp_Y15-24",1,1,Inf,0.25,1,69
"emp_YGE65",1,1,Inf,0.231884057971014,1,64
"emp_Y25-64_NaceJ",1,1,Inf,0.221014492753623,1,61
"emp_Y25-64_NaceK",1,1,Inf,0.231884057971014,1,64
"emp_Y15-24_NaceM_N",1,1,Inf,0.152173913043478,1,42
"emp_Y25-64_NaceM_N",1,1,Inf,0.25,1,69
"emp_Y15-24_NaceR-U",1,1,Inf,0.130434782608696,1,36
"emp_Y25-64_NaceR-U",1,1,Inf,0.25,1,69
"GDP",1,1,Inf,0.25,1,69
"disp_income",1,1,Inf,0.257246376811594,1,71
"training",1,1,Inf,0.25,1,69
