Sets to variables test for over-representation
76 variables tested, 31 have p < 0.05 
Selected set size: 5 
    Universe size: 276 
                 vars        pval       adjp      odds       exp obs size
1        expend_ED5-8 0.001535311 0.03836581       Inf 1.3949275   5   77
2           emp_YGE65 0.002548891 0.03836581       Inf 1.5398551   5   85
3        earn_OC8_P-S 0.003225414 0.03836581       Inf 1.6123188   5   89
4    emp_Y15-24_ED3-4 0.003415144 0.03836581       Inf 1.6304348   5   90
5          pop_Y15-24 0.003821383 0.03836581       Inf 1.6666667   5   92
6    emp_Y25-64_ED3-4 0.003821383 0.03836581       Inf 1.6666667   5   92
7          emp_Y15-24 0.003821383 0.03836581       Inf 1.6666667   5   92
8        earn_OC6_P-S 0.004038507 0.03836581       Inf 1.6847826   5   93
9        earn_OC2_B-F 0.006155034 0.03976860       Inf 1.8297101   5  101
10       earn_OC3_B-F 0.006802524 0.03976860       Inf 1.8659420   5  103
11       earn_OC7_B-F 0.006802524 0.03976860       Inf 1.8659420   5  103
12       earn_OC2_G-N 0.006802524 0.03976860       Inf 1.8659420   5  103
13       earn_OC7_G-N 0.006802524 0.03976860       Inf 1.8659420   5  103
14         mat_depriv 0.009091461 0.04935364 14.134615 0.5253623   3   29
15       earn_OC5_B-F 0.014192104 0.05100748       Inf 2.1557971   5  119
16       earn_OC3_P-S 0.014809151 0.05100748       Inf 2.1739130   5  120
17       earn_OC1_P-S 0.015447477 0.05100748       Inf 2.1920290   5  121
18       earn_OC4_P-S 0.015447477 0.05100748       Inf 2.1920290   5  121
19       earn_OC5_P-S 0.015447477 0.05100748       Inf 2.1920290   5  121
20       earn_OC4_B-F 0.016107626 0.05100748       Inf 2.2101449   5  122
21       earn_OC9_B-F 0.016107626 0.05100748       Inf 2.2101449   5  122
22       earn_OC3_G-N 0.016107626 0.05100748       Inf 2.2101449   5  122
23       earn_OC4_G-N 0.016107626 0.05100748       Inf 2.2101449   5  122
24       earn_OC9_P-S 0.016107626 0.05100748       Inf 2.2101449   5  122
25 emp_Y15-24_NaceO-Q 0.017395743 0.05288306 11.941176 1.3043478   4   72
26 emp_Y15-24_NaceB-E 0.020325289 0.05941238 11.267606 1.3586957   4   75
27   emp_Y25-64_NaceK 0.034058896 0.09586948  9.219512 1.5579710   4   86
28 emp_Y15-24_NaceG-I 0.037110377 0.10072817  8.904762 1.5942029   4   88
29   emp_Y25-64_NaceF 0.042035208 0.10731249  8.459770 1.6485507   4   91
30         emp_Y25-64 0.043772200 0.10731249  8.318182 1.6666667   4   92
31 emp_Y25-64_NaceO-Q 0.043772200 0.10731249  8.318182 1.6666667   4   92
