Sets to variables test for under-representation
48 variables tested, 14 have p < 0.05 
Selected set size: 32 
    Universe size: 276 
                 vars       pval      adjp odds      exp obs size
1         disp_income 0.01499299 0.1255144    0 3.710145   0   32
2                 GDP 0.02277480 0.1255144    0 3.362319   0   29
3           pop_Total 0.02614884 0.1255144    0 3.246377   0   28
4          pop_Y25-64 0.02614884 0.1255144    0 3.246377   0   28
5           pop_YGE75 0.02614884 0.1255144    0 3.246377   0   28
6    emp_Y25-64_ED0-2 0.02614884 0.1255144    0 3.246377   0   28
7    emp_Y25-64_ED3-4 0.02614884 0.1255144    0 3.246377   0   28
8  emp_Y25-64_NaceB-E 0.02614884 0.1255144    0 3.246377   0   28
9         unemp_YGE25 0.02614884 0.1255144    0 3.246377   0   28
10           training 0.02614884 0.1255144    0 3.246377   0   28
11   emp_Y15-24_ED3-4 0.03000489 0.1309304    0 3.130435   0   27
12   emp_Y25-64_NaceA 0.03943712 0.1456140    0 2.898551   0   25
13   emp_Y25-64_NaceJ 0.03943712 0.1456140    0 2.898551   0   25
14   emp_Y15-24_ED0-2 0.04517343 0.1548803    0 2.782609   0   24
