Sets to variables test for over-representation
76 variables tested, 32 have p < 0.05 
Selected set size: 4 
    Universe size: 276 
                 vars        pval       adjp      odds       exp obs size
1    emp_Y25-64_NaceJ 0.002206003 0.02277809       Inf 0.8840580   4   61
2           emp_YGE65 0.002685883 0.02277809       Inf 0.9275362   4   64
3        earn_OC6_P-S 0.002685883 0.02277809       Inf 0.9275362   4   64
4    emp_Y15-24_ED3-4 0.003442596 0.02277809       Inf 0.9855072   4   68
5    emp_Y25-64_NaceF 0.003442596 0.02277809       Inf 0.9855072   4   68
6          pop_Y65-74 0.003654448 0.02277809       Inf 1.0000000   4   69
7    emp_Y25-64_ED3-4 0.003654448 0.02277809       Inf 1.0000000   4   69
8              emp_FT 0.003654448 0.02277809       Inf 1.0000000   4   69
9          emp_Y15-24 0.003654448 0.02277809       Inf 1.0000000   4   69
10         emp_Y25-64 0.003654448 0.02277809       Inf 1.0000000   4   69
11       earn_OC5_B-F 0.006685708 0.02277809       Inf 1.1594203   4   80
12       earn_OC3_P-S 0.006685708 0.02277809       Inf 1.1594203   4   80
13       earn_OC8_P-S 0.006685708 0.02277809       Inf 1.1594203   4   80
14       earn_OC1_P-S 0.007033018 0.02277809       Inf 1.1739130   4   81
15       earn_OC4_P-S 0.007033018 0.02277809       Inf 1.1739130   4   81
16       earn_OC5_P-S 0.007033018 0.02277809       Inf 1.1739130   4   81
17       earn_OC9_P-S 0.007033018 0.02277809       Inf 1.1739130   4   81
18       earn_OC3_B-F 0.007393685 0.02277809       Inf 1.1884058   4   82
19       earn_OC4_B-F 0.007393685 0.02277809       Inf 1.1884058   4   82
20       earn_OC7_B-F 0.007393685 0.02277809       Inf 1.1884058   4   82
21       earn_OC9_B-F 0.007393685 0.02277809       Inf 1.1884058   4   82
22       earn_OC2_G-N 0.007393685 0.02277809       Inf 1.1884058   4   82
23       earn_OC3_G-N 0.007393685 0.02277809       Inf 1.1884058   4   82
24       earn_OC4_G-N 0.007393685 0.02277809       Inf 1.1884058   4   82
25 emp_Y15-24_NaceR-U 0.007492793 0.02277809 21.727273 0.5217391   3   36
26   emp_Y25-64_NaceL 0.011017735 0.03220569 18.473684 0.5942029   3   41
27 emp_Y15-24_NaceO-Q 0.024614078 0.06928407 13.000000 0.7826087   3   54
28 emp_Y15-24_NaceB-E 0.027331983 0.07418681 12.396226 0.8115942   3   56
29   emp_Y25-64_NaceK 0.040024057 0.10489063 10.377049 0.9275362   3   64
30 emp_Y25-64_NaceB-E 0.047507821 0.11756524  9.553846 0.9855072   3   68
31 emp_Y25-64_NaceM_N 0.049501156 0.11756524  9.363636 1.0000000   3   69
32 emp_Y25-64_NaceO-Q 0.049501156 0.11756524  9.363636 1.0000000   3   69
