Sets to variables test for over-representation
76 variables tested, 43 have p < 0.05 
Selected set size: 6 
    Universe size: 276 
                 vars         pval         adjp      odds       exp obs size
1  emp_Y15-24_NaceR-U 3.351058e-06 0.0002546804       Inf 0.7826087   6   36
2    emp_Y15-24_ED5-8 2.733898e-05 0.0010388813       Inf 1.0869565   6   50
3  emp_Y15-24_NaceO-Q 4.443407e-05 0.0011256630       Inf 1.1739130   6   54
4    emp_Y25-64_ED0-2 2.062419e-04 0.0018313936       Inf 1.5000000   6   69
5        earn_OC2_P-S 2.255771e-04 0.0018313936       Inf 1.5217391   6   70
6    emp_Y25-64_NaceL 3.107198e-04 0.0018313936 32.500000 0.8913043   5   41
7                ARPR 3.424835e-04 0.0018313936 29.764706 0.4565217   4   21
8            low_work 3.424835e-04 0.0018313936 29.764706 0.4565217   4   21
9        ARPR_socexcl 3.424835e-04 0.0018313936 29.764706 0.4565217   4   21
10 emp_Y15-24_NaceM_N 3.514893e-04 0.0018313936 31.486486 0.9130435   5   42
11       earn_OC5_B-F 5.169923e-04 0.0018313936       Inf 1.7391304   6   80
12       earn_OC3_P-S 5.169923e-04 0.0018313936       Inf 1.7391304   6   80
13       earn_OC8_P-S 5.169923e-04 0.0018313936       Inf 1.7391304   6   80
14       earn_OC1_P-S 5.583517e-04 0.0018313936       Inf 1.7608696   6   81
15       earn_OC4_P-S 5.583517e-04 0.0018313936       Inf 1.7608696   6   81
16       earn_OC5_P-S 5.583517e-04 0.0018313936       Inf 1.7608696   6   81
17       earn_OC9_P-S 5.583517e-04 0.0018313936       Inf 1.7608696   6   81
18       earn_OC3_B-F 6.024321e-04 0.0018313936       Inf 1.7826087   6   82
19       earn_OC4_B-F 6.024321e-04 0.0018313936       Inf 1.7826087   6   82
20       earn_OC7_B-F 6.024321e-04 0.0018313936       Inf 1.7826087   6   82
21       earn_OC9_B-F 6.024321e-04 0.0018313936       Inf 1.7826087   6   82
22       earn_OC2_G-N 6.024321e-04 0.0018313936       Inf 1.7826087   6   82
23       earn_OC3_G-N 6.024321e-04 0.0018313936       Inf 1.7826087   6   82
24       earn_OC4_G-N 6.024321e-04 0.0018313936       Inf 1.7826087   6   82
25       earn_OC7_P-S 6.024321e-04 0.0018313936       Inf 1.7826087   6   82
26       earn_OC7_G-N 6.493748e-04 0.0018981726       Inf 1.8043478   6   83
27       earn_OC8_G-N 6.993268e-04 0.0019684753       Inf 1.8260870   6   84
28   emp_Y15-24_NaceJ 1.915476e-03 0.0051991502 23.545455 0.3043478   3   14
29       earn_OC5_G-N 2.316655e-03 0.0058423891       Inf 2.2173913   6  102
30       earn_OC1_B-F 2.459953e-03 0.0058423891       Inf 2.2391304   6  103
31       earn_OC8_B-F 2.459953e-03 0.0058423891       Inf 2.2391304   6  103
32       earn_OC9_G-N 2.459953e-03 0.0058423891       Inf 2.2391304   6  103
33       unemp_Y15-24 3.140550e-03 0.0072327824 17.500000 1.4130435   5   65
34       earn_OC6_B-F 3.414882e-03 0.0076332667 14.363636 0.8043478   4   37
35         pop_Y15-24 4.208624e-03 0.0088848722 16.093750 1.5000000   5   69
36             emp_PT 4.208624e-03 0.0088848722 16.093750 1.5000000   5   69
37       earn_OC6_G-N 1.177473e-02 0.0241859393  9.489362 1.1086957   4   51
38       expend_ED5-8 1.905324e-02 0.0381064710  8.000000 1.2608696   4   58
39   emp_Y15-24_ED0-2 2.159604e-02 0.0420846003  7.642857 1.3043478   4   60
40       earn_OC6_P-S 2.735875e-02 0.0519816271  7.000000 1.3913043   4   64
41          pop_YGE75 3.591980e-02 0.0649977378  6.307692 1.5000000   4   69
42 emp_Y25-64_NaceR-U 3.591980e-02 0.0649977378  6.307692 1.5000000   4   69
43        disp_income 3.782312e-02 0.0668501710  6.181818 1.5217391   4   70
