"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",28920,916300,1463000,1853000,2198000,12090000
"pop_Y0-14",11.04,13.82,15.21,15.6,16.83,44.13
"pop_Y15-24",7.057,10.49,11.36,11.24,12.12,16.44
"pop_Y25-64",36.82,51.74,54.46,54.02,55.94,61.18
"pop_Y65-74",1.672,9.203,10.11,9.945,10.93,14.13
"pop_YGE75",0.9382,7.689,9.269,9.198,10.62,15.1
"emp_Y25-64_ED0-2",1.588,7.71,11,12.44,15.66,43.41
"emp_Y25-64_ED3-4",10.26,25.77,34.54,34.18,42.59,59.94
"emp_Y25-64_ED5-8",8.965,17.44,22.82,23.84,29.07,55.1
"emp_FT",21,42.96,45.71,45.56,48.27,60.9
"emp_PT",0.9401,6.078,10.39,11.15,16.86,28.32
"emp_Y25-64",32.8,65.55,72.57,70.66,77.32,103.5
"emp_Y25-64_NaceG-I",6.105,14.28,15.97,16.14,17.66,28.61
"emp_Y25-64_NaceO-Q",9.081,15.13,20.15,19.5,23.11,34.25
"GDP",8200,19800,24300,26320,30700,148000
