"","Sum Sq","Df","F value","Pr(>F)"
"pop_Total",545.406752042749,1,7.47158204060819,0.00674907114743864
"pop_Y0_14",1650.3077919687,1,22.6077326944838,3.48120279244685e-06
"pop_Y25_64",1113.83809155137,1,15.2585802244125,0.000122862325637404
"pop_YGE75",2994.26857632265,1,41.0187868702004,8.23791391397681e-10
"emp_FT",8540.13191139006,1,116.992127388561,2.32442884594166e-22
"emp_Y25_64",2867.49527392439,1,39.2821066294812,1.7583247829465e-09
"emp_Y25_64_NaceG_I",1165.69208481237,1,15.9689333018755,8.64117190938222e-05
"emp_Y25_64_NaceO_Q",266.862872504455,1,3.65578137425243,0.0571014841536224
"GDP",1861.43017218897,1,25.4999194496279,8.92439250468488e-07
"Residuals",17008.4156923232,233,NA,NA
