"","Sum Sq","Df","F value","Pr(>F)"
"pop_Y0_14",1079.29410056872,1,29.8302244350915,1.2069600834272e-07
"pop_Y65_74",249.491592006369,1,6.89560906549623,0.00921327619513698
"emp_Y25_64_ED0_2",1073.18869161048,1,29.6614792159745,1.30379226788336e-07
"emp_Y25_64_ED3_4",1076.93876463862,1,29.7651261459617,1.24342406017755e-07
"emp_Y25_64_ED5_8",999.238803219565,1,27.6176046441699,3.33681501268438e-07
"emp_PT",485.450564194492,1,13.4171948817592,0.000308631678795938
"emp_Y25_64",1002.04680262102,1,27.6952139374245,3.21929199549626e-07
"emp_Y25_64_NaceO_Q",676.580397160649,1,18.6997641190206,2.26910308730595e-05
"GDP",389.145036021328,1,10.7554407609577,0.00119884002932361
"Residuals",8430.22572557926,233,NA,NA
