"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",618400,1223000,1614000,1905000,2283000,5293000
"pop_Y0-14",12.53,14.14,15.07,15.08,15.67,17.99
"pop_Y15-24",9.022,10.97,11.52,11.7,12.54,14.06
"pop_Y25-64",50.61,56.18,56.8,56.83,57.97,62.18
"pop_Y65-74",6.959,7.901,8.909,9.199,10.57,12.93
"pop_YGE75",4.979,6.342,7.051,7.196,7.863,9.69
"emp_Y25-64_ED0-2",1.943,4.308,6.576,8.817,10.14,31.21
"emp_Y15-24_ED3-4",48.34,69.35,75.07,74.18,79.85,89.83
"emp_Y25-64_ED3-4",35.94,57.61,61.06,61.86,66.34,76.7
"emp_Y25-64_ED5-8",13.62,20.73,29.68,29.32,33.94,53.92
"emp_TF",39.79,46.95,50.53,51.12,55.01,61.06
"emp_TP",0.9339,3.11,3.464,4.303,4.879,10.92
"emp_Y15-24",14.36,18.96,24.16,24.41,26.8,43.02
"emp_Y25-64_NaceB-E",10.51,17.42,24.36,23.8,27.9,40.3
"emp_Y25-64_NaceF",5.292,6.923,7.818,7.857,8.456,11.41
"emp_Y15-24_NaceG-I",13.85,27.92,31.92,32.12,34.86,49.1
"emp_Y25-64_NaceG-I",16.5,20.02,21.8,22.35,23.45,33.91
"emp_Y25-64_NaceM_N",2.296,4.304,5.819,6.377,7.177,14.23
"emp_Y25-64_NaceO-Q",10.17,19.79,20.79,21.16,23.18,34.05
"emp_Y25-64_NaceR-U",1.662,2.617,2.968,3.326,3.939,6.488
"unemp_YGE25",1.561,4.053,4.682,5.054,5.972,10.25
"GDP",8700,13500,17200,19280,20800,51200
"disp_income",6300,8600,10000,10530,11200,18000
"training",0.8,2.5,3.3,6.064,7.8,29.1
