"","Sum Sq","Df","F value","Pr(>F)"
"pop_Y0_14",93.0790051428021,1,3.50467737058181,0.0624485074696271
"pop_Y25_64",318.82219098735,1,12.0045214952438,0.000631579999135828
"emp_Y25_64_ED0_2",334.776275698243,1,12.6052361200814,0.000465286597664829
"emp_Y25_64_ED3_4",331.875023535036,1,12.4959960955759,0.000491813985587553
"emp_Y25_64_ED5_8",313.114815893759,1,11.7896233202446,0.000704820182937699
"emp_PT",214.587319296488,1,8.07979544687229,0.00487325920394696
"emp_Y25_64",309.820975705718,1,11.6656012902322,0.000750967883136426
"emp_Y25_64_NaceO_Q",352.285479271137,1,13.2645051941834,0.000333329270073376
"GDP",408.715447815997,1,15.3892467884709,0.000115144828408366
"Residuals",6188.13257400426,233,NA,NA
