"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",28920,580000,1227000,1837000,1960000,1e+07
"pop_Y0-14",11.04,13.85,14.7,14.9,15.87,23.94
"pop_Y15-24",7.425,9.328,10.55,10.48,11.6,13.7
"pop_Y25-64",48.75,53.56,54.9,54.45,56.03,60.39
"pop_Y65-74",5.254,9.674,10.49,10.35,11.13,13.03
"pop_YGE75",4.626,8.071,9.908,9.826,11.51,15.1
"emp_Y25-64_ED0-2",1.588,9.467,18.12,15.72,21.55,28.34
"emp_Y25-64_ED3-4",10.26,18.86,30.6,30.38,41.53,59.94
"emp_Y25-64_ED5-8",8.965,14.42,19.21,21.15,27.8,42.5
"emp_FT",27.62,39.86,44.63,44.06,47.55,59.34
"emp_PT",2.143,5.673,8.356,9.133,10.55,19.5
"emp_Y25-64",45.18,57.78,69.1,67.26,75.41,88
"emp_Y25-64_NaceG-I",11.27,14.74,16.12,16.6,18,27.31
"emp_Y25-64_NaceO-Q",9.081,13.41,15.56,17.12,18.44,34.25
"GDP",13700,19250,25000,25800,30350,47500
