"","Sum Sq","Df","F value","Pr(>F)"
"pop_Total",2.39729327520075,1,19.9185855300866,1.19607237466607e-05
"pop_Y15_24",2.01894002726619,1,16.7749311397244,5.59543312980324e-05
"pop_Y25_64",1.66559446087467,1,13.8390601060659,0.000243121281272514
"emp_Y25_64_ED0_2",1.53945679922004,1,12.7910098619744,0.000413884638021852
"emp_Y25_64_ED3_4",7.62611857297278,1,63.3637513731481,5.0538338446579e-14
"emp_FT",0.972835248531943,1,8.08307531874418,0.00481597273664981
"emp_PT",0.489427844642243,1,4.06654892213641,0.0447492293034426
"emp_Y25_64",1.87671735678068,1,15.5932340750857,0.000100713860138972
"emp_Y25_64_NaceO_Q",3.29911525467175,1,27.4116271269688,3.3512909021194e-07
"GDP",1.15254262804609,1,9.57622463270976,0.00218222620185736
"Residuals",31.8939674189524,265,NA,NA
