"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",28920,919300,1470000,1865000,2226000,12090000
"pop_Y0-14",11.04,13.83,15.28,15.64,16.86,44.13
"pop_Y15-24",7.057,10.55,11.39,11.27,12.13,16.44
"pop_Y25-64",36.82,51.64,54.42,53.98,55.93,61.18
"pop_Y65-74",1.672,9.167,10.06,9.898,10.87,13.38
"pop_YGE75",0.9382,7.652,9.348,9.211,10.63,15.1
"emp_Y25-64_ED0-2",1.588,7.751,11.14,12.59,16.27,43.41
"emp_Y25-64_ED3-4",10.26,25.3,34.19,34.05,43.02,59.94
"emp_Y25-64_ED5-8",8.965,17.45,22.94,23.88,29.05,55.1
"emp_FT",21,42.87,45.65,45.4,48.04,60.9
"emp_PT",2.045,6.545,10.47,11.42,16.89,28.32
"emp_Y25-64",32.8,65.68,72.65,70.73,77.53,103.5
"emp_Y25-64_NaceG-I",6.105,14.25,15.9,16.06,17.62,28.61
"emp_Y25-64_NaceO-Q",9.081,15.32,20.51,19.65,23.27,34.25
"GDP",8400,20120,24450,26720,30880,148000
