"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",28920,922300,1476000,1869000,2250000,12090000
"pop_Y0-14",11.04,13.85,15.28,15.64,16.85,44.13
"pop_Y15-24",7.057,10.55,11.39,11.27,12.13,16.44
"pop_Y25-64",36.82,51.66,54.4,53.98,55.92,61.18
"pop_Y65-74",1.672,9.176,10.05,9.896,10.87,13.38
"pop_YGE75",0.9382,7.664,9.318,9.212,10.63,15.1
"emp_Y25-64_ED0-2",1.588,7.722,11.13,12.55,16.11,43.41
"emp_Y25-64_ED3-4",10.26,25.41,34.26,34.07,43.01,59.94
"emp_Y25-64_ED5-8",8.965,17.47,22.98,23.92,29.16,55.1
"emp_FT",21,42.89,45.68,45.44,48.11,60.9
"emp_PT",2.045,6.492,10.47,11.39,16.89,28.32
"emp_Y25-64",32.8,65.73,72.69,70.75,77.51,103.5
"emp_Y25-64_NaceG-I",6.105,14.26,15.91,16.08,17.65,28.61
"emp_Y25-64_NaceO-Q",9.081,15.36,20.51,19.64,23.24,34.25
"GDP",8400,20150,24400,26690,30850,148000
