"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",28920,1024000,1493000,1936000,2281000,12090000
"pop_Y0-14",11.04,13.8,15.44,15.71,16.92,44.13
"pop_Y15-24",7.057,10.68,11.42,11.32,12.22,16.44
"pop_Y25-64",36.82,51.57,54.45,53.93,55.92,61.18
"pop_Y65-74",1.672,9.184,10.06,9.899,10.92,13.38
"pop_YGE75",0.9382,7.637,9.256,9.146,10.54,15.1
"emp_Y25-64_ED0-2",1.588,7.781,11.06,12.42,15.22,43.41
"emp_Y25-64_ED3-4",10.26,27.71,34.57,34.47,43.07,59.94
"emp_Y25-64_ED5-8",8.965,18.56,23.87,24.53,29.9,55.1
"emp_FT",21,43.56,45.78,45.61,48.17,60.9
"emp_PT",2.36,7.262,11.15,12.07,17.09,28.32
"emp_Y25-64",32.8,68.17,73.36,71.66,77.9,103.5
"emp_Y25-64_NaceG-I",6.105,14.3,15.92,16.01,17.52,28.61
"emp_Y25-64_NaceO-Q",10.83,16.16,20.86,20.13,23.51,34.25
"GDP",8400,20980,25100,27360,31300,148000
