"","Sum Sq","Df","F value","Pr(>F)"
"pop_Y15_24",142.833016413746,1,70.5530573050887,1.44855103206884e-12
"pop_Y65_74",72.3597404755791,1,35.7424427806424,6.18072878495633e-08
"emp_Y25_64_ED0_2",52.2102301406935,1,25.7894949747327,2.48185906410883e-06
"emp_Y25_64_ED3_4",49.9651848388084,1,24.6805440205808,3.83611955511237e-06
"emp_Y25_64_ED5_8",43.170728150889,1,21.3243893716366,1.48151124876807e-05
"emp_FT",57.9646918871173,1,28.6319391066926,8.3207196919952e-07
"emp_PT",45.2475145433799,1,22.3502280260231,9.74880187133402e-06
"emp_Y25_64",27.9502895291627,1,13.8061803101083,0.000376577609590767
"GDP",8.50585601982141,1,4.20150860258343,0.043706143855077
"Residuals",159.933654581289,79,NA,NA
