"","Estimate","Uncond. variance","Nb models","Importance","+/- (alpha=0.05)"
"pop_Y15_24",-0.0292383791786381,0.0125198857324752,12,0.0931244334718347,0.222778200000953
"emp_PT",0.026708666698737,0.00613593765874549,15,0.139666411632127,0.155959910508094
"pop_Y65_74",-0.155291116507,0.119381014925946,21,0.169275949229686,0.687923493489103
"emp_Y25_64_NaceO_Q",0.140105964860672,0.064711089352517,30,0.243391753403457,0.506479490313935
"emp_FT",-0.121656431836891,0.0446562627123486,32,0.285368717571435,0.420739895844963
"pop_YGE75",0.329596789477021,0.285619589597006,32,0.321387019974758,1.06406094545349
"pop_Y25_64",-0.317283470226964,0.225511140357135,39,0.390904539589667,0.945489061075455
"pop_Y0_14",0.469409384589978,0.412220478648961,47,0.444534081309415,1.27831324755312
"training",0.178227974249863,0.0470673205098033,54,0.535891636203842,0.431948773920834
"pop_Total",-4.42665551297097e-07,6.28739526121342e-14,86,0.879858699820357,4.99238293208866e-07
"emp_Y25_64_NaceG_I",-0.788781384755635,0.204119217290412,85,0.889214351927378,0.899527521234056
"(Intercept)",17.4550049182884,1370.00267128121,100,1,73.6941841127029
"emp_Y25_64_ED0_2",-10.6058454850127,6.83084195121802,100,1,5.20366855404457
"emp_Y25_64_ED3_4",-10.7308945926662,6.73386702851149,100,1,5.16659924538267
"emp_Y25_64_ED5_8",-10.7063149267044,7.04731883376178,100,1,5.28548041803112
"emp_Y25_64",10.8908311419508,6.61143363485182,100,1,5.11941491612164
"GDP",0.000360285984315411,1.15087668160385e-08,100,1,0.000213592944812996
