"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",28920,3080000,4370000,6097000,10030000,16140000
"pop_Y0-14",11.97,13.84,14.5,14.92,15.91,17.96
"pop_Y15-24",8.011,9.491,10.78,10.5,11.44,12.39
"pop_Y25-64",49.06,52.88,54.96,54.68,56.39,60.39
"pop_Y65-74",8.335,9.492,10.32,10.28,11.01,12.68
"pop_YGE75",6.644,8.311,9.596,9.609,11.49,12.39
"emp_Y25-64_ED0-2",2.933,9.99,17.66,15.7,21.37,23.73
"emp_Y25-64_ED3-4",12.09,16.89,23.76,28.24,36.27,55.65
"emp_Y25-64_ED5-8",9.101,16.34,22.72,23.18,28.2,38.18
"emp_FT",29.13,40.15,43.67,43.61,47.19,58.88
"emp_PT",3.347,6.72,8.615,9.758,13.8,18.72
"emp_Y25-64_NaceG-I",12.43,15.19,16.62,17.07,17.52,23.82
"emp_Y25-64_NaceO-Q",11.44,13.12,15.12,17.09,18,30.47
"GDP",15100,20900,28900,26940,31200,39500
"training",1.9,8.7,9.6,12.5,13.2,30.9
