"","Sum Sq","Df","F value","Pr(>F)"
"pop_Y25_64",1110.55587886243,1,6.64649837950237,0.0256780012778021
"emp_FT",1703.52450965505,1,10.1953202971316,0.00856051784162769
"Residuals",1837.9775289137,11,NA,NA
