"","Estimate","Uncond. variance","Nb models","Importance","+/- (alpha=0.05)"
"training",-0.000370255062598728,3.34981671903194e-06,14,0.102161369147669,0.00363803177937351
"GDP",1.04991952766959e-06,5.62162142890353e-12,18,0.162962014590826,4.71288414221141e-06
"pop_Y15_24",-0.0509718124763767,0.00708497171880443,37,0.314134652228738,0.16731120460146
"emp_Y25_64_NaceG_I",0.0115178506079685,0.000373351993683866,43,0.352028839949872,0.0384074260409361
"emp_FT",0.00603783849482078,0.000316233786768317,42,0.372877199833919,0.035347613676499
"pop_Y65_74",-0.089701354092642,0.0144837139884857,47,0.436730672250812,0.239219145989951
"pop_Y25_64",-0.0321209999978596,0.00681637176422533,50,0.444621899047872,0.164109075884231
"emp_PT",-0.0217634381296292,0.000409015190376082,62,0.678003208109634,0.0401999658640349
"pop_YGE75",0.154812011059114,0.00773280130450274,79,0.805522098773529,0.174793142787388
"pop_Y0_14",0.205554997181374,0.0100444808413306,82,0.827986133196695,0.199213934490088
"emp_Y25_64_NaceO_Q",-0.0462619680046886,0.000595812773753828,87,0.921723538269692,0.0485188915458628
"pop_Total",-3.44377214161275e-08,2.99859372554545e-16,89,0.937349726734974,3.44203101659037e-08
"(Intercept)",0.385086845850083,71.3850265869387,100,1,16.7942080241015
"emp_Y25_64_ED0_2",-0.798246523777613,0.024522491233048,100,1,0.311270712303653
"emp_Y25_64_ED3_4",-0.800671232099247,0.0245010021232913,100,1,0.311134298827948
"emp_Y25_64_ED5_8",-0.796590442674698,0.0252281549853442,100,1,0.315717540357549
"emp_Y25_64",0.797910078844044,0.0262786748612693,100,1,0.322223860324881
