"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",28920,2584000,4219000,5232000,6845000,17640000
"pop_Y0-14",11.42,13.83,15.05,15.44,16.74,25.43
"pop_Y15-24",7.25,10.55,11.35,11.21,12.22,14.08
"pop_Y25-64",49.06,52.52,54.92,54.54,56.58,60.39
"pop_Y65-74",6.143,9.039,10.03,9.826,10.63,12.68
"pop_YGE75",4.978,7.663,8.802,8.979,10.13,13.02
"emp_Y25-64_ED0-2",1.845,7.201,10.67,12.19,15.13,43.41
"emp_Y25-64_ED3-4",11.07,25.81,35.52,34.08,42.14,55.65
"emp_Y25-64_ED5-8",9.101,18.27,24.3,24.21,29.58,44.68
"emp_FT",29.13,44.02,45.7,46.06,48.84,59.9
"emp_PT",1.355,6.066,10.21,10.77,16.21,19.86
"emp_Y25-64",47.48,65.89,72.32,70.66,76.3,88
"emp_Y25-64_NaceG-I",10.58,14.63,16.36,16.38,17.57,23.82
"emp_Y25-64_NaceO-Q",8.204,15.06,19.9,18.95,22.92,30.47
"GDP",9900,20500,24150,26550,30800,73000
"training",0.8,5.675,9.2,10.36,14.62,30.9
