"unit";"sex";"age";"nace_r2";"isco08";"indic_em";"geo";"X2014"
"NR";"T";"TOTAL";"J";"OC3";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"K";"OC3";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"L";"OC3";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"M";"OC3";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"N";"OC3";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"O";"OC3";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"P";"OC3";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"Q";"OC3";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"R";"OC3";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"S";"OC3";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"A";"OC4";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"A-S";"OC4";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"B";"OC4";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"B-S";"OC4";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"C";"OC4";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"D";"OC4";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"E";"OC4";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"F";"OC4";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"G";"OC4";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"H";"OC4";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"I";"OC4";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"J";"OC4";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"K";"OC4";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"L";"OC4";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"M";"OC4";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"N";"OC4";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"O";"OC4";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"P";"OC4";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"Q";"OC4";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"R";"OC4";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"S";"OC4";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"A";"OC5";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"A-S";"OC5";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"B";"OC5";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"B-S";"OC5";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"C";"OC5";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"D";"OC5";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"E";"OC5";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"F";"OC5";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"G";"OC5";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"H";"OC5";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"I";"OC5";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"J";"OC5";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"K";"OC5";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"L";"OC5";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"M";"OC5";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"N";"OC5";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"O";"OC5";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"P";"OC5";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"Q";"OC5";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"R";"OC5";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"S";"OC5";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"A";"OC6";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"A-S";"OC6";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"B";"OC6";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"B-S";"OC6";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"C";"OC6";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"D";"OC6";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"E";"OC6";"JOBTOT";"AT";NA
