"";"F00";"F01";"F02";"F03";"F04";"F05";"F06";"F07";"F08";"F09";"F10"
"SI03";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"SI04";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"SK";NA;NA;NA;NA;4.8780487804878;NA;NA;NA;17.0731707317073;NA;21.9512195121951
"SK0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"SK01";NA;NA;NA;NA;21.875;NA;NA;NA;28.125;NA;6.25
"SK02";NA;NA;NA;NA;11.1111111111111;NA;NA;NA;7.40740740740741;NA;25.9259259259259
"SK03";NA;NA;NA;NA;2.85714285714286;NA;NA;NA;28.5714285714286;NA;11.4285714285714
"SK04";NA;NA;NA;NA;10.5263157894737;NA;NA;NA;21.0526315789474;NA;15.7894736842105
"UK";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKC";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKC1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKC2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKD";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKD1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKD3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKD4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKD6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKD7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKE";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKE2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKE3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKE4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKF";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKF1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKF2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKF3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKG";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKG1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKG2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKG3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKH";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKH1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKH2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKH3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKI";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKI3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKI4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKI5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKI6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKI7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKJ";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKJ1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKJ2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKJ3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKJ4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKK";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKK1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKK2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKK3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKK4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKL";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKL1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKL2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKM2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKM3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKM5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKM6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKN";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"UKN0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
