"";"F00";"F01";"F02";"F03";"F04";"F05";"F06";"F07";"F08";"F09";"F10"
"DE80";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DE9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DE91";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DE92";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DE93";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DE94";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DEA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DEA1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DEA2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DEA3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DEA4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DEA5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DEB";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DEB1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DEB2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DEB3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DEC";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DEC0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DED";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DED2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DED4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DED5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DEE";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DEE0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DEF";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DEF0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DEG";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DEG0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DK";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DK0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DK01";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DK02";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DK03";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DK04";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DK05";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"EE";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"EE0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"EE00";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"EL";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"EL3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"EL30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"EL4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"EL41";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"EL42";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"EL43";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"EL5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"EL51";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"EL52";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"EL53";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"EL54";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"EL6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"EL61";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"EL62";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"EL63";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"EL64";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"EL65";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ES";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ES1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ES11";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ES12";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ES13";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ES2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ES21";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ES22";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ES23";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ES24";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ES3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ES30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ES4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ES41";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ES42";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ES43";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ES5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ES51";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ES52";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ES53";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ES6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ES61";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ES62";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
