"sex";"age";"unit";"geo";"X2014"
"T";"TOTAL";"PC_POP";"RO";25.9
"T";"TOTAL";"PC_POP";"RO1";21.4
"T";"TOTAL";"PC_POP";"RO11";18
"T";"TOTAL";"PC_POP";"RO12";25
"T";"TOTAL";"PC_POP";"RO2";32.1
"T";"TOTAL";"PC_POP";"RO21";30.4
"T";"TOTAL";"PC_POP";"RO22";34.4
"T";"TOTAL";"PC_POP";"RO3";24.7
"T";"TOTAL";"PC_POP";"RO31";28.4
"T";"TOTAL";"PC_POP";"RO32";19.8
"T";"TOTAL";"PC_POP";"RO4";24.1
"T";"TOTAL";"PC_POP";"RO41";25.3
"T";"TOTAL";"PC_POP";"RO42";22.7
"T";"TOTAL";"PC_POP";"SE";0.7
"T";"TOTAL";"PC_POP";"SE1";1
"T";"TOTAL";"PC_POP";"SE11";1.5
"T";"TOTAL";"PC_POP";"SE12";0.5
"T";"TOTAL";"PC_POP";"SE2";0.7
"T";"TOTAL";"PC_POP";"SE21";0.4
"T";"TOTAL";"PC_POP";"SE22";1.2
"T";"TOTAL";"PC_POP";"SE23";0.5
"T";"TOTAL";"PC_POP";"SE3";0.4
"T";"TOTAL";"PC_POP";"SE31";0.4
"T";"TOTAL";"PC_POP";"SE32";0
"T";"TOTAL";"PC_POP";"SE33";0.5
"T";"TOTAL";"PC_POP";"SI";6.6
"T";"TOTAL";"PC_POP";"SK";9.9
"T";"TOTAL";"PC_POP";"SK01";10
"T";"TOTAL";"PC_POP";"SK02";6.8
"T";"TOTAL";"PC_POP";"SK03";10.2
"T";"TOTAL";"PC_POP";"SK04";13
"T";"TOTAL";"PC_POP";"UK";7.4
