"sex";"age";"unit";"geo";"X2014"
"T";"TOTAL";"PPS_HAB";"EL30";27100
"T";"TOTAL";"PPS_HAB";"EL4";18400
"T";"TOTAL";"PPS_HAB";"EL41";15700
"T";"TOTAL";"PPS_HAB";"EL42";22000
"T";"TOTAL";"PPS_HAB";"EL43";17300
"T";"TOTAL";"PPS_HAB";"EL5";15100
"T";"TOTAL";"PPS_HAB";"EL51";13700
"T";"TOTAL";"PPS_HAB";"EL52";15300
"T";"TOTAL";"PPS_HAB";"EL53";18100
"T";"TOTAL";"PPS_HAB";"EL54";14000
"T";"TOTAL";"PPS_HAB";"EL6";15800
"T";"TOTAL";"PPS_HAB";"EL61";15100
"T";"TOTAL";"PPS_HAB";"EL62";18400
"T";"TOTAL";"PPS_HAB";"EL63";14800
"T";"TOTAL";"PPS_HAB";"EL64";16900
"T";"TOTAL";"PPS_HAB";"EL65";15900
"T";"TOTAL";"PPS_HAB";"ES";25000
"T";"TOTAL";"PPS_HAB";"ES1";22100
"T";"TOTAL";"PPS_HAB";"ES11";22000
"T";"TOTAL";"PPS_HAB";"ES12";22000
"T";"TOTAL";"PPS_HAB";"ES13";22600
"T";"TOTAL";"PPS_HAB";"ES2";30600
"T";"TOTAL";"PPS_HAB";"ES21";32700
"T";"TOTAL";"PPS_HAB";"ES22";30900
"T";"TOTAL";"PPS_HAB";"ES23";27500
"T";"TOTAL";"PPS_HAB";"ES24";27600
"T";"TOTAL";"PPS_HAB";"ES3";34300
"T";"TOTAL";"PPS_HAB";"ES30";34300
"T";"TOTAL";"PPS_HAB";"ES4";20900
"T";"TOTAL";"PPS_HAB";"ES41";23500
"T";"TOTAL";"PPS_HAB";"ES42";19700
"T";"TOTAL";"PPS_HAB";"ES43";17300
"T";"TOTAL";"PPS_HAB";"ES5";26600
"T";"TOTAL";"PPS_HAB";"ES51";29700
"T";"TOTAL";"PPS_HAB";"ES52";22000
"T";"TOTAL";"PPS_HAB";"ES53";26200
"T";"TOTAL";"PPS_HAB";"ES6";18800
"T";"TOTAL";"PPS_HAB";"ES61";18500
"T";"TOTAL";"PPS_HAB";"ES62";20500
"T";"TOTAL";"PPS_HAB";"ES63";20900
"T";"TOTAL";"PPS_HAB";"ES64";18700
"T";"TOTAL";"PPS_HAB";"ES7";21500
"T";"TOTAL";"PPS_HAB";"ES70";21500
"T";"TOTAL";"PPS_HAB";"FI";30300
"T";"TOTAL";"PPS_HAB";"FI1";30200
"T";"TOTAL";"PPS_HAB";"FI19";27200
"T";"TOTAL";"PPS_HAB";"FI1B";39600
"T";"TOTAL";"PPS_HAB";"FI1C";26700
"T";"TOTAL";"PPS_HAB";"FI1D";25000
"T";"TOTAL";"PPS_HAB";"FI2";37900
"T";"TOTAL";"PPS_HAB";"FI20";37900
"T";"TOTAL";"PPS_HAB";"FR";29300
"T";"TOTAL";"PPS_HAB";"FR1";49000
"T";"TOTAL";"PPS_HAB";"FR10";49000
"T";"TOTAL";"PPS_HAB";"FR2";24100
"T";"TOTAL";"PPS_HAB";"FR21";25700
"T";"TOTAL";"PPS_HAB";"FR22";21600
"T";"TOTAL";"PPS_HAB";"FR23";25600
"T";"TOTAL";"PPS_HAB";"FR24";24300
"T";"TOTAL";"PPS_HAB";"FR25";23400
"T";"TOTAL";"PPS_HAB";"FR26";24600
"T";"TOTAL";"PPS_HAB";"FR3";23400
