"";"migrt_Total";"migrt_Y15-24";"migrt_Y25-64"
"AT";0.628796261477022;0.859531204311782;0.757339768570495
"AT1";0.628796261477022;0.859531204311782;0.757339768570495
"AT11";0.628796261477022;0.859531204311782;0.757339768570495
"AT12";0.628796261477022;0.859531204311782;0.757339768570495
"AT13";0.628796261477022;0.859531204311782;0.757339768570495
"AT2";0.628796261477022;0.859531204311782;0.757339768570495
"AT21";0.628796261477022;0.859531204311782;0.757339768570495
"AT22";0.628796261477022;0.859531204311782;0.757339768570495
"AT3";0.628796261477022;0.859531204311782;0.757339768570495
"AT31";0.628796261477022;0.859531204311782;0.757339768570495
"AT32";0.628796261477022;0.859531204311782;0.757339768570495
"AT33";0.628796261477022;0.859531204311782;0.757339768570495
"AT34";0.628796261477022;0.859531204311782;0.757339768570495
"BE";0.84584879132516;0.923081315454737;1.00025640711337
"BE1";0.84584879132516;0.923081315454737;1.00025640711337
"BE10";0.84584879132516;0.923081315454737;1.00025640711337
"BE2";0.84584879132516;0.923081315454737;1.00025640711337
"BE21";0.84584879132516;0.923081315454737;1.00025640711337
"BE22";0.84584879132516;0.923081315454737;1.00025640711337
"BE23";0.84584879132516;0.923081315454737;1.00025640711337
"BE24";0.84584879132516;0.923081315454737;1.00025640711337
"BE25";0.84584879132516;0.923081315454737;1.00025640711337
"BE3";0.84584879132516;0.923081315454737;1.00025640711337
"BE31";0.84584879132516;0.923081315454737;1.00025640711337
"BE32";0.84584879132516;0.923081315454737;1.00025640711337
"BE33";0.84584879132516;0.923081315454737;1.00025640711337
"BE34";0.84584879132516;0.923081315454737;1.00025640711337
"BE35";0.84584879132516;0.923081315454737;1.00025640711337
"BG";0.396470888779613;0.811544088309616;0.486817782305049
"BG3";0.396470888779613;0.811544088309616;0.486817782305049
"BG31";0.396470888779613;0.811544088309616;0.486817782305049
"BG32";0.396470888779613;0.811544088309616;0.486817782305049
"BG33";0.396470888779613;0.811544088309616;0.486817782305049
"BG34";0.396470888779613;0.811544088309616;0.486817782305049
"BG4";0.396470888779613;0.811544088309616;0.486817782305049
"BG41";0.396470888779613;0.811544088309616;0.486817782305049
"BG42";0.396470888779613;0.811544088309616;0.486817782305049
"CY";2.81515151515151;0.575619567794739;4.6311822457723
"CY0";2.81515151515151;0.575619567794739;4.6311822457723
"CY00";2.81515151515151;0.575619567794739;4.6311822457723
"CZ";0.270803513444432;0.561122529531829;0.314260162699439
"CZ0";0.270803513444432;0.561122529531829;0.314260162699439
"CZ01";0.270803513444432;0.561122529531829;0.314260162699439
"CZ02";0.270803513444432;0.561122529531829;0.314260162699439
"CZ03";0.270803513444432;0.561122529531829;0.314260162699439
"CZ04";0.270803513444432;0.561122529531829;0.314260162699439
"CZ05";0.270803513444432;0.561122529531829;0.314260162699439
"CZ06";0.270803513444432;0.561122529531829;0.314260162699439
"CZ07";0.270803513444432;0.561122529531829;0.314260162699439
"CZ08";0.270803513444432;0.561122529531829;0.314260162699439
"DE";0.401425262051378;0.461072920420365;0.515908871079727
"DE1";0.401425262051378;0.461072920420365;0.515908871079727
"DE11";0.401425262051378;0.461072920420365;0.515908871079727
"DE12";0.401425262051378;0.461072920420365;0.515908871079727
"DE13";0.401425262051378;0.461072920420365;0.515908871079727
"DE14";0.401425262051378;0.461072920420365;0.515908871079727
"DE2";0.401425262051378;0.461072920420365;0.515908871079727
"DE21";0.401425262051378;0.461072920420365;0.515908871079727
"DE22";0.401425262051378;0.461072920420365;0.515908871079727
"DE23";0.401425262051378;0.461072920420365;0.515908871079727
"DE24";0.401425262051378;0.461072920420365;0.515908871079727
"DE25";0.401425262051378;0.461072920420365;0.515908871079727
"DE26";0.401425262051378;0.461072920420365;0.515908871079727
"DE27";0.401425262051378;0.461072920420365;0.515908871079727
"DE3";0.401425262051378;0.461072920420365;0.515908871079727
"DE30";0.401425262051378;0.461072920420365;0.515908871079727
"DE4";0.401425262051378;0.461072920420365;0.515908871079727
"DE40";0.401425262051378;0.461072920420365;0.515908871079727
"DE5";0.401425262051378;0.461072920420365;0.515908871079727
"DE50";0.401425262051378;0.461072920420365;0.515908871079727
"DE6";0.401425262051378;0.461072920420365;0.515908871079727
"DE60";0.401425262051378;0.461072920420365;0.515908871079727
"DE7";0.401425262051378;0.461072920420365;0.515908871079727
"DE71";0.401425262051378;0.461072920420365;0.515908871079727
"DE72";0.401425262051378;0.461072920420365;0.515908871079727
"DE73";0.401425262051378;0.461072920420365;0.515908871079727
"DE8";0.401425262051378;0.461072920420365;0.515908871079727
"DE80";0.401425262051378;0.461072920420365;0.515908871079727
"DE9";0.401425262051378;0.461072920420365;0.515908871079727
"DE91";0.401425262051378;0.461072920420365;0.515908871079727
"DE92";0.401425262051378;0.461072920420365;0.515908871079727
"DE93";0.401425262051378;0.461072920420365;0.515908871079727
"DE94";0.401425262051378;0.461072920420365;0.515908871079727
"DEA";0.401425262051378;0.461072920420365;0.515908871079727
"DEA1";0.401425262051378;0.461072920420365;0.515908871079727
"DEA2";0.401425262051378;0.461072920420365;0.515908871079727
"DEA3";0.401425262051378;0.461072920420365;0.515908871079727
"DEA4";0.401425262051378;0.461072920420365;0.515908871079727
"DEA5";0.401425262051378;0.461072920420365;0.515908871079727
"DEB";0.401425262051378;0.461072920420365;0.515908871079727
"DEB1";0.401425262051378;0.461072920420365;0.515908871079727
"DEB2";0.401425262051378;0.461072920420365;0.515908871079727
"DEB3";0.401425262051378;0.461072920420365;0.515908871079727
"DEC";0.401425262051378;0.461072920420365;0.515908871079727
