"sex";"age";"unit";"geo";"X2014"
"T";"TOTAL";"PC_POP";"PT";27.5
"T";"TOTAL";"PC_POP";"RO";40.3
"T";"TOTAL";"PC_POP";"RO1";33.8
"T";"TOTAL";"PC_POP";"RO11";32.1
"T";"TOTAL";"PC_POP";"RO12";35.7
"T";"TOTAL";"PC_POP";"RO2";51.1
"T";"TOTAL";"PC_POP";"RO21";49.4
"T";"TOTAL";"PC_POP";"RO22";53.2
"T";"TOTAL";"PC_POP";"RO3";34.7
"T";"TOTAL";"PC_POP";"RO31";41.7
"T";"TOTAL";"PC_POP";"RO32";25.1
"T";"TOTAL";"PC_POP";"RO4";40.5
"T";"TOTAL";"PC_POP";"RO41";40.9
"T";"TOTAL";"PC_POP";"RO42";40.1
"T";"TOTAL";"PC_POP";"SE";16.9
"T";"TOTAL";"PC_POP";"SE1";14.5
"T";"TOTAL";"PC_POP";"SE11";12.8
"T";"TOTAL";"PC_POP";"SE12";16.5
"T";"TOTAL";"PC_POP";"SE2";18.3
"T";"TOTAL";"PC_POP";"SE21";19.3
"T";"TOTAL";"PC_POP";"SE22";18.7
"T";"TOTAL";"PC_POP";"SE23";17.7
"T";"TOTAL";"PC_POP";"SE3";19.1
"T";"TOTAL";"PC_POP";"SE31";20.1
"T";"TOTAL";"PC_POP";"SE32";21.1
"T";"TOTAL";"PC_POP";"SE33";16.2
"T";"TOTAL";"PC_POP";"SI";20.4
"T";"TOTAL";"PC_POP";"SK";18.4
"T";"TOTAL";"PC_POP";"SK01";16.5
"T";"TOTAL";"PC_POP";"SK02";15.4
"T";"TOTAL";"PC_POP";"SK03";20.2
"T";"TOTAL";"PC_POP";"SK04";21
"T";"TOTAL";"PC_POP";"UK";24.1
