"age";"unit";"sex";"worktime";"geo";"X2014"
"TOTAL";"THS";"F";"FT";"EL30";500.4
"TOTAL";"THS";"F";"FT";"EL4";149.8
"TOTAL";"THS";"F";"FT";"EL41";20.5
"TOTAL";"THS";"F";"FT";"EL42";49.9
"TOTAL";"THS";"F";"FT";"EL43";79.4
"TOTAL";"THS";"F";"FT";"EL5";342.6
"TOTAL";"THS";"F";"FT";"EL51";72.5
"TOTAL";"THS";"F";"FT";"EL52";204
"TOTAL";"THS";"F";"FT";"EL53";26.8
"TOTAL";"THS";"F";"FT";"EL54";39.3
"TOTAL";"THS";"F";"FT";"EL6";291.6
"TOTAL";"THS";"F";"FT";"EL61";70.7
"TOTAL";"THS";"F";"FT";"EL62";26.4
"TOTAL";"THS";"F";"FT";"EL63";70.3
"TOTAL";"THS";"F";"FT";"EL64";57.2
"TOTAL";"THS";"F";"FT";"EL65";67
"TOTAL";"THS";"F";"FT";"ES";5879.9
"TOTAL";"THS";"F";"FT";"ES1";586.4
"TOTAL";"THS";"F";"FT";"ES11";366.7
"TOTAL";"THS";"F";"FT";"ES12";139.7
"TOTAL";"THS";"F";"FT";"ES13";79.9
"TOTAL";"THS";"F";"FT";"ES2";574.4
"TOTAL";"THS";"F";"FT";"ES21";282.6
"TOTAL";"THS";"F";"FT";"ES22";82.1
"TOTAL";"THS";"F";"FT";"ES23";40.2
"TOTAL";"THS";"F";"FT";"ES24";169.5
"TOTAL";"THS";"F";"FT";"ES3";1025.5
"TOTAL";"THS";"F";"FT";"ES30";1025.5
"TOTAL";"THS";"F";"FT";"ES4";615.7
"TOTAL";"THS";"F";"FT";"ES41";291.1
"TOTAL";"THS";"F";"FT";"ES42";217.8
"TOTAL";"THS";"F";"FT";"ES43";106.8
"TOTAL";"THS";"F";"FT";"ES5";1836.5
"TOTAL";"THS";"F";"FT";"ES51";1099.1
"TOTAL";"THS";"F";"FT";"ES52";561.2
"TOTAL";"THS";"F";"FT";"ES53";176.1
"TOTAL";"THS";"F";"FT";"ES6";981.7
"TOTAL";"THS";"F";"FT";"ES61";805.3
"TOTAL";"THS";"F";"FT";"ES62";161.1
"TOTAL";"THS";"F";"FT";"ES63";7.9
"TOTAL";"THS";"F";"FT";"ES64";7.4
"TOTAL";"THS";"F";"FT";"ES7";259.8
"TOTAL";"THS";"F";"FT";"ES70";259.8
"TOTAL";"THS";"F";"FT";"FI";952
"TOTAL";"THS";"F";"FT";"FI1";946.4
"TOTAL";"THS";"F";"FT";"FI19";228.3
"TOTAL";"THS";"F";"FT";"FI1B";321.4
"TOTAL";"THS";"F";"FT";"FI1C";190.1
"TOTAL";"THS";"F";"FT";"FI1D";206.7
"TOTAL";"THS";"F";"FT";"FI2";5.5
"TOTAL";"THS";"F";"FT";"FI20";5.5
"TOTAL";"THS";"F";"FT";"FR";8805.6
"TOTAL";"THS";"F";"FT";"FR1";1990
"TOTAL";"THS";"F";"FT";"FR10";1990
"TOTAL";"THS";"F";"FT";"FR2";1394.9
"TOTAL";"THS";"F";"FT";"FR21";160.1
"TOTAL";"THS";"F";"FT";"FR22";242.3
"TOTAL";"THS";"F";"FT";"FR23";233.9
"TOTAL";"THS";"F";"FT";"FR24";336.6
"TOTAL";"THS";"F";"FT";"FR25";197.7
"TOTAL";"THS";"F";"FT";"FR26";224.3
"TOTAL";"THS";"F";"FT";"FR3";467.8
"TOTAL";"THS";"F";"FT";"FR30";467.8
"TOTAL";"THS";"F";"FT";"FR4";672.8
"TOTAL";"THS";"F";"FT";"FR41";273.3
"TOTAL";"THS";"F";"FT";"FR42";252.3
"TOTAL";"THS";"F";"FT";"FR43";147.2
"TOTAL";"THS";"F";"FT";"FR5";1124.3
"TOTAL";"THS";"F";"FT";"FR51";469.8
"TOTAL";"THS";"F";"FT";"FR52";423.6
"TOTAL";"THS";"F";"FT";"FR53";230.9
"TOTAL";"THS";"F";"FT";"FR6";958.8
"TOTAL";"THS";"F";"FT";"FR61";454.2
"TOTAL";"THS";"F";"FT";"FR62";399
"TOTAL";"THS";"F";"FT";"FR63";105.5
"TOTAL";"THS";"F";"FT";"FR7";1010.7
"TOTAL";"THS";"F";"FT";"FR71";841.3
"TOTAL";"THS";"F";"FT";"FR72";169.3
"TOTAL";"THS";"F";"FT";"FR8";981.1
"TOTAL";"THS";"F";"FT";"FR81";298.4
"TOTAL";"THS";"F";"FT";"FR82";662.4
"TOTAL";"THS";"F";"FT";"FR83";20.3
"TOTAL";"THS";"F";"FT";"FRA";205.1
"TOTAL";"THS";"F";"FT";"FRA1";45.5
"TOTAL";"THS";"F";"FT";"FRA2";49.1
"TOTAL";"THS";"F";"FT";"FRA3";20.7
"TOTAL";"THS";"F";"FT";"FRA4";77.7
"TOTAL";"THS";"F";"FT";"FRA5";12.2
"TOTAL";"THS";"F";"FT";"HR";661.4
"TOTAL";"THS";"F";"FT";"HR0";661.4
"TOTAL";"THS";"F";"FT";"HR03";224.2
"TOTAL";"THS";"F";"FT";"HR04";437.2
"TOTAL";"THS";"F";"FT";"HU";1710.4
"TOTAL";"THS";"F";"FT";"HU1";562.2
"TOTAL";"THS";"F";"FT";"HU10";562.2
"TOTAL";"THS";"F";"FT";"HU2";526.1
"TOTAL";"THS";"F";"FT";"HU21";195.7
"TOTAL";"THS";"F";"FT";"HU22";183
"TOTAL";"THS";"F";"FT";"HU23";147.3
"TOTAL";"THS";"F";"FT";"HU3";622.2
"TOTAL";"THS";"F";"FT";"HU31";180.7
"TOTAL";"THS";"F";"FT";"HU32";233.2
"TOTAL";"THS";"F";"FT";"HU33";208.2
"TOTAL";"THS";"F";"FT";"IE";568.6
"TOTAL";"THS";"F";"FT";"IE0";568.6
"TOTAL";"THS";"F";"FT";"IE01";132.7
"TOTAL";"THS";"F";"FT";"IE02";435.9
"TOTAL";"THS";"F";"FT";"IT";6325.6
"TOTAL";"THS";"F";"FT";"ITC";1987
"TOTAL";"THS";"F";"FT";"ITC1";543.1
"TOTAL";"THS";"F";"FT";"ITC2";18
"TOTAL";"THS";"F";"FT";"ITC3";174
"TOTAL";"THS";"F";"FT";"ITC4";1251.8
"TOTAL";"THS";"F";"FT";"ITF";1024.9
"TOTAL";"THS";"F";"FT";"ITF1";130.4
"TOTAL";"THS";"F";"FT";"ITF2";28.2
"TOTAL";"THS";"F";"FT";"ITF3";399
"TOTAL";"THS";"F";"FT";"ITF4";282
"TOTAL";"THS";"F";"FT";"ITF5";49.3
"TOTAL";"THS";"F";"FT";"ITF6";135.9
"TOTAL";"THS";"F";"FT";"ITG";452.2
"TOTAL";"THS";"F";"FT";"ITG1";310.3
"TOTAL";"THS";"F";"FT";"ITG2";141.9
"TOTAL";"THS";"F";"FT";"ITH";1417
"TOTAL";"THS";"F";"FT";"ITH1";60.9
"TOTAL";"THS";"F";"FT";"ITH2";60
"TOTAL";"THS";"F";"FT";"ITH3";568.3
"TOTAL";"THS";"F";"FT";"ITH4";139.4
"TOTAL";"THS";"F";"FT";"ITH5";588.4
"TOTAL";"THS";"F";"FT";"ITI";1444.5
"TOTAL";"THS";"F";"FT";"ITI1";478.9
"TOTAL";"THS";"F";"FT";"ITI2";102.3
"TOTAL";"THS";"F";"FT";"ITI3";185
"TOTAL";"THS";"F";"FT";"ITI4";678.3
"TOTAL";"THS";"F";"FT";"LT";597.1
"TOTAL";"THS";"F";"FT";"LT0";597.1
"TOTAL";"THS";"F";"FT";"LT00";597.1
"TOTAL";"THS";"F";"FT";"LU";70
"TOTAL";"THS";"F";"FT";"LU0";70
"TOTAL";"THS";"F";"FT";"LU00";70
"TOTAL";"THS";"F";"FT";"LV";402.9
"TOTAL";"THS";"F";"FT";"LV0";402.9
"TOTAL";"THS";"F";"FT";"LV00";402.9
"TOTAL";"THS";"F";"FT";"MT";49.3
"TOTAL";"THS";"F";"FT";"MT0";49.3
"TOTAL";"THS";"F";"FT";"MT00";49.3
"TOTAL";"THS";"F";"FT";"NL";872.2
"TOTAL";"THS";"F";"FT";"NL1";67.6
"TOTAL";"THS";"F";"FT";"NL11";25.6
"TOTAL";"THS";"F";"FT";"NL12";24.2
"TOTAL";"THS";"F";"FT";"NL13";17.8
"TOTAL";"THS";"F";"FT";"NL2";158.6
"TOTAL";"THS";"F";"FT";"NL21";46.8
"TOTAL";"THS";"F";"FT";"NL22";89.1
"TOTAL";"THS";"F";"FT";"NL23";22.6
"TOTAL";"THS";"F";"FT";"NL3";468.7
"TOTAL";"THS";"F";"FT";"NL31";76
"TOTAL";"THS";"F";"FT";"NL32";173.2
"TOTAL";"THS";"F";"FT";"NL33";204
"TOTAL";"THS";"F";"FT";"NL34";15.6
"TOTAL";"THS";"F";"FT";"NL4";177.2
"TOTAL";"THS";"F";"FT";"NL41";125.4
"TOTAL";"THS";"F";"FT";"NL42";51.9
"TOTAL";"THS";"F";"FT";"PL";6299.5
"TOTAL";"THS";"F";"FT";"PL1";1602.8
"TOTAL";"THS";"F";"FT";"PL11";523.3
"TOTAL";"THS";"F";"FT";"PL12";1079.5
"TOTAL";"THS";"F";"FT";"PL2";1239
"TOTAL";"THS";"F";"FT";"PL21";513.2
"TOTAL";"THS";"F";"FT";"PL22";725.7
"TOTAL";"THS";"F";"FT";"PL3";1098.1
"TOTAL";"THS";"F";"FT";"PL31";388.3
"TOTAL";"THS";"F";"FT";"PL32";287.5
"TOTAL";"THS";"F";"FT";"PL33";231.2
"TOTAL";"THS";"F";"FT";"PL34";191.1
"TOTAL";"THS";"F";"FT";"PL4";907.7
"TOTAL";"THS";"F";"FT";"PL41";515.6
"TOTAL";"THS";"F";"FT";"PL42";230.1
"TOTAL";"THS";"F";"FT";"PL43";161.9
"TOTAL";"THS";"F";"FT";"PL5";583.2
"TOTAL";"THS";"F";"FT";"PL51";439.5
"TOTAL";"THS";"F";"FT";"PL52";143.7
"TOTAL";"THS";"F";"FT";"PL6";868.8
"TOTAL";"THS";"F";"FT";"PL61";304.2
"TOTAL";"THS";"F";"FT";"PL62";213.5
"TOTAL";"THS";"F";"FT";"PL63";351.1
"TOTAL";"THS";"F";"FT";"PT";1857.5
"TOTAL";"THS";"F";"FT";"PT1";1773.6
"TOTAL";"THS";"F";"FT";"PT11";628.2
"TOTAL";"THS";"F";"FT";"PT15";83.2
"TOTAL";"THS";"F";"FT";"PT16";410.7
"TOTAL";"THS";"F";"FT";"PT17";523
"TOTAL";"THS";"F";"FT";"PT18";128.5
"TOTAL";"THS";"F";"FT";"PT2";38.8
"TOTAL";"THS";"F";"FT";"PT20";38.8
"TOTAL";"THS";"F";"FT";"PT3";45.1
"TOTAL";"THS";"F";"FT";"PT30";45.1
"TOTAL";"THS";"F";"FT";"RO";3351.3
"TOTAL";"THS";"F";"FT";"RO1";824.6
"TOTAL";"THS";"F";"FT";"RO11";473.6
"TOTAL";"THS";"F";"FT";"RO12";351
"TOTAL";"THS";"F";"FT";"RO2";889.6
"TOTAL";"THS";"F";"FT";"RO21";570.5
"TOTAL";"THS";"F";"FT";"RO22";319.1
"TOTAL";"THS";"F";"FT";"RO3";933.8
"TOTAL";"THS";"F";"FT";"RO31";449.3
"TOTAL";"THS";"F";"FT";"RO32";484.5
"TOTAL";"THS";"F";"FT";"RO4";703.2
"TOTAL";"THS";"F";"FT";"RO41";396
"TOTAL";"THS";"F";"FT";"RO42";307.2
"TOTAL";"THS";"F";"FT";"SE";1399.2
"TOTAL";"THS";"F";"FT";"SE1";603.5
"TOTAL";"THS";"F";"FT";"SE11";383.2
"TOTAL";"THS";"F";"FT";"SE12";220.3
"TOTAL";"THS";"F";"FT";"SE2";567.9
"TOTAL";"THS";"F";"FT";"SE21";105
"TOTAL";"THS";"F";"FT";"SE22";189.1
"TOTAL";"THS";"F";"FT";"SE23";273.7
"TOTAL";"THS";"F";"FT";"SE3";227.8
"TOTAL";"THS";"F";"FT";"SE31";109.1
"TOTAL";"THS";"F";"FT";"SE32";48.4
"TOTAL";"THS";"F";"FT";"SE33";70.4
"TOTAL";"THS";"F";"FT";"SI";355.3
"TOTAL";"THS";"F";"FT";"SI0";355.3
"TOTAL";"THS";"F";"FT";"SI03";182.9
"TOTAL";"THS";"F";"FT";"SI04";172.4
"TOTAL";"THS";"F";"FT";"SK";974.1
"TOTAL";"THS";"F";"FT";"SK0";974.1
"TOTAL";"THS";"F";"FT";"SK01";137.5
"TOTAL";"THS";"F";"FT";"SK02";349.6
"TOTAL";"THS";"F";"FT";"SK03";230
"TOTAL";"THS";"F";"FT";"SK04";257.1
"TOTAL";"THS";"F";"FT";"UK";8232.1
"TOTAL";"THS";"F";"FT";"UKC";318.1
"TOTAL";"THS";"F";"FT";"UKC1";146.6
"TOTAL";"THS";"F";"FT";"UKC2";171.5
"TOTAL";"THS";"F";"FT";"UKD";919.5
"TOTAL";"THS";"F";"FT";"UKD1";61
"TOTAL";"THS";"F";"FT";"UKD3";361.3
"TOTAL";"THS";"F";"FT";"UKD4";184.2
"TOTAL";"THS";"F";"FT";"UKD6";120.1
"TOTAL";"THS";"F";"FT";"UKD7";192.9
"TOTAL";"THS";"F";"FT";"UKE";633.5
"TOTAL";"THS";"F";"FT";"UKE1";96.8
"TOTAL";"THS";"F";"FT";"UKE2";96.3
"TOTAL";"THS";"F";"FT";"UKE3";169.6
"TOTAL";"THS";"F";"FT";"UKE4";270.9
"TOTAL";"THS";"F";"FT";"UKF";577.4
"TOTAL";"THS";"F";"FT";"UKF1";259.3
"TOTAL";"THS";"F";"FT";"UKF2";220.3
"TOTAL";"THS";"F";"FT";"UKF3";97.8
"TOTAL";"THS";"F";"FT";"UKG";669.5
"TOTAL";"THS";"F";"FT";"UKG1";160.1
"TOTAL";"THS";"F";"FT";"UKG2";191.6
"TOTAL";"THS";"F";"FT";"UKG3";317.8
"TOTAL";"THS";"F";"FT";"UKH";756
"TOTAL";"THS";"F";"FT";"UKH1";300.4
"TOTAL";"THS";"F";"FT";"UKH2";246
"TOTAL";"THS";"F";"FT";"UKH3";209.7
"TOTAL";"THS";"F";"FT";"UKI";1273.4
"TOTAL";"THS";"F";"FT";"UKI3";191.4
"TOTAL";"THS";"F";"FT";"UKI4";360.7
"TOTAL";"THS";"F";"FT";"UKI5";233.1
"TOTAL";"THS";"F";"FT";"UKI6";196.4
"TOTAL";"THS";"F";"FT";"UKI7";291.8
"TOTAL";"THS";"F";"FT";"UKJ";1128.8
"TOTAL";"THS";"F";"FT";"UKJ1";318.8
"TOTAL";"THS";"F";"FT";"UKJ2";339.8
"TOTAL";"THS";"F";"FT";"UKJ3";251.8
"TOTAL";"THS";"F";"FT";"UKJ4";218.4
"TOTAL";"THS";"F";"FT";"UKK";642.9
"TOTAL";"THS";"F";"FT";"UKK1";303.4
"TOTAL";"THS";"F";"FT";"UKK2";150.1
"TOTAL";"THS";"F";"FT";"UKK3";65.5
"TOTAL";"THS";"F";"FT";"UKK4";123.9
"TOTAL";"THS";"F";"FT";"UKL";368
"TOTAL";"THS";"F";"FT";"UKL1";231.1
"TOTAL";"THS";"F";"FT";"UKL2";136.9
"TOTAL";"THS";"F";"FT";"UKM";711.2
"TOTAL";"THS";"F";"FT";"UKM2";287.3
"TOTAL";"THS";"F";"FT";"UKM3";282.6
"TOTAL";"THS";"F";"FT";"UKM5";71
"TOTAL";"THS";"F";"FT";"UKM6";70.2
"TOTAL";"THS";"F";"FT";"UKN";233.8
"TOTAL";"THS";"F";"FT";"UKN0";233.8
"TOTAL";"THS";"F";"PT";"AT";908.5
"TOTAL";"THS";"F";"PT";"AT1";356.1
"TOTAL";"THS";"F";"PT";"AT11";26.5
"TOTAL";"THS";"F";"PT";"AT12";169.8
"TOTAL";"THS";"F";"PT";"AT13";159.8
"TOTAL";"THS";"F";"PT";"AT2";189.2
"TOTAL";"THS";"F";"PT";"AT21";57
"TOTAL";"THS";"F";"PT";"AT22";132.2
"TOTAL";"THS";"F";"PT";"AT3";363.2
"TOTAL";"THS";"F";"PT";"AT31";167.9
"TOTAL";"THS";"F";"PT";"AT32";62.2
"TOTAL";"THS";"F";"PT";"AT33";87.7
"TOTAL";"THS";"F";"PT";"AT34";45.5
"TOTAL";"THS";"F";"PT";"BE";872.1
"TOTAL";"THS";"F";"PT";"BE1";62
"TOTAL";"THS";"F";"PT";"BE10";62
"TOTAL";"THS";"F";"PT";"BE2";550.8
"TOTAL";"THS";"F";"PT";"BE21";146.6
"TOTAL";"THS";"F";"PT";"BE22";85.1
"TOTAL";"THS";"F";"PT";"BE23";122.5
"TOTAL";"THS";"F";"PT";"BE24";93.2
"TOTAL";"THS";"F";"PT";"BE25";103.4
"TOTAL";"THS";"F";"PT";"BE3";259.3
"TOTAL";"THS";"F";"PT";"BE31";28.8
"TOTAL";"THS";"F";"PT";"BE32";83.5
"TOTAL";"THS";"F";"PT";"BE33";82
"TOTAL";"THS";"F";"PT";"BE34";25.1
"TOTAL";"THS";"F";"PT";"BE35";39.9
"TOTAL";"THS";"F";"PT";"BG";42.9
"TOTAL";"THS";"F";"PT";"BG3";20.6
"TOTAL";"THS";"F";"PT";"BG31";4.6
"TOTAL";"THS";"F";"PT";"BG32";5.1
"TOTAL";"THS";"F";"PT";"BG33";6.9
"TOTAL";"THS";"F";"PT";"BG34";4.1
"TOTAL";"THS";"F";"PT";"BG4";22.2
"TOTAL";"THS";"F";"PT";"BG41";12.7
"TOTAL";"THS";"F";"PT";"BG42";9.6
"TOTAL";"THS";"F";"PT";"CY";30.6
"TOTAL";"THS";"F";"PT";"CY0";30.6
"TOTAL";"THS";"F";"PT";"CY00";30.6
"TOTAL";"THS";"F";"PT";"CZ";224.8
"TOTAL";"THS";"F";"PT";"CZ0";224.8
"TOTAL";"THS";"F";"PT";"CZ01";43.5
"TOTAL";"THS";"F";"PT";"CZ02";24.3
"TOTAL";"THS";"F";"PT";"CZ03";22.5
"TOTAL";"THS";"F";"PT";"CZ04";15.5
"TOTAL";"THS";"F";"PT";"CZ05";30.1
"TOTAL";"THS";"F";"PT";"CZ06";40.3
"TOTAL";"THS";"F";"PT";"CZ07";22.8
"TOTAL";"THS";"F";"PT";"CZ08";25.7
"TOTAL";"THS";"F";"PT";"DE";8722.9
"TOTAL";"THS";"F";"PT";"DE1";1308.5
"TOTAL";"THS";"F";"PT";"DE11";471
"TOTAL";"THS";"F";"PT";"DE12";325.9
"TOTAL";"THS";"F";"PT";"DE13";283.2
"TOTAL";"THS";"F";"PT";"DE14";228.4
"TOTAL";"THS";"F";"PT";"DE2";1485.9
"TOTAL";"THS";"F";"PT";"DE21";504.1
"TOTAL";"THS";"F";"PT";"DE22";151.8
"TOTAL";"THS";"F";"PT";"DE23";129
"TOTAL";"THS";"F";"PT";"DE24";133
"TOTAL";"THS";"F";"PT";"DE25";194.6
"TOTAL";"THS";"F";"PT";"DE26";165
"TOTAL";"THS";"F";"PT";"DE27";208.4
"TOTAL";"THS";"F";"PT";"DE3";290.7
"TOTAL";"THS";"F";"PT";"DE30";290.7
"TOTAL";"THS";"F";"PT";"DE4";205.2
"TOTAL";"THS";"F";"PT";"DE40";205.2
"TOTAL";"THS";"F";"PT";"DE5";71.5
"TOTAL";"THS";"F";"PT";"DE50";71.5
"TOTAL";"THS";"F";"PT";"DE6";174.3
"TOTAL";"THS";"F";"PT";"DE60";174.3
"TOTAL";"THS";"F";"PT";"DE7";666.2
"TOTAL";"THS";"F";"PT";"DE71";397.8
"TOTAL";"THS";"F";"PT";"DE72";125.1
"TOTAL";"THS";"F";"PT";"DE73";143.4
"TOTAL";"THS";"F";"PT";"DE8";142.8
"TOTAL";"THS";"F";"PT";"DE80";142.8
"TOTAL";"THS";"F";"PT";"DE9";877.8
"TOTAL";"THS";"F";"PT";"DE91";162
"TOTAL";"THS";"F";"PT";"DE92";226.1
"TOTAL";"THS";"F";"PT";"DE93";198.5
"TOTAL";"THS";"F";"PT";"DE94";291.2
"TOTAL";"THS";"F";"PT";"DEA";1874.2
"TOTAL";"THS";"F";"PT";"DEA1";518.8
"TOTAL";"THS";"F";"PT";"DEA2";436.4
"TOTAL";"THS";"F";"PT";"DEA3";299.4
"TOTAL";"THS";"F";"PT";"DEA4";233.3
"TOTAL";"THS";"F";"PT";"DEA5";386.3
"TOTAL";"THS";"F";"PT";"DEB";463.1
"TOTAL";"THS";"F";"PT";"DEB1";165.7
"TOTAL";"THS";"F";"PT";"DEB2";66.9
"TOTAL";"THS";"F";"PT";"DEB3";230.6
"TOTAL";"THS";"F";"PT";"DEC";98.5
"TOTAL";"THS";"F";"PT";"DEC0";98.5
"TOTAL";"THS";"F";"PT";"DED";368
"TOTAL";"THS";"F";"PT";"DED2";146.4
"TOTAL";"THS";"F";"PT";"DED4";135.1
"TOTAL";"THS";"F";"PT";"DED5";86.5
"TOTAL";"THS";"F";"PT";"DEE";186.4
"TOTAL";"THS";"F";"PT";"DEE0";186.4
"TOTAL";"THS";"F";"PT";"DEF";316.5
"TOTAL";"THS";"F";"PT";"DEF0";316.5
"TOTAL";"THS";"F";"PT";"DEG";193.2
"TOTAL";"THS";"F";"PT";"DEG0";193.2
