"sex";"age";"unit";"geo";"X2014"
"T";"TOTAL";"PC_Y_LT60";"LT";8.7
"T";"TOTAL";"PC_Y_LT60";"LU";6.1
"T";"TOTAL";"PC_Y_LT60";"LV";9.6
"T";"TOTAL";"PC_Y_LT60";"MT";9.8
"T";"TOTAL";"PC_Y_LT60";"NL";10.1
"T";"TOTAL";"PC_Y_LT60";"NL1";13.1
"T";"TOTAL";"PC_Y_LT60";"NL2";9.5
"T";"TOTAL";"PC_Y_LT60";"NL3";10.4
"T";"TOTAL";"PC_Y_LT60";"NL4";8.3
"T";"TOTAL";"PC_Y_LT60";"PL";7.3
"T";"TOTAL";"PC_Y_LT60";"PL1";6.5
"T";"TOTAL";"PC_Y_LT60";"PL2";6.5
"T";"TOTAL";"PC_Y_LT60";"PL3";7.1
"T";"TOTAL";"PC_Y_LT60";"PL4";7
"T";"TOTAL";"PC_Y_LT60";"PL5";7.2
"T";"TOTAL";"PC_Y_LT60";"PL6";10
"T";"TOTAL";"PC_Y_LT60";"PT";12.1
"T";"TOTAL";"PC_Y_LT60";"RO";7.2
"T";"TOTAL";"PC_Y_LT60";"RO1";6.9
"T";"TOTAL";"PC_Y_LT60";"RO11";6
"T";"TOTAL";"PC_Y_LT60";"RO12";7.9
"T";"TOTAL";"PC_Y_LT60";"RO2";6.4
"T";"TOTAL";"PC_Y_LT60";"RO21";3.7
"T";"TOTAL";"PC_Y_LT60";"RO22";9.8
"T";"TOTAL";"PC_Y_LT60";"RO3";6.6
"T";"TOTAL";"PC_Y_LT60";"RO31";7.4
"T";"TOTAL";"PC_Y_LT60";"RO32";5.5
"T";"TOTAL";"PC_Y_LT60";"RO4";9.6
"T";"TOTAL";"PC_Y_LT60";"RO41";7.3
"T";"TOTAL";"PC_Y_LT60";"RO42";12
"T";"TOTAL";"PC_Y_LT60";"SE";6.2
"T";"TOTAL";"PC_Y_LT60";"SE1";5.5
"T";"TOTAL";"PC_Y_LT60";"SE11";5.7
"T";"TOTAL";"PC_Y_LT60";"SE12";5.4
"T";"TOTAL";"PC_Y_LT60";"SE2";6.4
"T";"TOTAL";"PC_Y_LT60";"SE21";4.7
"T";"TOTAL";"PC_Y_LT60";"SE22";6
"T";"TOTAL";"PC_Y_LT60";"SE23";7.2
"T";"TOTAL";"PC_Y_LT60";"SE3";7.5
"T";"TOTAL";"PC_Y_LT60";"SE31";8.6
"T";"TOTAL";"PC_Y_LT60";"SE32";8.1
"T";"TOTAL";"PC_Y_LT60";"SE33";5.6
"T";"TOTAL";"PC_Y_LT60";"SI";8.7
"T";"TOTAL";"PC_Y_LT60";"SK";7.1
"T";"TOTAL";"PC_Y_LT60";"SK01";1.9
"T";"TOTAL";"PC_Y_LT60";"SK02";4.8
"T";"TOTAL";"PC_Y_LT60";"SK03";9.3
"T";"TOTAL";"PC_Y_LT60";"SK04";9.8
"T";"TOTAL";"PC_Y_LT60";"UK";12.2
