"sex";"age";"unit";"geo";"X2014"
"T";"TOTAL";"PCH_PRE";"FR53";0.8
"T";"TOTAL";"PCH_PRE";"FR6";0.8
"T";"TOTAL";"PCH_PRE";"FR61";-0.1
"T";"TOTAL";"PCH_PRE";"FR62";1.8
"T";"TOTAL";"PCH_PRE";"FR63";1
"T";"TOTAL";"PCH_PRE";"FR7";0.8
"T";"TOTAL";"PCH_PRE";"FR71";1
"T";"TOTAL";"PCH_PRE";"FR72";-0.1
"T";"TOTAL";"PCH_PRE";"FR8";1
"T";"TOTAL";"PCH_PRE";"FR81";1.2
"T";"TOTAL";"PCH_PRE";"FR82";0.9
"T";"TOTAL";"PCH_PRE";"FR83";2.6
"T";"TOTAL";"PCH_PRE";"FRA";3.4
"T";"TOTAL";"PCH_PRE";"FRA1";1.8
"T";"TOTAL";"PCH_PRE";"FRA2";2.6
"T";"TOTAL";"PCH_PRE";"FRA3";8.7
"T";"TOTAL";"PCH_PRE";"FRA4";2.9
"T";"TOTAL";"PCH_PRE";"FRA5";8.7
"T";"TOTAL";"PCH_PRE";"HR";-0.1
"T";"TOTAL";"PCH_PRE";"HR0";-0.1
"T";"TOTAL";"PCH_PRE";"HU";3.8
"T";"TOTAL";"PCH_PRE";"IE";5.5
"T";"TOTAL";"PCH_PRE";"IE0";5.5
"T";"TOTAL";"PCH_PRE";"IT";-0.2
"T";"TOTAL";"PCH_PRE";"LT";3
"T";"TOTAL";"PCH_PRE";"LT0";3
"T";"TOTAL";"PCH_PRE";"LT00";3
"T";"TOTAL";"PCH_PRE";"LU";3.6
"T";"TOTAL";"PCH_PRE";"LU0";3.6
"T";"TOTAL";"PCH_PRE";"LU00";3.6
"T";"TOTAL";"PCH_PRE";"LV";2.1
"T";"TOTAL";"PCH_PRE";"LV0";2.1
"T";"TOTAL";"PCH_PRE";"LV00";2.1
"T";"TOTAL";"PCH_PRE";"NL";1
"T";"TOTAL";"PCH_PRE";"NL1";-4.5
"T";"TOTAL";"PCH_PRE";"NL11";-8.9
"T";"TOTAL";"PCH_PRE";"NL12";-0.4
"T";"TOTAL";"PCH_PRE";"NL13";0.7
"T";"TOTAL";"PCH_PRE";"NL2";1.5
"T";"TOTAL";"PCH_PRE";"NL21";1.4
"T";"TOTAL";"PCH_PRE";"NL22";1.5
"T";"TOTAL";"PCH_PRE";"NL23";2.2
"T";"TOTAL";"PCH_PRE";"NL3";1.6
"T";"TOTAL";"PCH_PRE";"NL31";2
"T";"TOTAL";"PCH_PRE";"NL32";1.5
"T";"TOTAL";"PCH_PRE";"NL33";1.7
"T";"TOTAL";"PCH_PRE";"NL34";0.7
"T";"TOTAL";"PCH_PRE";"NL4";1.7
"T";"TOTAL";"PCH_PRE";"NL41";1.9
"T";"TOTAL";"PCH_PRE";"NL42";1.3
"T";"TOTAL";"PCH_PRE";"PL";NA
"T";"TOTAL";"PCH_PRE";"PL1";NA
"T";"TOTAL";"PCH_PRE";"PL11";NA
"T";"TOTAL";"PCH_PRE";"PL12";NA
"T";"TOTAL";"PCH_PRE";"PL2";NA
"T";"TOTAL";"PCH_PRE";"PL21";NA
"T";"TOTAL";"PCH_PRE";"PL22";NA
"T";"TOTAL";"PCH_PRE";"PL3";NA
"T";"TOTAL";"PCH_PRE";"PL31";NA
"T";"TOTAL";"PCH_PRE";"PL32";NA
"T";"TOTAL";"PCH_PRE";"PL33";NA
"T";"TOTAL";"PCH_PRE";"PL34";NA
"T";"TOTAL";"PCH_PRE";"PL4";NA
"T";"TOTAL";"PCH_PRE";"PL41";NA
"T";"TOTAL";"PCH_PRE";"PL42";NA
"T";"TOTAL";"PCH_PRE";"PL43";NA
"T";"TOTAL";"PCH_PRE";"PL5";NA
"T";"TOTAL";"PCH_PRE";"PL51";NA
"T";"TOTAL";"PCH_PRE";"PL52";NA
"T";"TOTAL";"PCH_PRE";"PL6";NA
"T";"TOTAL";"PCH_PRE";"PL61";NA
"T";"TOTAL";"PCH_PRE";"PL62";NA
