"sex";"unit";"nace_r2";"age";"geo";"X2014"
"T";"THS";"A";"Y15-24";"AT";16.8
"T";"THS";"A";"Y15-24";"AT1";5.2
"T";"THS";"A";"Y15-24";"AT11";NA
"T";"THS";"A";"Y15-24";"AT12";3.9
"T";"THS";"A";"Y15-24";"AT13";NA
"T";"THS";"A";"Y15-24";"AT2";4.3
"T";"THS";"A";"Y15-24";"AT21";NA
"T";"THS";"A";"Y15-24";"AT22";3.3
"T";"THS";"A";"Y15-24";"AT3";7.3
"T";"THS";"A";"Y15-24";"AT31";4.6
"T";"THS";"A";"Y15-24";"AT32";NA
"T";"THS";"A";"Y15-24";"AT33";NA
"T";"THS";"A";"Y15-24";"AT34";NA
"T";"THS";"A";"Y15-24";"BE";3.1
"T";"THS";"A";"Y15-24";"BE1";NA
"T";"THS";"A";"Y15-24";"BE10";NA
"T";"THS";"A";"Y15-24";"BE2";NA
"T";"THS";"A";"Y15-24";"BE21";NA
"T";"THS";"A";"Y15-24";"BE22";NA
"T";"THS";"A";"Y15-24";"BE23";NA
"T";"THS";"A";"Y15-24";"BE24";NA
"T";"THS";"A";"Y15-24";"BE25";NA
"T";"THS";"A";"Y15-24";"BE3";NA
"T";"THS";"A";"Y15-24";"BE31";NA
"T";"THS";"A";"Y15-24";"BE32";NA
"T";"THS";"A";"Y15-24";"BE33";NA
"T";"THS";"A";"Y15-24";"BE34";NA
"T";"THS";"A";"Y15-24";"BE35";NA
"T";"THS";"A";"Y15-24";"BG";12.4
"T";"THS";"A";"Y15-24";"BG3";6.6
"T";"THS";"A";"Y15-24";"BG31";NA
"T";"THS";"A";"Y15-24";"BG32";NA
"T";"THS";"A";"Y15-24";"BG33";NA
"T";"THS";"A";"Y15-24";"BG34";NA
"T";"THS";"A";"Y15-24";"BG4";5.8
"T";"THS";"A";"Y15-24";"BG41";NA
"T";"THS";"A";"Y15-24";"BG42";4.4
"T";"THS";"A";"Y15-24";"CY";1.6
"T";"THS";"A";"Y15-24";"CY0";1.6
"T";"THS";"A";"Y15-24";"CY00";1.6
"T";"THS";"A";"Y15-24";"CZ";7.7
"T";"THS";"A";"Y15-24";"CZ0";7.7
"T";"THS";"A";"Y15-24";"CZ01";NA
"T";"THS";"A";"Y15-24";"CZ02";0.7
"T";"THS";"A";"Y15-24";"CZ03";1
"T";"THS";"A";"Y15-24";"CZ04";0.9
"T";"THS";"A";"Y15-24";"CZ05";1.7
"T";"THS";"A";"Y15-24";"CZ06";2
"T";"THS";"A";"Y15-24";"CZ07";NA
"T";"THS";"A";"Y15-24";"CZ08";0.8
"T";"THS";"A";"Y15-24";"DE";47.3
"T";"THS";"A";"Y15-24";"DE1";NA
"T";"THS";"A";"Y15-24";"DE11";NA
"T";"THS";"A";"Y15-24";"DE12";NA
"T";"THS";"A";"Y15-24";"DE13";NA
"T";"THS";"A";"Y15-24";"DE14";NA
"T";"THS";"A";"Y15-24";"DE2";6.4
"T";"THS";"A";"Y15-24";"DE21";NA
"T";"THS";"A";"Y15-24";"DE22";NA
"T";"THS";"A";"Y15-24";"DE23";NA
"T";"THS";"A";"Y15-24";"DE24";NA
"T";"THS";"A";"Y15-24";"DE25";NA
"T";"THS";"A";"Y15-24";"DE26";NA
"T";"THS";"A";"Y15-24";"DE27";NA
"T";"THS";"A";"Y15-24";"DE3";NA
"T";"THS";"A";"Y15-24";"DE30";NA
"T";"THS";"A";"Y15-24";"DE4";NA
"T";"THS";"A";"Y15-24";"DE40";NA
"T";"THS";"A";"Y15-24";"DE5";NA
"T";"THS";"A";"Y15-24";"DE50";NA
"T";"THS";"A";"Y15-24";"DE6";NA
"T";"THS";"A";"Y15-24";"DE60";NA
"T";"THS";"A";"Y15-24";"DE7";NA
"T";"THS";"A";"Y15-24";"DE71";NA
"T";"THS";"A";"Y15-24";"DE72";NA
"T";"THS";"A";"Y15-24";"DE73";NA
"T";"THS";"A";"Y15-24";"DE8";NA
"T";"THS";"A";"Y15-24";"DE80";NA
"T";"THS";"A";"Y15-24";"DE9";8.8
"T";"THS";"A";"Y15-24";"DE91";NA
"T";"THS";"A";"Y15-24";"DE92";NA
"T";"THS";"A";"Y15-24";"DE93";NA
"T";"THS";"A";"Y15-24";"DE94";NA
"T";"THS";"A";"Y15-24";"DEA";9.1
"T";"THS";"A";"Y15-24";"DEA1";NA
"T";"THS";"A";"Y15-24";"DEA2";NA
"T";"THS";"A";"Y15-24";"DEA3";NA
"T";"THS";"A";"Y15-24";"DEA4";NA
"T";"THS";"A";"Y15-24";"DEA5";NA
"T";"THS";"A";"Y15-24";"DEB";NA
"T";"THS";"A";"Y15-24";"DEB1";NA
"T";"THS";"A";"Y15-24";"DEB2";NA
"T";"THS";"A";"Y15-24";"DEB3";NA
"T";"THS";"A";"Y15-24";"DEC";NA
"T";"THS";"A";"Y15-24";"DEC0";NA
"T";"THS";"A";"Y15-24";"DED";NA
"T";"THS";"A";"Y15-24";"DED2";NA
"T";"THS";"A";"Y15-24";"DED4";NA
"T";"THS";"A";"Y15-24";"DED5";NA
"T";"THS";"A";"Y15-24";"DEE";NA
"T";"THS";"A";"Y15-24";"DEE0";NA
"T";"THS";"A";"Y15-24";"DEF";NA
"T";"THS";"A";"Y15-24";"DEF0";NA
"T";"THS";"A";"Y15-24";"DEG";NA
"T";"THS";"A";"Y15-24";"DEG0";NA
"T";"THS";"A";"Y15-24";"DK";9
"T";"THS";"A";"Y15-24";"DK0";9
"T";"THS";"A";"Y15-24";"DK01";NA
"T";"THS";"A";"Y15-24";"DK02";NA
"T";"THS";"A";"Y15-24";"DK03";2.6
"T";"THS";"A";"Y15-24";"DK04";3
"T";"THS";"A";"Y15-24";"DK05";2.1
"T";"THS";"A";"Y15-24";"EE";2.2
"T";"THS";"A";"Y15-24";"EE0";2.2
"T";"THS";"A";"Y15-24";"EE00";2.2
"T";"THS";"A";"Y15-24";"EL";18
"T";"THS";"A";"Y15-24";"EL3";NA
"T";"THS";"A";"Y15-24";"EL30";NA
"T";"THS";"A";"Y15-24";"EL4";2.7
"T";"THS";"A";"Y15-24";"EL41";NA
"T";"THS";"A";"Y15-24";"EL42";NA
"T";"THS";"A";"Y15-24";"EL43";1.3
"T";"THS";"A";"Y15-24";"EL5";8.6
"T";"THS";"A";"Y15-24";"EL51";3.7
"T";"THS";"A";"Y15-24";"EL52";3.5
"T";"THS";"A";"Y15-24";"EL53";NA
"T";"THS";"A";"Y15-24";"EL54";NA
"T";"THS";"A";"Y15-24";"EL6";6.2
"T";"THS";"A";"Y15-24";"EL61";NA
"T";"THS";"A";"Y15-24";"EL62";NA
"T";"THS";"A";"Y15-24";"EL63";1.6
"T";"THS";"A";"Y15-24";"EL64";NA
"T";"THS";"A";"Y15-24";"EL65";2.4
"T";"THS";"A";"Y15-24";"ES";41.4
"T";"THS";"A";"Y15-24";"ES1";2.9
"T";"THS";"A";"Y15-24";"ES11";1.9
"T";"THS";"A";"Y15-24";"ES12";NA
"T";"THS";"A";"Y15-24";"ES13";NA
"T";"THS";"A";"Y15-24";"ES2";2.4
"T";"THS";"A";"Y15-24";"ES21";NA
"T";"THS";"A";"Y15-24";"ES22";NA
"T";"THS";"A";"Y15-24";"ES23";NA
"T";"THS";"A";"Y15-24";"ES24";1.1
"T";"THS";"A";"Y15-24";"ES3";NA
"T";"THS";"A";"Y15-24";"ES30";NA
"T";"THS";"A";"Y15-24";"ES4";7.4
"T";"THS";"A";"Y15-24";"ES41";2.8
"T";"THS";"A";"Y15-24";"ES42";2.3
"T";"THS";"A";"Y15-24";"ES43";2.3
"T";"THS";"A";"Y15-24";"ES5";4.9
"T";"THS";"A";"Y15-24";"ES51";2.2
"T";"THS";"A";"Y15-24";"ES52";2.2
"T";"THS";"A";"Y15-24";"ES53";NA
"T";"THS";"A";"Y15-24";"ES6";21.9
"T";"THS";"A";"Y15-24";"ES61";18.9
"T";"THS";"A";"Y15-24";"ES62";3.1
"T";"THS";"A";"Y15-24";"ES7";1
"T";"THS";"A";"Y15-24";"ES70";1
"T";"THS";"A";"Y15-24";"FI";9.2
"T";"THS";"A";"Y15-24";"FI1";9.2
"T";"THS";"A";"Y15-24";"FI19";2.8
"T";"THS";"A";"Y15-24";"FI1B";NA
"T";"THS";"A";"Y15-24";"FI1C";NA
"T";"THS";"A";"Y15-24";"FI1D";4.3
"T";"THS";"A";"Y15-24";"FI2";NA
"T";"THS";"A";"Y15-24";"FI20";NA
"T";"THS";"A";"Y15-24";"FR";45.8
"T";"THS";"A";"Y15-24";"FR1";NA
"T";"THS";"A";"Y15-24";"FR10";NA
"T";"THS";"A";"Y15-24";"FR2";14.1
"T";"THS";"A";"Y15-24";"FR21";NA
"T";"THS";"A";"Y15-24";"FR22";NA
"T";"THS";"A";"Y15-24";"FR23";NA
"T";"THS";"A";"Y15-24";"FR24";NA
"T";"THS";"A";"Y15-24";"FR25";NA
"T";"THS";"A";"Y15-24";"FR26";NA
"T";"THS";"A";"Y15-24";"FR3";NA
"T";"THS";"A";"Y15-24";"FR30";NA
"T";"THS";"A";"Y15-24";"FR4";NA
"T";"THS";"A";"Y15-24";"FR41";NA
"T";"THS";"A";"Y15-24";"FR42";NA
"T";"THS";"A";"Y15-24";"FR43";NA
"T";"THS";"A";"Y15-24";"FR5";7.6
"T";"THS";"A";"Y15-24";"FR51";NA
"T";"THS";"A";"Y15-24";"FR52";NA
"T";"THS";"A";"Y15-24";"FR53";NA
"T";"THS";"A";"Y15-24";"FR6";NA
"T";"THS";"A";"Y15-24";"FR61";NA
"T";"THS";"A";"Y15-24";"FR62";NA
"T";"THS";"A";"Y15-24";"FR63";NA
"T";"THS";"A";"Y15-24";"FR7";NA
"T";"THS";"A";"Y15-24";"FR71";NA
"T";"THS";"A";"Y15-24";"FR72";NA
"T";"THS";"A";"Y15-24";"FR8";NA
"T";"THS";"A";"Y15-24";"FR81";NA
"T";"THS";"A";"Y15-24";"FR82";NA
"T";"THS";"A";"Y15-24";"FR83";NA
"T";"THS";"A";"Y15-24";"FRA";NA
"T";"THS";"A";"Y15-24";"FRA1";NA
"T";"THS";"A";"Y15-24";"FRA2";NA
"T";"THS";"A";"Y15-24";"FRA3";NA
"T";"THS";"A";"Y15-24";"FRA4";NA
"T";"THS";"A";"Y15-24";"HR";7.1
"T";"THS";"A";"Y15-24";"HR0";7.1
"T";"THS";"A";"Y15-24";"HR03";1.1
"T";"THS";"A";"Y15-24";"HR04";6
"T";"THS";"A";"Y15-24";"HU";11.7
"T";"THS";"A";"Y15-24";"HU1";NA
"T";"THS";"A";"Y15-24";"HU10";NA
"T";"THS";"A";"Y15-24";"HU2";3.8
"T";"THS";"A";"Y15-24";"HU21";NA
"T";"THS";"A";"Y15-24";"HU22";NA
"T";"THS";"A";"Y15-24";"HU23";NA
"T";"THS";"A";"Y15-24";"HU3";7.2
"T";"THS";"A";"Y15-24";"HU31";NA
"T";"THS";"A";"Y15-24";"HU32";2.7
"T";"THS";"A";"Y15-24";"HU33";3.1
"T";"THS";"A";"Y15-24";"IE";5.3
"T";"THS";"A";"Y15-24";"IE0";5.3
"T";"THS";"A";"Y15-24";"IE01";NA
"T";"THS";"A";"Y15-24";"IE02";3.4
"T";"THS";"A";"Y15-24";"IT";31.8
"T";"THS";"A";"Y15-24";"ITC";4.9
"T";"THS";"A";"Y15-24";"ITC1";NA
"T";"THS";"A";"Y15-24";"ITC2";NA
"T";"THS";"A";"Y15-24";"ITC3";NA
"T";"THS";"A";"Y15-24";"ITC4";3.2
"T";"THS";"A";"Y15-24";"ITF";8
"T";"THS";"A";"Y15-24";"ITF1";NA
"T";"THS";"A";"Y15-24";"ITF2";NA
"T";"THS";"A";"Y15-24";"ITF3";NA
"T";"THS";"A";"Y15-24";"ITF4";3.9
"T";"THS";"A";"Y15-24";"ITF5";NA
"T";"THS";"A";"Y15-24";"ITF6";1.6
"T";"THS";"A";"Y15-24";"ITG";7.3
"T";"THS";"A";"Y15-24";"ITG1";4.8
"T";"THS";"A";"Y15-24";"ITG2";2.4
"T";"THS";"A";"Y15-24";"ITH";5.7
"T";"THS";"A";"Y15-24";"ITH1";NA
"T";"THS";"A";"Y15-24";"ITH2";NA
"T";"THS";"A";"Y15-24";"ITH3";NA
"T";"THS";"A";"Y15-24";"ITH4";NA
"T";"THS";"A";"Y15-24";"ITH5";2.4
"T";"THS";"A";"Y15-24";"ITI";6
"T";"THS";"A";"Y15-24";"ITI1";2.8
"T";"THS";"A";"Y15-24";"ITI2";NA
"T";"THS";"A";"Y15-24";"ITI3";NA
"T";"THS";"A";"Y15-24";"ITI4";NA
"T";"THS";"A";"Y15-24";"LT";8.8
"T";"THS";"A";"Y15-24";"LT0";8.8
"T";"THS";"A";"Y15-24";"LT00";8.8
"T";"THS";"A";"Y15-24";"LU";NA
"T";"THS";"A";"Y15-24";"LU0";NA
"T";"THS";"A";"Y15-24";"LU00";NA
"T";"THS";"A";"Y15-24";"LV";4.7
"T";"THS";"A";"Y15-24";"LV0";4.7
"T";"THS";"A";"Y15-24";"LV00";4.7
"T";"THS";"A";"Y15-24";"MT";NA
"T";"THS";"A";"Y15-24";"MT0";NA
"T";"THS";"A";"Y15-24";"MT00";NA
"T";"THS";"A";"Y15-24";"NL";28.8
"T";"THS";"A";"Y15-24";"NL1";1.8
"T";"THS";"A";"Y15-24";"NL11";NA
"T";"THS";"A";"Y15-24";"NL12";NA
"T";"THS";"A";"Y15-24";"NL13";NA
"T";"THS";"A";"Y15-24";"NL2";5.6
"T";"THS";"A";"Y15-24";"NL21";NA
"T";"THS";"A";"Y15-24";"NL22";3.5
"T";"THS";"A";"Y15-24";"NL23";NA
"T";"THS";"A";"Y15-24";"NL3";13.8
"T";"THS";"A";"Y15-24";"NL31";NA
"T";"THS";"A";"Y15-24";"NL32";4.7
"T";"THS";"A";"Y15-24";"NL33";7.7
"T";"THS";"A";"Y15-24";"NL34";NA
"T";"THS";"A";"Y15-24";"NL4";7.6
"T";"THS";"A";"Y15-24";"NL41";4.4
"T";"THS";"A";"Y15-24";"NL42";3.2
"T";"THS";"A";"Y15-24";"PL";96.9
"T";"THS";"A";"Y15-24";"PL1";28.7
"T";"THS";"A";"Y15-24";"PL11";9.7
"T";"THS";"A";"Y15-24";"PL12";19
"T";"THS";"A";"Y15-24";"PL2";8
"T";"THS";"A";"Y15-24";"PL21";6.1
"T";"THS";"A";"Y15-24";"PL22";NA
"T";"THS";"A";"Y15-24";"PL3";33.5
"T";"THS";"A";"Y15-24";"PL31";9.9
"T";"THS";"A";"Y15-24";"PL32";NA
"T";"THS";"A";"Y15-24";"PL33";12.3
"T";"THS";"A";"Y15-24";"PL34";7.4
"T";"THS";"A";"Y15-24";"PL4";11.5
"T";"THS";"A";"Y15-24";"PL41";8.6
"T";"THS";"A";"Y15-24";"PL42";NA
"T";"THS";"A";"Y15-24";"PL43";NA
"T";"THS";"A";"Y15-24";"PL5";NA
"T";"THS";"A";"Y15-24";"PL51";NA
"T";"THS";"A";"Y15-24";"PL52";NA
"T";"THS";"A";"Y15-24";"PL6";11.1
"T";"THS";"A";"Y15-24";"PL61";NA
"T";"THS";"A";"Y15-24";"PL62";NA
"T";"THS";"A";"Y15-24";"PL63";NA
"T";"THS";"A";"Y15-24";"PT";10.7
"T";"THS";"A";"Y15-24";"PT1";9.3
"T";"THS";"A";"Y15-24";"PT11";NA
"T";"THS";"A";"Y15-24";"PT15";NA
"T";"THS";"A";"Y15-24";"PT16";NA
"T";"THS";"A";"Y15-24";"PT17";NA
"T";"THS";"A";"Y15-24";"PT18";NA
"T";"THS";"A";"Y15-24";"PT2";NA
"T";"THS";"A";"Y15-24";"PT20";NA
"T";"THS";"A";"Y15-24";"PT3";NA
"T";"THS";"A";"Y15-24";"PT30";NA
"T";"THS";"A";"Y15-24";"RO";211.3
"T";"THS";"A";"Y15-24";"RO1";41.2
"T";"THS";"A";"Y15-24";"RO11";28.3
"T";"THS";"A";"Y15-24";"RO12";12.9
"T";"THS";"A";"Y15-24";"RO2";102.9
"T";"THS";"A";"Y15-24";"RO21";79.3
"T";"THS";"A";"Y15-24";"RO22";23.6
"T";"THS";"A";"Y15-24";"RO3";24.6
"T";"THS";"A";"Y15-24";"RO31";24
"T";"THS";"A";"Y15-24";"RO32";NA
"T";"THS";"A";"Y15-24";"RO4";42.6
"T";"THS";"A";"Y15-24";"RO41";36.4
"T";"THS";"A";"Y15-24";"RO42";NA
"T";"THS";"A";"Y15-24";"SE";9.8
"T";"THS";"A";"Y15-24";"SE1";2
"T";"THS";"A";"Y15-24";"SE11";NA
"T";"THS";"A";"Y15-24";"SE12";1.5
"T";"THS";"A";"Y15-24";"SE2";5.2
"T";"THS";"A";"Y15-24";"SE21";1.4
"T";"THS";"A";"Y15-24";"SE22";1.9
"T";"THS";"A";"Y15-24";"SE23";1.9
"T";"THS";"A";"Y15-24";"SE3";2.6
"T";"THS";"A";"Y15-24";"SE31";NA
"T";"THS";"A";"Y15-24";"SE32";NA
"T";"THS";"A";"Y15-24";"SE33";1.1
"T";"THS";"A";"Y15-24";"SI";9.3
"T";"THS";"A";"Y15-24";"SI0";9.3
"T";"THS";"A";"Y15-24";"SI03";6.3
"T";"THS";"A";"Y15-24";"SI04";3
"T";"THS";"A";"Y15-24";"SK";3.3
"T";"THS";"A";"Y15-24";"SK0";3.3
"T";"THS";"A";"Y15-24";"SK01";NA
"T";"THS";"A";"Y15-24";"SK02";NA
"T";"THS";"A";"Y15-24";"SK03";NA
"T";"THS";"A";"Y15-24";"SK04";NA
"T";"THS";"A";"Y15-24";"UK";41.1
"T";"THS";"A";"Y15-24";"UKC";NA
"T";"THS";"A";"Y15-24";"UKC1";NA
"T";"THS";"A";"Y15-24";"UKC2";NA
"T";"THS";"A";"Y15-24";"UKD";NA
"T";"THS";"A";"Y15-24";"UKD1";NA
"T";"THS";"A";"Y15-24";"UKD3";NA
"T";"THS";"A";"Y15-24";"UKD4";NA
"T";"THS";"A";"Y15-24";"UKD6";NA
"T";"THS";"A";"Y15-24";"UKD7";NA
"T";"THS";"A";"Y15-24";"UKE";4.3
"T";"THS";"A";"Y15-24";"UKE1";NA
"T";"THS";"A";"Y15-24";"UKE2";NA
"T";"THS";"A";"Y15-24";"UKE3";NA
"T";"THS";"A";"Y15-24";"UKE4";NA
"T";"THS";"A";"Y15-24";"UKF";NA
"T";"THS";"A";"Y15-24";"UKF1";NA
"T";"THS";"A";"Y15-24";"UKF2";NA
"T";"THS";"A";"Y15-24";"UKF3";NA
"T";"THS";"A";"Y15-24";"UKG";4.2
"T";"THS";"A";"Y15-24";"UKG1";NA
"T";"THS";"A";"Y15-24";"UKG2";NA
"T";"THS";"A";"Y15-24";"UKG3";NA
"T";"THS";"A";"Y15-24";"UKH";5.7
"T";"THS";"A";"Y15-24";"UKH1";5.1
"T";"THS";"A";"Y15-24";"UKH2";NA
"T";"THS";"A";"Y15-24";"UKH3";NA
"T";"THS";"A";"Y15-24";"UKI";NA
"T";"THS";"A";"Y15-24";"UKI5";NA
"T";"THS";"A";"Y15-24";"UKI6";NA
"T";"THS";"A";"Y15-24";"UKI7";NA
"T";"THS";"A";"Y15-24";"UKJ";5.6
"T";"THS";"A";"Y15-24";"UKJ1";NA
"T";"THS";"A";"Y15-24";"UKJ2";NA
"T";"THS";"A";"Y15-24";"UKJ3";NA
"T";"THS";"A";"Y15-24";"UKJ4";NA
"T";"THS";"A";"Y15-24";"UKK";NA
"T";"THS";"A";"Y15-24";"UKK1";NA
"T";"THS";"A";"Y15-24";"UKK2";NA
"T";"THS";"A";"Y15-24";"UKK3";NA
"T";"THS";"A";"Y15-24";"UKK4";NA
"T";"THS";"A";"Y15-24";"UKL";NA
"T";"THS";"A";"Y15-24";"UKL1";NA
"T";"THS";"A";"Y15-24";"UKL2";NA
"T";"THS";"A";"Y15-24";"UKM";4.8
"T";"THS";"A";"Y15-24";"UKM2";NA
"T";"THS";"A";"Y15-24";"UKM3";NA
"T";"THS";"A";"Y15-24";"UKM5";NA
"T";"THS";"A";"Y15-24";"UKM6";NA
"T";"THS";"A";"Y15-24";"UKN";NA
"T";"THS";"A";"Y15-24";"UKN0";NA
"T";"THS";"A";"Y25-64";"AT";154.9
"T";"THS";"A";"Y25-64";"AT1";45
"T";"THS";"A";"Y25-64";"AT11";5.4
"T";"THS";"A";"Y25-64";"AT12";37.4
"T";"THS";"A";"Y25-64";"AT13";NA
"T";"THS";"A";"Y25-64";"AT2";48
"T";"THS";"A";"Y25-64";"AT21";13.8
"T";"THS";"A";"Y25-64";"AT22";34.2
"T";"THS";"A";"Y25-64";"AT3";62
"T";"THS";"A";"Y25-64";"AT31";38.3
"T";"THS";"A";"Y25-64";"AT32";9.1
"T";"THS";"A";"Y25-64";"AT33";11.6
"T";"THS";"A";"Y25-64";"AT34";NA
"T";"THS";"A";"Y25-64";"BE";47.9
"T";"THS";"A";"Y25-64";"BE1";NA
"T";"THS";"A";"Y25-64";"BE10";NA
"T";"THS";"A";"Y25-64";"BE2";30.6
"T";"THS";"A";"Y25-64";"BE21";4.2
"T";"THS";"A";"Y25-64";"BE22";5.7
"T";"THS";"A";"Y25-64";"BE23";8
"T";"THS";"A";"Y25-64";"BE24";3.2
"T";"THS";"A";"Y25-64";"BE25";9.6
"T";"THS";"A";"Y25-64";"BE3";16.5
"T";"THS";"A";"Y25-64";"BE31";NA
"T";"THS";"A";"Y25-64";"BE32";5.2
"T";"THS";"A";"Y25-64";"BE33";2.7
"T";"THS";"A";"Y25-64";"BE34";3.5
"T";"THS";"A";"Y25-64";"BE35";3.3
"T";"THS";"A";"Y25-64";"BG";188.9
"T";"THS";"A";"Y25-64";"BG3";109.3
"T";"THS";"A";"Y25-64";"BG31";23.4
"T";"THS";"A";"Y25-64";"BG32";27.5
"T";"THS";"A";"Y25-64";"BG33";31.8
"T";"THS";"A";"Y25-64";"BG34";26.6
"T";"THS";"A";"Y25-64";"BG4";79.5
"T";"THS";"A";"Y25-64";"BG41";23.2
"T";"THS";"A";"Y25-64";"BG42";56.3
"T";"THS";"A";"Y25-64";"CY";12.1
"T";"THS";"A";"Y25-64";"CY0";12.1
"T";"THS";"A";"Y25-64";"CY00";12.1
"T";"THS";"A";"Y25-64";"CZ";126.4
"T";"THS";"A";"Y25-64";"CZ0";126.4
"T";"THS";"A";"Y25-64";"CZ01";1.3
"T";"THS";"A";"Y25-64";"CZ02";14.6
"T";"THS";"A";"Y25-64";"CZ03";25.7
"T";"THS";"A";"Y25-64";"CZ04";8.8
"T";"THS";"A";"Y25-64";"CZ05";22.2
"T";"THS";"A";"Y25-64";"CZ06";28.7
"T";"THS";"A";"Y25-64";"CZ07";14.8
"T";"THS";"A";"Y25-64";"CZ08";10.2
"T";"THS";"A";"Y25-64";"DE";469.8
"T";"THS";"A";"Y25-64";"DE1";44.2
"T";"THS";"A";"Y25-64";"DE11";16.5
"T";"THS";"A";"Y25-64";"DE12";5.7
"T";"THS";"A";"Y25-64";"DE13";7.8
"T";"THS";"A";"Y25-64";"DE14";14.2
"T";"THS";"A";"Y25-64";"DE2";106.2
"T";"THS";"A";"Y25-64";"DE21";35
"T";"THS";"A";"Y25-64";"DE22";15.9
"T";"THS";"A";"Y25-64";"DE23";11.5
"T";"THS";"A";"Y25-64";"DE24";NA
"T";"THS";"A";"Y25-64";"DE25";11.1
"T";"THS";"A";"Y25-64";"DE26";7.2
"T";"THS";"A";"Y25-64";"DE27";20.8
"T";"THS";"A";"Y25-64";"DE3";NA
"T";"THS";"A";"Y25-64";"DE30";NA
"T";"THS";"A";"Y25-64";"DE4";21.7
"T";"THS";"A";"Y25-64";"DE40";21.7
"T";"THS";"A";"Y25-64";"DE5";NA
"T";"THS";"A";"Y25-64";"DE50";NA
"T";"THS";"A";"Y25-64";"DE6";NA
"T";"THS";"A";"Y25-64";"DE60";NA
"T";"THS";"A";"Y25-64";"DE7";22.3
"T";"THS";"A";"Y25-64";"DE71";9.8
"T";"THS";"A";"Y25-64";"DE72";5.1
"T";"THS";"A";"Y25-64";"DE73";7.4
"T";"THS";"A";"Y25-64";"DE8";19.1
"T";"THS";"A";"Y25-64";"DE80";19.1
"T";"THS";"A";"Y25-64";"DE9";77
"T";"THS";"A";"Y25-64";"DE91";8.7
"T";"THS";"A";"Y25-64";"DE92";9.6
"T";"THS";"A";"Y25-64";"DE93";26.3
"T";"THS";"A";"Y25-64";"DE94";32.4
"T";"THS";"A";"Y25-64";"DEA";61.1
"T";"THS";"A";"Y25-64";"DEA1";12.6
"T";"THS";"A";"Y25-64";"DEA2";14
"T";"THS";"A";"Y25-64";"DEA3";17.2
"T";"THS";"A";"Y25-64";"DEA4";10
"T";"THS";"A";"Y25-64";"DEA5";7.4
"T";"THS";"A";"Y25-64";"DEB";28.7
"T";"THS";"A";"Y25-64";"DEB1";7.4
"T";"THS";"A";"Y25-64";"DEB2";7.5
"T";"THS";"A";"Y25-64";"DEB3";13.8
"T";"THS";"A";"Y25-64";"DEC";NA
"T";"THS";"A";"Y25-64";"DEC0";NA
"T";"THS";"A";"Y25-64";"DED";21.8
"T";"THS";"A";"Y25-64";"DED2";8.1
"T";"THS";"A";"Y25-64";"DED4";6.7
"T";"THS";"A";"Y25-64";"DED5";7
"T";"THS";"A";"Y25-64";"DEE";15.2
"T";"THS";"A";"Y25-64";"DEE0";15.2
"T";"THS";"A";"Y25-64";"DEF";25.1
"T";"THS";"A";"Y25-64";"DEF0";25.1
"T";"THS";"A";"Y25-64";"DEG";18.2
"T";"THS";"A";"Y25-64";"DEG0";18.2
"T";"THS";"A";"Y25-64";"DK";52
"T";"THS";"A";"Y25-64";"DK0";52
"T";"THS";"A";"Y25-64";"DK01";2.7
"T";"THS";"A";"Y25-64";"DK02";8.2
"T";"THS";"A";"Y25-64";"DK03";15.8
"T";"THS";"A";"Y25-64";"DK04";15.6
"T";"THS";"A";"Y25-64";"DK05";9.6
"T";"THS";"A";"Y25-64";"EE";20.9
"T";"THS";"A";"Y25-64";"EE0";20.9
"T";"THS";"A";"Y25-64";"EE00";20.9
"T";"THS";"A";"Y25-64";"EL";435.9
"T";"THS";"A";"Y25-64";"EL3";8.9
"T";"THS";"A";"Y25-64";"EL30";8.9
"T";"THS";"A";"Y25-64";"EL4";49.2
"T";"THS";"A";"Y25-64";"EL41";8
"T";"THS";"A";"Y25-64";"EL42";9.2
"T";"THS";"A";"Y25-64";"EL43";31.9
"T";"THS";"A";"Y25-64";"EL5";169.1
"T";"THS";"A";"Y25-64";"EL51";52.3
"T";"THS";"A";"Y25-64";"EL52";81.7
"T";"THS";"A";"Y25-64";"EL53";13.9
"T";"THS";"A";"Y25-64";"EL54";21.1
"T";"THS";"A";"Y25-64";"EL6";208.7
"T";"THS";"A";"Y25-64";"EL61";53.2
"T";"THS";"A";"Y25-64";"EL62";11.2
"T";"THS";"A";"Y25-64";"EL63";48.2
"T";"THS";"A";"Y25-64";"EL64";38.5
"T";"THS";"A";"Y25-64";"EL65";57.6
"T";"THS";"A";"Y25-64";"ES";683.6
"T";"THS";"A";"Y25-64";"ES1";84.5
"T";"THS";"A";"Y25-64";"ES11";63.2
"T";"THS";"A";"Y25-64";"ES12";14.9
"T";"THS";"A";"Y25-64";"ES13";6.4
"T";"THS";"A";"Y25-64";"ES2";55.9
"T";"THS";"A";"Y25-64";"ES21";11.8
"T";"THS";"A";"Y25-64";"ES22";11.9
"T";"THS";"A";"Y25-64";"ES23";6.3
"T";"THS";"A";"Y25-64";"ES24";25.9
"T";"THS";"A";"Y25-64";"ES3";11.3
"T";"THS";"A";"Y25-64";"ES30";11.3
"T";"THS";"A";"Y25-64";"ES4";144.2
"T";"THS";"A";"Y25-64";"ES41";60.6
"T";"THS";"A";"Y25-64";"ES42";47.6
"T";"THS";"A";"Y25-64";"ES43";36
