"sex";"age";"unit";"isco08";"isced11";"mgstatus";"geo";"X2014"
"T";"TOTAL";"THS_PER";"OC7";"ED3_4";"TOTAL";"CY";16
"T";"TOTAL";"THS_PER";"OC7";"ED5-8";"IMG";"CY";0.9
"T";"TOTAL";"THS_PER";"OC7";"ED5-8";"TOTAL";"CY";2.3
"T";"TOTAL";"THS_PER";"OC7";"TOTAL";"IMG";"CY";8.6
"T";"TOTAL";"THS_PER";"OC7";"TOTAL";"TOTAL";"CY";26.3
"T";"TOTAL";"THS_PER";"OC8";"ED0-2";"IMG";"CY";0.8
"T";"TOTAL";"THS_PER";"OC8";"ED0-2";"TOTAL";"CY";3.8
"T";"TOTAL";"THS_PER";"OC8";"ED3_4";"IMG";"CY";2.1
"T";"TOTAL";"THS_PER";"OC8";"ED3_4";"TOTAL";"CY";7.4
"T";"TOTAL";"THS_PER";"OC8";"ED5-8";"IMG";"CY";NA
"T";"TOTAL";"THS_PER";"OC8";"ED5-8";"TOTAL";"CY";1
"T";"TOTAL";"THS_PER";"OC8";"TOTAL";"IMG";"CY";3.1
"T";"TOTAL";"THS_PER";"OC8";"TOTAL";"TOTAL";"CY";12.2
"T";"TOTAL";"THS_PER";"OC9";"ED0-2";"IMG";"CY";15.5
"T";"TOTAL";"THS_PER";"OC9";"ED0-2";"TOTAL";"CY";25
"T";"TOTAL";"THS_PER";"OC9";"ED3_4";"IMG";"CY";13.3
"T";"TOTAL";"THS_PER";"OC9";"ED3_4";"TOTAL";"CY";22.6
"T";"TOTAL";"THS_PER";"OC9";"ED5-8";"IMG";"CY";5.5
"T";"TOTAL";"THS_PER";"OC9";"ED5-8";"TOTAL";"CY";6.5
"T";"TOTAL";"THS_PER";"OC9";"TOTAL";"IMG";"CY";34.3
"T";"TOTAL";"THS_PER";"OC9";"TOTAL";"TOTAL";"CY";54.1
"T";"TOTAL";"THS_PER";"TOTAL";"ED0-2";"IMG";"CY";21.6
"T";"TOTAL";"THS_PER";"TOTAL";"ED0-2";"TOTAL";"CY";47.1
"T";"TOTAL";"THS_PER";"TOTAL";"ED3_4";"IMG";"CY";32
"T";"TOTAL";"THS_PER";"TOTAL";"ED3_4";"TOTAL";"CY";113.1
"T";"TOTAL";"THS_PER";"TOTAL";"ED5-8";"IMG";"CY";32.3
"T";"TOTAL";"THS_PER";"TOTAL";"ED5-8";"TOTAL";"CY";135.2
"T";"TOTAL";"THS_PER";"TOTAL";"TOTAL";"IMG";"CY";85.9
"T";"TOTAL";"THS_PER";"TOTAL";"TOTAL";"TOTAL";"CY";295.4
"T";"TOTAL";"THS_PER";"OC0";"ED0-2";"IMG";"CZ";NA
"T";"TOTAL";"THS_PER";"OC0";"ED0-2";"TOTAL";"CZ";NA
"T";"TOTAL";"THS_PER";"OC0";"ED3_4";"IMG";"CZ";1.2
"T";"TOTAL";"THS_PER";"OC0";"ED3_4";"TOTAL";"CZ";11.4
"T";"TOTAL";"THS_PER";"OC0";"ED5-8";"IMG";"CZ";NA
"T";"TOTAL";"THS_PER";"OC0";"ED5-8";"TOTAL";"CZ";5.6
"T";"TOTAL";"THS_PER";"OC0";"TOTAL";"IMG";"CZ";1.8
"T";"TOTAL";"THS_PER";"OC0";"TOTAL";"TOTAL";"CZ";17.1
"T";"TOTAL";"THS_PER";"OC1";"ED0-2";"IMG";"CZ";NA
"T";"TOTAL";"THS_PER";"OC1";"ED0-2";"TOTAL";"CZ";NA
"T";"TOTAL";"THS_PER";"OC1";"ED3_4";"IMG";"CZ";3.1
"T";"TOTAL";"THS_PER";"OC1";"ED3_4";"TOTAL";"CZ";63.6
"T";"TOTAL";"THS_PER";"OC1";"ED5-8";"IMG";"CZ";12.5
"T";"TOTAL";"THS_PER";"OC1";"ED5-8";"TOTAL";"CZ";125
"T";"TOTAL";"THS_PER";"OC1";"TOTAL";"IMG";"CZ";15.6
"T";"TOTAL";"THS_PER";"OC1";"TOTAL";"TOTAL";"CZ";189.7
"T";"TOTAL";"THS_PER";"OC2";"ED0-2";"IMG";"CZ";NA
"T";"TOTAL";"THS_PER";"OC2";"ED0-2";"TOTAL";"CZ";NA
"T";"TOTAL";"THS_PER";"OC2";"ED3_4";"IMG";"CZ";6.4
"T";"TOTAL";"THS_PER";"OC2";"ED3_4";"TOTAL";"CZ";120.5
"T";"TOTAL";"THS_PER";"OC2";"ED5-8";"IMG";"CZ";36.1
"T";"TOTAL";"THS_PER";"OC2";"ED5-8";"TOTAL";"CZ";482.1
"T";"TOTAL";"THS_PER";"OC2";"TOTAL";"IMG";"CZ";42.5
"T";"TOTAL";"THS_PER";"OC2";"TOTAL";"TOTAL";"CZ";602.7
"T";"TOTAL";"THS_PER";"OC3";"ED0-2";"IMG";"CZ";NA
"T";"TOTAL";"THS_PER";"OC3";"ED0-2";"TOTAL";"CZ";4
"T";"TOTAL";"THS_PER";"OC3";"ED3_4";"IMG";"CZ";24.8
"T";"TOTAL";"THS_PER";"OC3";"ED3_4";"TOTAL";"CZ";499.3
"T";"TOTAL";"THS_PER";"OC3";"ED5-8";"IMG";"CZ";11.2
"T";"TOTAL";"THS_PER";"OC3";"ED5-8";"TOTAL";"CZ";199.4
"T";"TOTAL";"THS_PER";"OC3";"TOTAL";"IMG";"CZ";36.4
"T";"TOTAL";"THS_PER";"OC3";"TOTAL";"TOTAL";"CZ";703.1
"T";"TOTAL";"THS_PER";"OC4";"ED0-2";"IMG";"CZ";NA
"T";"TOTAL";"THS_PER";"OC4";"ED0-2";"TOTAL";"CZ";7.1
"T";"TOTAL";"THS_PER";"OC4";"ED3_4";"IMG";"CZ";17.8
"T";"TOTAL";"THS_PER";"OC4";"ED3_4";"TOTAL";"CZ";343.1
"T";"TOTAL";"THS_PER";"OC4";"ED5-8";"IMG";"CZ";3.3
"T";"TOTAL";"THS_PER";"OC4";"ED5-8";"TOTAL";"CZ";63.7
"T";"TOTAL";"THS_PER";"OC4";"TOTAL";"IMG";"CZ";22.1
"T";"TOTAL";"THS_PER";"OC4";"TOTAL";"TOTAL";"CZ";413.9
"T";"TOTAL";"THS_PER";"OC5";"ED0-2";"IMG";"CZ";4
"T";"TOTAL";"THS_PER";"OC5";"ED0-2";"TOTAL";"CZ";27.9
"T";"TOTAL";"THS_PER";"OC5";"ED3_4";"IMG";"CZ";34.3
"T";"TOTAL";"THS_PER";"OC5";"ED3_4";"TOTAL";"CZ";506.1
"T";"TOTAL";"THS_PER";"OC5";"ED5-8";"IMG";"CZ";3.9
"T";"TOTAL";"THS_PER";"OC5";"ED5-8";"TOTAL";"CZ";38.8
"T";"TOTAL";"THS_PER";"OC5";"TOTAL";"IMG";"CZ";42.1
"T";"TOTAL";"THS_PER";"OC5";"TOTAL";"TOTAL";"CZ";572.7
"T";"TOTAL";"THS_PER";"OC6";"ED0-2";"IMG";"CZ";NA
"T";"TOTAL";"THS_PER";"OC6";"ED0-2";"TOTAL";"CZ";4.9
"T";"TOTAL";"THS_PER";"OC6";"ED3_4";"IMG";"CZ";3
"T";"TOTAL";"THS_PER";"OC6";"ED3_4";"TOTAL";"CZ";30.5
"T";"TOTAL";"THS_PER";"OC6";"ED5-8";"IMG";"CZ";NA
"T";"TOTAL";"THS_PER";"OC6";"ED5-8";"TOTAL";"CZ";NA
"T";"TOTAL";"THS_PER";"OC6";"TOTAL";"IMG";"CZ";3.2
"T";"TOTAL";"THS_PER";"OC6";"TOTAL";"TOTAL";"CZ";35.9
"T";"TOTAL";"THS_PER";"OC7";"ED0-2";"IMG";"CZ";2.9
"T";"TOTAL";"THS_PER";"OC7";"ED0-2";"TOTAL";"CZ";26.6
"T";"TOTAL";"THS_PER";"OC7";"ED3_4";"IMG";"CZ";42.1
"T";"TOTAL";"THS_PER";"OC7";"ED3_4";"TOTAL";"CZ";578.6
"T";"TOTAL";"THS_PER";"OC7";"ED5-8";"IMG";"CZ";NA
"T";"TOTAL";"THS_PER";"OC7";"ED5-8";"TOTAL";"CZ";5.2
"T";"TOTAL";"THS_PER";"OC7";"TOTAL";"IMG";"CZ";46
"T";"TOTAL";"THS_PER";"OC7";"TOTAL";"TOTAL";"CZ";610.4
"T";"TOTAL";"THS_PER";"OC8";"ED0-2";"IMG";"CZ";11.7
"T";"TOTAL";"THS_PER";"OC8";"ED0-2";"TOTAL";"CZ";53.4
"T";"TOTAL";"THS_PER";"OC8";"ED3_4";"IMG";"CZ";43.2
"T";"TOTAL";"THS_PER";"OC8";"ED3_4";"TOTAL";"CZ";566.3
"T";"TOTAL";"THS_PER";"OC8";"ED5-8";"IMG";"CZ";1.3
"T";"TOTAL";"THS_PER";"OC8";"ED5-8";"TOTAL";"CZ";6.2
"T";"TOTAL";"THS_PER";"OC8";"TOTAL";"IMG";"CZ";56.2
"T";"TOTAL";"THS_PER";"OC8";"TOTAL";"TOTAL";"CZ";626.1
"T";"TOTAL";"THS_PER";"OC9";"ED0-2";"IMG";"CZ";8.3
"T";"TOTAL";"THS_PER";"OC9";"ED0-2";"TOTAL";"CZ";54.4
"T";"TOTAL";"THS_PER";"OC9";"ED3_4";"IMG";"CZ";21.8
"T";"TOTAL";"THS_PER";"OC9";"ED3_4";"TOTAL";"CZ";191.4
"T";"TOTAL";"THS_PER";"OC9";"ED5-8";"IMG";"CZ";NA
"T";"TOTAL";"THS_PER";"OC9";"ED5-8";"TOTAL";"CZ";2.8
"T";"TOTAL";"THS_PER";"OC9";"TOTAL";"IMG";"CZ";30.9
"T";"TOTAL";"THS_PER";"OC9";"TOTAL";"TOTAL";"CZ";248.5
"T";"TOTAL";"THS_PER";"TOTAL";"ED0-2";"IMG";"CZ";28.6
"T";"TOTAL";"THS_PER";"TOTAL";"ED0-2";"TOTAL";"CZ";179.3
"T";"TOTAL";"THS_PER";"TOTAL";"ED3_4";"IMG";"CZ";197.7
"T";"TOTAL";"THS_PER";"TOTAL";"ED3_4";"TOTAL";"CZ";2910.7
"T";"TOTAL";"THS_PER";"TOTAL";"ED5-8";"IMG";"CZ";70.5
"T";"TOTAL";"THS_PER";"TOTAL";"ED5-8";"TOTAL";"CZ";929.5
"T";"TOTAL";"THS_PER";"TOTAL";"TOTAL";"IMG";"CZ";296.8
"T";"TOTAL";"THS_PER";"TOTAL";"TOTAL";"TOTAL";"CZ";4020.1
"T";"TOTAL";"THS_PER";"OC0";"ED0-2";"IMG";"DE";NA
"T";"TOTAL";"THS_PER";"OC0";"ED0-2";"TOTAL";"DE";NA
"T";"TOTAL";"THS_PER";"OC0";"ED3_4";"IMG";"DE";NA
"T";"TOTAL";"THS_PER";"OC0";"ED3_4";"TOTAL";"DE";130.1
"T";"TOTAL";"THS_PER";"OC0";"ED5-8";"IMG";"DE";NA
"T";"TOTAL";"THS_PER";"OC0";"ED5-8";"TOTAL";"DE";NA
"T";"TOTAL";"THS_PER";"OC0";"TOTAL";"IMG";"DE";NA
"T";"TOTAL";"THS_PER";"OC0";"TOTAL";"TOTAL";"DE";176.1
"T";"TOTAL";"THS_PER";"OC1";"ED0-2";"IMG";"DE";NA
"T";"TOTAL";"THS_PER";"OC1";"ED0-2";"TOTAL";"DE";NA
"T";"TOTAL";"THS_PER";"OC1";"ED3_4";"IMG";"DE";NA
"T";"TOTAL";"THS_PER";"OC1";"ED3_4";"TOTAL";"DE";537.3
"T";"TOTAL";"THS_PER";"OC1";"ED5-8";"IMG";"DE";70.7
"T";"TOTAL";"THS_PER";"OC1";"ED5-8";"TOTAL";"DE";721.3
"T";"TOTAL";"THS_PER";"OC1";"TOTAL";"IMG";"DE";123.8
"T";"TOTAL";"THS_PER";"OC1";"TOTAL";"TOTAL";"DE";1289.2
"T";"TOTAL";"THS_PER";"OC2";"ED0-2";"IMG";"DE";NA
"T";"TOTAL";"THS_PER";"OC2";"ED0-2";"TOTAL";"DE";NA
"T";"TOTAL";"THS_PER";"OC2";"ED3_4";"IMG";"DE";129.2
"T";"TOTAL";"THS_PER";"OC2";"ED3_4";"TOTAL";"DE";1068.4
"T";"TOTAL";"THS_PER";"OC2";"ED5-8";"IMG";"DE";596.3
"T";"TOTAL";"THS_PER";"OC2";"ED5-8";"TOTAL";"DE";4301.6
"T";"TOTAL";"THS_PER";"OC2";"TOTAL";"IMG";"DE";729.5
"T";"TOTAL";"THS_PER";"OC2";"TOTAL";"TOTAL";"DE";5410.2
"T";"TOTAL";"THS_PER";"OC3";"ED0-2";"IMG";"DE";104
"T";"TOTAL";"THS_PER";"OC3";"ED0-2";"TOTAL";"DE";369.6
"T";"TOTAL";"THS_PER";"OC3";"ED3_4";"IMG";"DE";638.9
"T";"TOTAL";"THS_PER";"OC3";"ED3_4";"TOTAL";"DE";5118.6
"T";"TOTAL";"THS_PER";"OC3";"ED5-8";"IMG";"DE";325.1
"T";"TOTAL";"THS_PER";"OC3";"ED5-8";"TOTAL";"DE";2448.5
"T";"TOTAL";"THS_PER";"OC3";"TOTAL";"IMG";"DE";1068.1
"T";"TOTAL";"THS_PER";"OC3";"TOTAL";"TOTAL";"DE";7940.8
"T";"TOTAL";"THS_PER";"OC4";"ED0-2";"IMG";"DE";133.2
"T";"TOTAL";"THS_PER";"OC4";"ED0-2";"TOTAL";"DE";409.1
"T";"TOTAL";"THS_PER";"OC4";"ED3_4";"IMG";"DE";388.9
"T";"TOTAL";"THS_PER";"OC4";"ED3_4";"TOTAL";"DE";3913.4
"T";"TOTAL";"THS_PER";"OC4";"ED5-8";"IMG";"DE";145.6
"T";"TOTAL";"THS_PER";"OC4";"ED5-8";"TOTAL";"DE";769.8
"T";"TOTAL";"THS_PER";"OC4";"TOTAL";"IMG";"DE";667.7
"T";"TOTAL";"THS_PER";"OC4";"TOTAL";"TOTAL";"DE";5092.3
"T";"TOTAL";"THS_PER";"OC5";"ED0-2";"IMG";"DE";315.4
"T";"TOTAL";"THS_PER";"OC5";"ED0-2";"TOTAL";"DE";800.2
"T";"TOTAL";"THS_PER";"OC5";"ED3_4";"IMG";"DE";671
"T";"TOTAL";"THS_PER";"OC5";"ED3_4";"TOTAL";"DE";3738.4
"T";"TOTAL";"THS_PER";"OC5";"ED5-8";"IMG";"DE";119.6
"T";"TOTAL";"THS_PER";"OC5";"ED5-8";"TOTAL";"DE";397.1
"T";"TOTAL";"THS_PER";"OC5";"TOTAL";"IMG";"DE";1106
"T";"TOTAL";"THS_PER";"OC5";"TOTAL";"TOTAL";"DE";4943.3
"T";"TOTAL";"THS_PER";"OC6";"ED0-2";"IMG";"DE";NA
"T";"TOTAL";"THS_PER";"OC6";"ED0-2";"TOTAL";"DE";61.1
"T";"TOTAL";"THS_PER";"OC6";"ED3_4";"IMG";"DE";NA
"T";"TOTAL";"THS_PER";"OC6";"ED3_4";"TOTAL";"DE";179.7
"T";"TOTAL";"THS_PER";"OC6";"ED5-8";"IMG";"DE";NA
"T";"TOTAL";"THS_PER";"OC6";"ED5-8";"TOTAL";"DE";54.5
"T";"TOTAL";"THS_PER";"OC6";"TOTAL";"IMG";"DE";NA
"T";"TOTAL";"THS_PER";"OC6";"TOTAL";"TOTAL";"DE";295.3
"T";"TOTAL";"THS_PER";"OC7";"ED0-2";"IMG";"DE";328.1
"T";"TOTAL";"THS_PER";"OC7";"ED0-2";"TOTAL";"DE";729.7
"T";"TOTAL";"THS_PER";"OC7";"ED3_4";"IMG";"DE";780.6
"T";"TOTAL";"THS_PER";"OC7";"ED3_4";"TOTAL";"DE";3896.4
"T";"TOTAL";"THS_PER";"OC7";"ED5-8";"IMG";"DE";68.1
"T";"TOTAL";"THS_PER";"OC7";"ED5-8";"TOTAL";"DE";245.1
"T";"TOTAL";"THS_PER";"OC7";"TOTAL";"IMG";"DE";1176.9
"T";"TOTAL";"THS_PER";"OC7";"TOTAL";"TOTAL";"DE";4876.6
"T";"TOTAL";"THS_PER";"OC8";"ED0-2";"IMG";"DE";230.6
"T";"TOTAL";"THS_PER";"OC8";"ED0-2";"TOTAL";"DE";480.1
"T";"TOTAL";"THS_PER";"OC8";"ED3_4";"IMG";"DE";419.8
"T";"TOTAL";"THS_PER";"OC8";"ED3_4";"TOTAL";"DE";1781.1
"T";"TOTAL";"THS_PER";"OC8";"ED5-8";"IMG";"DE";54.5
"T";"TOTAL";"THS_PER";"OC8";"ED5-8";"TOTAL";"DE";91.2
"T";"TOTAL";"THS_PER";"OC8";"TOTAL";"IMG";"DE";704.9
"T";"TOTAL";"THS_PER";"OC8";"TOTAL";"TOTAL";"DE";2352.4
"T";"TOTAL";"THS_PER";"OC9";"ED0-2";"IMG";"DE";632.2
"T";"TOTAL";"THS_PER";"OC9";"ED0-2";"TOTAL";"DE";1210.7
"T";"TOTAL";"THS_PER";"OC9";"ED3_4";"IMG";"DE";471.2
"T";"TOTAL";"THS_PER";"OC9";"ED3_4";"TOTAL";"DE";1572.8
"T";"TOTAL";"THS_PER";"OC9";"ED5-8";"IMG";"DE";84.6
"T";"TOTAL";"THS_PER";"OC9";"ED5-8";"TOTAL";"DE";146.2
"T";"TOTAL";"THS_PER";"OC9";"TOTAL";"IMG";"DE";1188
"T";"TOTAL";"THS_PER";"OC9";"TOTAL";"TOTAL";"DE";2931.2
"T";"TOTAL";"THS_PER";"TOTAL";"ED0-2";"IMG";"DE";1769.8
"T";"TOTAL";"THS_PER";"TOTAL";"ED0-2";"TOTAL";"DE";4151.5
"T";"TOTAL";"THS_PER";"TOTAL";"ED3_4";"IMG";"DE";3573.8
"T";"TOTAL";"THS_PER";"TOTAL";"ED3_4";"TOTAL";"DE";21936.1
"T";"TOTAL";"THS_PER";"TOTAL";"ED5-8";"IMG";"DE";1483.5
"T";"TOTAL";"THS_PER";"TOTAL";"ED5-8";"TOTAL";"DE";9231.7
"T";"TOTAL";"THS_PER";"TOTAL";"TOTAL";"IMG";"DE";6827.1
"T";"TOTAL";"THS_PER";"TOTAL";"TOTAL";"TOTAL";"DE";35343.2
"T";"TOTAL";"THS_PER";"OC0";"ED0-2";"IMG";"EE";NA
"T";"TOTAL";"THS_PER";"OC0";"ED0-2";"TOTAL";"EE";NA
"T";"TOTAL";"THS_PER";"OC0";"ED3_4";"IMG";"EE";NA
"T";"TOTAL";"THS_PER";"OC0";"ED3_4";"TOTAL";"EE";NA
"T";"TOTAL";"THS_PER";"OC0";"ED5-8";"IMG";"EE";NA
"T";"TOTAL";"THS_PER";"OC0";"ED5-8";"TOTAL";"EE";NA
"T";"TOTAL";"THS_PER";"OC0";"TOTAL";"IMG";"EE";NA
"T";"TOTAL";"THS_PER";"OC0";"TOTAL";"TOTAL";"EE";2.6
"T";"TOTAL";"THS_PER";"OC1";"ED0-2";"IMG";"EE";NA
"T";"TOTAL";"THS_PER";"OC1";"ED0-2";"TOTAL";"EE";NA
"T";"TOTAL";"THS_PER";"OC1";"ED3_4";"IMG";"EE";2.7
"T";"TOTAL";"THS_PER";"OC1";"ED3_4";"TOTAL";"EE";16.1
"T";"TOTAL";"THS_PER";"OC1";"ED5-8";"IMG";"EE";8.2
"T";"TOTAL";"THS_PER";"OC1";"ED5-8";"TOTAL";"EE";29.7
"T";"TOTAL";"THS_PER";"OC1";"TOTAL";"IMG";"EE";11.3
"T";"TOTAL";"THS_PER";"OC1";"TOTAL";"TOTAL";"EE";46.4
"T";"TOTAL";"THS_PER";"OC2";"ED0-2";"IMG";"EE";NA
"T";"TOTAL";"THS_PER";"OC2";"ED0-2";"TOTAL";"EE";NA
"T";"TOTAL";"THS_PER";"OC2";"ED3_4";"IMG";"EE";3.8
"T";"TOTAL";"THS_PER";"OC2";"ED3_4";"TOTAL";"EE";16.3
"T";"TOTAL";"THS_PER";"OC2";"ED5-8";"IMG";"EE";21.8
"T";"TOTAL";"THS_PER";"OC2";"ED5-8";"TOTAL";"EE";81.1
"T";"TOTAL";"THS_PER";"OC2";"TOTAL";"IMG";"EE";25.6
"T";"TOTAL";"THS_PER";"OC2";"TOTAL";"TOTAL";"EE";97.8
"T";"TOTAL";"THS_PER";"OC3";"ED0-2";"IMG";"EE";NA
"T";"TOTAL";"THS_PER";"OC3";"ED0-2";"TOTAL";"EE";NA
"T";"TOTAL";"THS_PER";"OC3";"ED3_4";"IMG";"EE";9.1
"T";"TOTAL";"THS_PER";"OC3";"ED3_4";"TOTAL";"EE";35.7
"T";"TOTAL";"THS_PER";"OC3";"ED5-8";"IMG";"EE";14.2
"T";"TOTAL";"THS_PER";"OC3";"ED5-8";"TOTAL";"EE";40.8
"T";"TOTAL";"THS_PER";"OC3";"TOTAL";"IMG";"EE";23.8
"T";"TOTAL";"THS_PER";"OC3";"TOTAL";"TOTAL";"EE";78.4
"T";"TOTAL";"THS_PER";"OC4";"ED0-2";"IMG";"EE";NA
"T";"TOTAL";"THS_PER";"OC4";"ED0-2";"TOTAL";"EE";2.9
"T";"TOTAL";"THS_PER";"OC4";"ED3_4";"IMG";"EE";5.6
"T";"TOTAL";"THS_PER";"OC4";"ED3_4";"TOTAL";"EE";20.3
"T";"TOTAL";"THS_PER";"OC4";"ED5-8";"IMG";"EE";5.3
"T";"TOTAL";"THS_PER";"OC4";"ED5-8";"TOTAL";"EE";13.6
"T";"TOTAL";"THS_PER";"OC4";"TOTAL";"IMG";"EE";11.3
"T";"TOTAL";"THS_PER";"OC4";"TOTAL";"TOTAL";"EE";36.8
"T";"TOTAL";"THS_PER";"OC5";"ED0-2";"IMG";"EE";NA
"T";"TOTAL";"THS_PER";"OC5";"ED0-2";"TOTAL";"EE";5.8
"T";"TOTAL";"THS_PER";"OC5";"ED3_4";"IMG";"EE";16.3
"T";"TOTAL";"THS_PER";"OC5";"ED3_4";"TOTAL";"EE";52.5
"T";"TOTAL";"THS_PER";"OC5";"ED5-8";"IMG";"EE";9.9
"T";"TOTAL";"THS_PER";"OC5";"ED5-8";"TOTAL";"EE";18.8
"T";"TOTAL";"THS_PER";"OC5";"TOTAL";"IMG";"EE";27.5
"T";"TOTAL";"THS_PER";"OC5";"TOTAL";"TOTAL";"EE";77.1
"T";"TOTAL";"THS_PER";"OC6";"ED0-2";"IMG";"EE";NA
"T";"TOTAL";"THS_PER";"OC6";"ED0-2";"TOTAL";"EE";NA
"T";"TOTAL";"THS_PER";"OC6";"ED3_4";"IMG";"EE";NA
"T";"TOTAL";"THS_PER";"OC6";"ED3_4";"TOTAL";"EE";3.4
"T";"TOTAL";"THS_PER";"OC6";"ED5-8";"IMG";"EE";NA
"T";"TOTAL";"THS_PER";"OC6";"ED5-8";"TOTAL";"EE";NA
"T";"TOTAL";"THS_PER";"OC6";"TOTAL";"IMG";"EE";NA
"T";"TOTAL";"THS_PER";"OC6";"TOTAL";"TOTAL";"EE";5
"T";"TOTAL";"THS_PER";"OC7";"ED0-2";"IMG";"EE";3.3
"T";"TOTAL";"THS_PER";"OC7";"ED0-2";"TOTAL";"EE";12.4
"T";"TOTAL";"THS_PER";"OC7";"ED3_4";"IMG";"EE";25.4
"T";"TOTAL";"THS_PER";"OC7";"ED3_4";"TOTAL";"EE";64.9
"T";"TOTAL";"THS_PER";"OC7";"ED5-8";"IMG";"EE";3.7
"T";"TOTAL";"THS_PER";"OC7";"ED5-8";"TOTAL";"EE";7.7
"T";"TOTAL";"THS_PER";"OC7";"TOTAL";"IMG";"EE";32.4
"T";"TOTAL";"THS_PER";"OC7";"TOTAL";"TOTAL";"EE";85.1
"T";"TOTAL";"THS_PER";"OC8";"ED0-2";"IMG";"EE";NA
"T";"TOTAL";"THS_PER";"OC8";"ED0-2";"TOTAL";"EE";10.9
"T";"TOTAL";"THS_PER";"OC8";"ED3_4";"IMG";"EE";21.5
"T";"TOTAL";"THS_PER";"OC8";"ED3_4";"TOTAL";"EE";51.8
"T";"TOTAL";"THS_PER";"OC8";"ED5-8";"IMG";"EE";5.1
"T";"TOTAL";"THS_PER";"OC8";"ED5-8";"TOTAL";"EE";8.1
"T";"TOTAL";"THS_PER";"OC8";"TOTAL";"IMG";"EE";28.5
"T";"TOTAL";"THS_PER";"OC8";"TOTAL";"TOTAL";"EE";70.9
"T";"TOTAL";"THS_PER";"OC9";"ED0-2";"IMG";"EE";2.6
"T";"TOTAL";"THS_PER";"OC9";"ED0-2";"TOTAL";"EE";9.2
"T";"TOTAL";"THS_PER";"OC9";"ED3_4";"IMG";"EE";14.8
"T";"TOTAL";"THS_PER";"OC9";"ED3_4";"TOTAL";"EE";33.2
"T";"TOTAL";"THS_PER";"OC9";"ED5-8";"IMG";"EE";3.7
"T";"TOTAL";"THS_PER";"OC9";"ED5-8";"TOTAL";"EE";5.9
"T";"TOTAL";"THS_PER";"OC9";"TOTAL";"IMG";"EE";21.1
"T";"TOTAL";"THS_PER";"OC9";"TOTAL";"TOTAL";"EE";48.3
"T";"TOTAL";"THS_PER";"TOTAL";"ED0-2";"IMG";"EE";10.6
"T";"TOTAL";"THS_PER";"TOTAL";"ED0-2";"TOTAL";"EE";45.1
"T";"TOTAL";"THS_PER";"TOTAL";"ED3_4";"IMG";"EE";100.4
"T";"TOTAL";"THS_PER";"TOTAL";"ED3_4";"TOTAL";"EE";296.4
"T";"TOTAL";"THS_PER";"TOTAL";"ED5-8";"IMG";"EE";72.5
"T";"TOTAL";"THS_PER";"TOTAL";"ED5-8";"TOTAL";"EE";208.8
"T";"TOTAL";"THS_PER";"TOTAL";"TOTAL";"IMG";"EE";183.5
"T";"TOTAL";"THS_PER";"TOTAL";"TOTAL";"TOTAL";"EE";550.4
"T";"TOTAL";"THS_PER";"OC0";"ED0-2";"IMG";"EL";NA
"T";"TOTAL";"THS_PER";"OC0";"ED0-2";"TOTAL";"EL";1.8
"T";"TOTAL";"THS_PER";"OC0";"ED3_4";"IMG";"EL";NA
"T";"TOTAL";"THS_PER";"OC0";"ED3_4";"TOTAL";"EL";26.3
"T";"TOTAL";"THS_PER";"OC0";"ED5-8";"IMG";"EL";NA
"T";"TOTAL";"THS_PER";"OC0";"ED5-8";"TOTAL";"EL";31
"T";"TOTAL";"THS_PER";"OC0";"TOTAL";"IMG";"EL";NA
"T";"TOTAL";"THS_PER";"OC0";"TOTAL";"TOTAL";"EL";59.1
"T";"TOTAL";"THS_PER";"OC1";"ED0-2";"IMG";"EL";NA
"T";"TOTAL";"THS_PER";"OC1";"ED0-2";"TOTAL";"EL";NA
"T";"TOTAL";"THS_PER";"OC1";"ED3_4";"IMG";"EL";NA
"T";"TOTAL";"THS_PER";"OC1";"ED3_4";"TOTAL";"EL";7.1
"T";"TOTAL";"THS_PER";"OC1";"ED5-8";"IMG";"EL";NA
"T";"TOTAL";"THS_PER";"OC1";"ED5-8";"TOTAL";"EL";29.8
"T";"TOTAL";"THS_PER";"OC1";"TOTAL";"IMG";"EL";NA
"T";"TOTAL";"THS_PER";"OC1";"TOTAL";"TOTAL";"EL";37
"T";"TOTAL";"THS_PER";"OC2";"ED0-2";"IMG";"EL";NA
"T";"TOTAL";"THS_PER";"OC2";"ED0-2";"TOTAL";"EL";2.6
"T";"TOTAL";"THS_PER";"OC2";"ED3_4";"IMG";"EL";2.3
"T";"TOTAL";"THS_PER";"OC2";"ED3_4";"TOTAL";"EL";28.4
"T";"TOTAL";"THS_PER";"OC2";"ED5-8";"IMG";"EL";11.8
"T";"TOTAL";"THS_PER";"OC2";"ED5-8";"TOTAL";"EL";459.1
"T";"TOTAL";"THS_PER";"OC2";"TOTAL";"IMG";"EL";14.5
"T";"TOTAL";"THS_PER";"OC2";"TOTAL";"TOTAL";"EL";490
"T";"TOTAL";"THS_PER";"OC3";"ED0-2";"IMG";"EL";NA
"T";"TOTAL";"THS_PER";"OC3";"ED0-2";"TOTAL";"EL";6.9
"T";"TOTAL";"THS_PER";"OC3";"ED3_4";"IMG";"EL";5.4
"T";"TOTAL";"THS_PER";"OC3";"ED3_4";"TOTAL";"EL";98.8
"T";"TOTAL";"THS_PER";"OC3";"ED5-8";"IMG";"EL";6.4
