"sex";"age";"unit";"isco08";"isced11";"mgstatus";"geo";"X2014"
"T";"TOTAL";"THS_PER";"OC9";"ED3_4";"IMG";"AT";60.6
"T";"TOTAL";"THS_PER";"OC9";"ED3_4";"TOTAL";"AT";158.5
"T";"TOTAL";"THS_PER";"OC9";"ED5-8";"IMG";"AT";15.9
"T";"TOTAL";"THS_PER";"OC9";"ED5-8";"TOTAL";"AT";21
"T";"TOTAL";"THS_PER";"OC9";"TOTAL";"IMG";"AT";150.4
"T";"TOTAL";"THS_PER";"OC9";"TOTAL";"TOTAL";"AT";317.5
"T";"TOTAL";"THS_PER";"TOTAL";"ED0-2";"IMG";"AT";188.7
"T";"TOTAL";"THS_PER";"TOTAL";"ED0-2";"TOTAL";"AT";483.9
"T";"TOTAL";"THS_PER";"TOTAL";"ED3_4";"IMG";"AT";482.6
"T";"TOTAL";"THS_PER";"TOTAL";"ED3_4";"TOTAL";"AT";2020
"T";"TOTAL";"THS_PER";"TOTAL";"ED5-8";"IMG";"AT";284.1
"T";"TOTAL";"THS_PER";"TOTAL";"ED5-8";"TOTAL";"AT";1050.7
"T";"TOTAL";"THS_PER";"TOTAL";"TOTAL";"IMG";"AT";955.4
"T";"TOTAL";"THS_PER";"TOTAL";"TOTAL";"TOTAL";"AT";3554.6
"T";"TOTAL";"THS_PER";"OC0";"ED0-2";"IMG";"BE";NA
"T";"TOTAL";"THS_PER";"OC0";"ED0-2";"TOTAL";"BE";9.1
"T";"TOTAL";"THS_PER";"OC0";"ED3_4";"IMG";"BE";NA
"T";"TOTAL";"THS_PER";"OC0";"ED3_4";"TOTAL";"BE";18.1
"T";"TOTAL";"THS_PER";"OC0";"ED5-8";"IMG";"BE";NA
"T";"TOTAL";"THS_PER";"OC0";"ED5-8";"TOTAL";"BE";NA
"T";"TOTAL";"THS_PER";"OC0";"TOTAL";"IMG";"BE";NA
"T";"TOTAL";"THS_PER";"OC0";"TOTAL";"TOTAL";"BE";31
"T";"TOTAL";"THS_PER";"OC1";"ED0-2";"IMG";"BE";NA
"T";"TOTAL";"THS_PER";"OC1";"ED0-2";"TOTAL";"BE";12.9
"T";"TOTAL";"THS_PER";"OC1";"ED3_4";"IMG";"BE";10.8
"T";"TOTAL";"THS_PER";"OC1";"ED3_4";"TOTAL";"BE";61.2
"T";"TOTAL";"THS_PER";"OC1";"ED5-8";"IMG";"BE";40.9
"T";"TOTAL";"THS_PER";"OC1";"ED5-8";"TOTAL";"BE";210.4
"T";"TOTAL";"THS_PER";"OC1";"TOTAL";"IMG";"BE";55.3
"T";"TOTAL";"THS_PER";"OC1";"TOTAL";"TOTAL";"BE";284.4
"T";"TOTAL";"THS_PER";"OC2";"ED0-2";"IMG";"BE";NA
"T";"TOTAL";"THS_PER";"OC2";"ED0-2";"TOTAL";"BE";10.3
"T";"TOTAL";"THS_PER";"OC2";"ED3_4";"IMG";"BE";15.6
"T";"TOTAL";"THS_PER";"OC2";"ED3_4";"TOTAL";"BE";83.9
"T";"TOTAL";"THS_PER";"OC2";"ED5-8";"IMG";"BE";145.7
"T";"TOTAL";"THS_PER";"OC2";"ED5-8";"TOTAL";"BE";797.6
"T";"TOTAL";"THS_PER";"OC2";"TOTAL";"IMG";"BE";164.5
"T";"TOTAL";"THS_PER";"OC2";"TOTAL";"TOTAL";"BE";891.8
"T";"TOTAL";"THS_PER";"OC3";"ED0-2";"IMG";"BE";14.4
"T";"TOTAL";"THS_PER";"OC3";"ED0-2";"TOTAL";"BE";48.8
"T";"TOTAL";"THS_PER";"OC3";"ED3_4";"IMG";"BE";30.1
"T";"TOTAL";"THS_PER";"OC3";"ED3_4";"TOTAL";"BE";201.5
"T";"TOTAL";"THS_PER";"OC3";"ED5-8";"IMG";"BE";59.6
"T";"TOTAL";"THS_PER";"OC3";"ED5-8";"TOTAL";"BE";333
"T";"TOTAL";"THS_PER";"OC3";"TOTAL";"IMG";"BE";104.1
"T";"TOTAL";"THS_PER";"OC3";"TOTAL";"TOTAL";"BE";583.2
"T";"TOTAL";"THS_PER";"OC4";"ED0-2";"IMG";"BE";12.3
"T";"TOTAL";"THS_PER";"OC4";"ED0-2";"TOTAL";"BE";57.3
"T";"TOTAL";"THS_PER";"OC4";"ED3_4";"IMG";"BE";49.3
"T";"TOTAL";"THS_PER";"OC4";"ED3_4";"TOTAL";"BE";276.4
"T";"TOTAL";"THS_PER";"OC4";"ED5-8";"IMG";"BE";39.2
"T";"TOTAL";"THS_PER";"OC4";"ED5-8";"TOTAL";"BE";189.5
"T";"TOTAL";"THS_PER";"OC4";"TOTAL";"IMG";"BE";100.9
"T";"TOTAL";"THS_PER";"OC4";"TOTAL";"TOTAL";"BE";523.1
"T";"TOTAL";"THS_PER";"OC5";"ED0-2";"IMG";"BE";34.9
"T";"TOTAL";"THS_PER";"OC5";"ED0-2";"TOTAL";"BE";99.1
