"unit";"sex";"age";"geo";"X2015"
"NR";"F";"Y0-14";"AT22";79473
"NR";"F";"Y15-24";"AT22";68414
"NR";"F";"Y25-64";"AT22";334467
"NR";"F";"Y65-74";"AT22";66801
"NR";"F";"YGE75";"AT22";71835
"NR";"M";"TOTAL";"AT22";599505
"NR";"M";"Y0-14";"AT22";84352
"NR";"M";"Y15-24";"AT22";73184
"NR";"M";"Y25-64";"AT22";340328
"NR";"M";"Y65-74";"AT22";57516
"NR";"M";"YGE75";"AT22";44125
"NR";"T";"TOTAL";"AT22";1220495
"NR";"T";"Y0-14";"AT22";163825
"NR";"T";"Y15-24";"AT22";141598
"NR";"T";"Y25-64";"AT22";674795
"NR";"T";"Y65-74";"AT22";124317
"NR";"T";"YGE75";"AT22";115960
"NR";"F";"TOTAL";"AT3";1565798
"NR";"F";"Y0-14";"AT3";227474
"NR";"F";"Y15-24";"AT3";180652
"NR";"F";"Y25-64";"AT3";849046
"NR";"F";"Y65-74";"AT3";154652
"NR";"F";"YGE75";"AT3";153974
"NR";"M";"TOTAL";"AT3";1514249
"NR";"M";"Y0-14";"AT3";239527
"NR";"M";"Y15-24";"AT3";190931
"NR";"M";"Y25-64";"AT3";849335
"NR";"M";"Y65-74";"AT3";136026
"NR";"M";"YGE75";"AT3";98430
"NR";"T";"TOTAL";"AT3";3080047
"NR";"T";"Y0-14";"AT3";467001
"NR";"T";"Y15-24";"AT3";371583
"NR";"T";"Y25-64";"AT3";1698381
"NR";"T";"Y65-74";"AT3";290678
"NR";"T";"YGE75";"AT3";252404
"NR";"F";"TOTAL";"AT31";727044
"NR";"F";"Y0-14";"AT31";105613
"NR";"F";"Y15-24";"AT31";83025
"NR";"F";"Y25-64";"AT31";391148
"NR";"F";"Y65-74";"AT31";71366
"NR";"F";"YGE75";"AT31";75892
"NR";"M";"TOTAL";"AT31";708291
"NR";"M";"Y0-14";"AT31";111101
"NR";"M";"Y15-24";"AT31";88427
"NR";"M";"Y25-64";"AT31";398919
"NR";"M";"Y65-74";"AT31";62511
"NR";"M";"YGE75";"AT31";47333
"NR";"T";"TOTAL";"AT31";1435335
"NR";"T";"Y0-14";"AT31";216714
"NR";"T";"Y15-24";"AT31";171452
"NR";"T";"Y25-64";"AT31";790067
"NR";"T";"Y65-74";"AT31";133877
"NR";"T";"YGE75";"AT31";123225
"NR";"F";"TOTAL";"AT32";276272
"NR";"F";"Y0-14";"AT32";39331
"NR";"F";"Y15-24";"AT32";30704
"NR";"F";"Y25-64";"AT32";151432
"NR";"F";"Y65-74";"AT32";28781
"NR";"F";"YGE75";"AT32";26024
"NR";"M";"TOTAL";"AT32";261830
"NR";"M";"Y0-14";"AT32";41357
"NR";"M";"Y15-24";"AT32";32526
"NR";"M";"Y25-64";"AT32";146315
"NR";"M";"Y65-74";"AT32";24907
"NR";"M";"YGE75";"AT32";16725
"NR";"T";"TOTAL";"AT32";538102
"NR";"T";"Y0-14";"AT32";80688
"NR";"T";"Y15-24";"AT32";63230
"NR";"T";"Y25-64";"AT32";297747
"NR";"T";"Y65-74";"AT32";53688
"NR";"T";"YGE75";"AT32";42749
"NR";"F";"TOTAL";"AT33";370848
"NR";"F";"Y0-14";"AT33";52489
"NR";"F";"Y15-24";"AT33";44785
"NR";"F";"Y25-64";"AT33";202532
"NR";"F";"Y65-74";"AT33";36566
"NR";"F";"YGE75";"AT33";34476
"NR";"M";"TOTAL";"AT33";357587
"NR";"M";"Y0-14";"AT33";55530
"NR";"M";"Y15-24";"AT33";46249
"NR";"M";"Y25-64";"AT33";200424
"NR";"M";"Y65-74";"AT33";32320
"NR";"M";"YGE75";"AT33";23064
"NR";"T";"TOTAL";"AT33";728435
"NR";"T";"Y0-14";"AT33";108019
"NR";"T";"Y15-24";"AT33";91034
"NR";"T";"Y25-64";"AT33";402956
"NR";"T";"Y65-74";"AT33";68886
"NR";"T";"YGE75";"AT33";57540
"NR";"F";"TOTAL";"AT34";191634
"NR";"F";"Y0-14";"AT34";30041
"NR";"F";"Y15-24";"AT34";22138
"NR";"F";"Y25-64";"AT34";103934
"NR";"F";"Y65-74";"AT34";17939
"NR";"F";"YGE75";"AT34";17582
"NR";"M";"TOTAL";"AT34";186541
"NR";"M";"Y0-14";"AT34";31539
"NR";"M";"Y15-24";"AT34";23729
"NR";"M";"Y25-64";"AT34";103677
"NR";"M";"Y65-74";"AT34";16288
"NR";"M";"YGE75";"AT34";11308
"NR";"T";"TOTAL";"AT34";378175
"NR";"T";"Y0-14";"AT34";61580
"NR";"T";"Y15-24";"AT34";45867
"NR";"T";"Y25-64";"AT34";207611
"NR";"T";"Y65-74";"AT34";34227
"NR";"T";"YGE75";"AT34";28890
"NR";"F";"TOTAL";"BE";5713206
"NR";"F";"Y0-14";"BE";933460
