"unit";"nace_r2";"isco08";"age";"sex";"geo";"X2014"
"INDIC";"B-F";"OC1";"TOTAL";"T";"SI";24.11
"INDIC";"B-F";"OC1";"TOTAL";"T";"SK";17.3
"INDIC";"B-F";"OC1";"TOTAL";"T";"UK";26.71
"INDIC";"B-F";"OC2";"TOTAL";"F";"AT";20.59
"INDIC";"B-F";"OC2";"TOTAL";"F";"BE";24
"INDIC";"B-F";"OC2";"TOTAL";"F";"BG";6.86
"INDIC";"B-F";"OC2";"TOTAL";"F";"CY";14.06
"INDIC";"B-F";"OC2";"TOTAL";"F";"CZ";11.97
"INDIC";"B-F";"OC2";"TOTAL";"F";"DE";27.36
"INDIC";"B-F";"OC2";"TOTAL";"F";"DK";28.37
"INDIC";"B-F";"OC2";"TOTAL";"F";"EE";10.11
"INDIC";"B-F";"OC2";"TOTAL";"F";"EL";NA
"INDIC";"B-F";"OC2";"TOTAL";"F";"ES";17.28
"INDIC";"B-F";"OC2";"TOTAL";"F";"FI";21.82
"INDIC";"B-F";"OC2";"TOTAL";"F";"FR";23.09
"INDIC";"B-F";"OC2";"TOTAL";"F";"HR";NA
"INDIC";"B-F";"OC2";"TOTAL";"F";"HU";14.54
"INDIC";"B-F";"OC2";"TOTAL";"F";"IE";23.07
"INDIC";"B-F";"OC2";"TOTAL";"F";"IT";17.21
"INDIC";"B-F";"OC2";"TOTAL";"F";"LT";7.17
"INDIC";"B-F";"OC2";"TOTAL";"F";"LU";22.36
"INDIC";"B-F";"OC2";"TOTAL";"F";"LV";7.73
"INDIC";"B-F";"OC2";"TOTAL";"F";"MT";14.77
"INDIC";"B-F";"OC2";"TOTAL";"F";"NL";20.45
"INDIC";"B-F";"OC2";"TOTAL";"F";"PL";11.03
"INDIC";"B-F";"OC2";"TOTAL";"F";"PT";12.46
"INDIC";"B-F";"OC2";"TOTAL";"F";"RO";7.73
"INDIC";"B-F";"OC2";"TOTAL";"F";"SE";21.16
"INDIC";"B-F";"OC2";"TOTAL";"F";"SI";17.39
"INDIC";"B-F";"OC2";"TOTAL";"F";"SK";10.57
"INDIC";"B-F";"OC2";"TOTAL";"F";"UK";20.64
"INDIC";"B-F";"OC2";"TOTAL";"M";"AT";25.1
"INDIC";"B-F";"OC2";"TOTAL";"M";"BE";25.12
"INDIC";"B-F";"OC2";"TOTAL";"M";"BG";8.83
"INDIC";"B-F";"OC2";"TOTAL";"M";"CY";17.62
"INDIC";"B-F";"OC2";"TOTAL";"M";"CZ";14.11
"INDIC";"B-F";"OC2";"TOTAL";"M";"DE";33.01
"INDIC";"B-F";"OC2";"TOTAL";"M";"DK";29.78
"INDIC";"B-F";"OC2";"TOTAL";"M";"EE";12.79
"INDIC";"B-F";"OC2";"TOTAL";"M";"EL";NA
"INDIC";"B-F";"OC2";"TOTAL";"M";"ES";19.75
"INDIC";"B-F";"OC2";"TOTAL";"M";"FI";22.87
"INDIC";"B-F";"OC2";"TOTAL";"M";"FR";25.23
"INDIC";"B-F";"OC2";"TOTAL";"M";"HR";NA
"INDIC";"B-F";"OC2";"TOTAL";"M";"HU";15.64
"INDIC";"B-F";"OC2";"TOTAL";"M";"IE";27.37
"INDIC";"B-F";"OC2";"TOTAL";"M";"IT";20.57
"INDIC";"B-F";"OC2";"TOTAL";"M";"LT";8.83
"INDIC";"B-F";"OC2";"TOTAL";"M";"LU";26.98
"INDIC";"B-F";"OC2";"TOTAL";"M";"LV";9.17
"INDIC";"B-F";"OC2";"TOTAL";"M";"MT";15.83
"INDIC";"B-F";"OC2";"TOTAL";"M";"NL";23.44
"INDIC";"B-F";"OC2";"TOTAL";"M";"PL";14.18
"INDIC";"B-F";"OC2";"TOTAL";"M";"PT";16.35
"INDIC";"B-F";"OC2";"TOTAL";"M";"RO";8.57
"INDIC";"B-F";"OC2";"TOTAL";"M";"SE";22.69
"INDIC";"B-F";"OC2";"TOTAL";"M";"SI";16.99
"INDIC";"B-F";"OC2";"TOTAL";"M";"SK";12.34
"INDIC";"B-F";"OC2";"TOTAL";"M";"UK";22.09
"INDIC";"B-F";"OC2";"TOTAL";"T";"AT";24.23
"INDIC";"B-F";"OC2";"TOTAL";"T";"BE";24.91
"INDIC";"B-F";"OC2";"TOTAL";"T";"BG";7.86
"INDIC";"B-F";"OC2";"TOTAL";"T";"CY";16.25
"INDIC";"B-F";"OC2";"TOTAL";"T";"CZ";13.56
"INDIC";"B-F";"OC2";"TOTAL";"T";"DE";31.97
"INDIC";"B-F";"OC2";"TOTAL";"T";"DK";29.34
"INDIC";"B-F";"OC2";"TOTAL";"T";"EE";11.67
"INDIC";"B-F";"OC2";"TOTAL";"T";"EL";NA
"INDIC";"B-F";"OC2";"TOTAL";"T";"ES";18.98
"INDIC";"B-F";"OC2";"TOTAL";"T";"FI";22.62
"INDIC";"B-F";"OC2";"TOTAL";"T";"FR";24.84
"INDIC";"B-F";"OC2";"TOTAL";"T";"HR";NA
"INDIC";"B-F";"OC2";"TOTAL";"T";"HU";15.36
"INDIC";"B-F";"OC2";"TOTAL";"T";"IE";26.07
"INDIC";"B-F";"OC2";"TOTAL";"T";"IT";19.61
"INDIC";"B-F";"OC2";"TOTAL";"T";"LT";7.97
"INDIC";"B-F";"OC2";"TOTAL";"T";"LU";25.93
"INDIC";"B-F";"OC2";"TOTAL";"T";"LV";8.53
"INDIC";"B-F";"OC2";"TOTAL";"T";"MT";15.6
"INDIC";"B-F";"OC2";"TOTAL";"T";"NL";22.86
"INDIC";"B-F";"OC2";"TOTAL";"T";"PL";12.94
"INDIC";"B-F";"OC2";"TOTAL";"T";"PT";15.1
"INDIC";"B-F";"OC2";"TOTAL";"T";"RO";8.19
"INDIC";"B-F";"OC2";"TOTAL";"T";"SE";22.25
"INDIC";"B-F";"OC2";"TOTAL";"T";"SI";17.1
"INDIC";"B-F";"OC2";"TOTAL";"T";"SK";11.77
"INDIC";"B-F";"OC2";"TOTAL";"T";"UK";21.83
"INDIC";"B-F";"OC3";"TOTAL";"F";"AT";16.59
"INDIC";"B-F";"OC3";"TOTAL";"F";"BE";18.62
"INDIC";"B-F";"OC3";"TOTAL";"F";"BG";5.47
"INDIC";"B-F";"OC3";"TOTAL";"F";"CY";12.29
"INDIC";"B-F";"OC3";"TOTAL";"F";"CZ";8.59
"INDIC";"B-F";"OC3";"TOTAL";"F";"DE";20.91
"INDIC";"B-F";"OC3";"TOTAL";"F";"DK";20.72
"INDIC";"B-F";"OC3";"TOTAL";"F";"EE";7.55
"INDIC";"B-F";"OC3";"TOTAL";"F";"EL";NA
"INDIC";"B-F";"OC3";"TOTAL";"F";"ES";13.47
"INDIC";"B-F";"OC3";"TOTAL";"F";"FI";16.44
"INDIC";"B-F";"OC3";"TOTAL";"F";"FR";15.99
"INDIC";"B-F";"OC3";"TOTAL";"F";"HR";NA
"INDIC";"B-F";"OC3";"TOTAL";"F";"HU";8.65
"INDIC";"B-F";"OC3";"TOTAL";"F";"IE";18.34
"INDIC";"B-F";"OC3";"TOTAL";"F";"IT";13.53
"INDIC";"B-F";"OC3";"TOTAL";"F";"LT";5.6
"INDIC";"B-F";"OC3";"TOTAL";"F";"LU";18.14
"INDIC";"B-F";"OC3";"TOTAL";"F";"LV";6.16
"INDIC";"B-F";"OC3";"TOTAL";"F";"MT";11.1
"INDIC";"B-F";"OC3";"TOTAL";"F";"NL";17.31
"INDIC";"B-F";"OC3";"TOTAL";"F";"PL";8.82
"INDIC";"B-F";"OC3";"TOTAL";"F";"PT";8.75
"INDIC";"B-F";"OC3";"TOTAL";"F";"RO";5.6
"INDIC";"B-F";"OC3";"TOTAL";"F";"SE";17.42
"INDIC";"B-F";"OC3";"TOTAL";"F";"SI";11.9
"INDIC";"B-F";"OC3";"TOTAL";"F";"SK";8.03
"INDIC";"B-F";"OC3";"TOTAL";"F";"UK";14.96
"INDIC";"B-F";"OC3";"TOTAL";"M";"AT";20.29
"INDIC";"B-F";"OC3";"TOTAL";"M";"BE";19.76
"INDIC";"B-F";"OC3";"TOTAL";"M";"BG";6.72
"INDIC";"B-F";"OC3";"TOTAL";"M";"CY";13.84
"INDIC";"B-F";"OC3";"TOTAL";"M";"CZ";10.76
"INDIC";"B-F";"OC3";"TOTAL";"M";"DE";25.66
"INDIC";"B-F";"OC3";"TOTAL";"M";"DK";24.47
"INDIC";"B-F";"OC3";"TOTAL";"M";"EE";10
"INDIC";"B-F";"OC3";"TOTAL";"M";"EL";NA
"INDIC";"B-F";"OC3";"TOTAL";"M";"ES";16.93
"INDIC";"B-F";"OC3";"TOTAL";"M";"FI";18.33
"INDIC";"B-F";"OC3";"TOTAL";"M";"FR";17.83
"INDIC";"B-F";"OC3";"TOTAL";"M";"HR";NA
"INDIC";"B-F";"OC3";"TOTAL";"M";"HU";10.28
"INDIC";"B-F";"OC3";"TOTAL";"M";"IE";23.1
"INDIC";"B-F";"OC3";"TOTAL";"M";"IT";16.2
"INDIC";"B-F";"OC3";"TOTAL";"M";"LT";7.26
"INDIC";"B-F";"OC3";"TOTAL";"M";"LU";20.21
"INDIC";"B-F";"OC3";"TOTAL";"M";"LV";7.21
"INDIC";"B-F";"OC3";"TOTAL";"M";"MT";12.56
"INDIC";"B-F";"OC3";"TOTAL";"M";"NL";21.28
"INDIC";"B-F";"OC3";"TOTAL";"M";"PL";11.18
"INDIC";"B-F";"OC3";"TOTAL";"M";"PT";10.73
"INDIC";"B-F";"OC3";"TOTAL";"M";"RO";6.58
"INDIC";"B-F";"OC3";"TOTAL";"M";"SE";18.99
"INDIC";"B-F";"OC3";"TOTAL";"M";"SI";13
"INDIC";"B-F";"OC3";"TOTAL";"M";"SK";10.08
